
[00:00:00.000 --> 00:00:01.640]  今日和大家思想一個題目
[00:00:01.640 --> 00:00:04.800]  放下重擔與主伴行
[00:00:04.800 --> 00:00:07.280]  我想先說一件事情
[00:00:07.280 --> 00:00:09.240]  一位朋友
[00:00:09.240 --> 00:00:11.960]  他本身是一位佛教徒
[00:00:11.960 --> 00:00:13.760]  後來信了耶穌
[00:00:13.760 --> 00:00:17.000]  他信耶穌的經歷很特別
[00:00:17.000 --> 00:00:19.440]  因為他有另外兩個朋友
[00:00:19.440 --> 00:00:22.640]  這兩個朋友原本都是吸毒的
[00:00:22.640 --> 00:00:25.640]  但後來很奇妙他們都信了耶穌
[00:00:25.640 --> 00:00:27.720]  他們在信耶穌之後
[00:00:27.720 --> 00:00:29.440]  生命有很大的改變
[00:00:30.040 --> 00:00:31.720]  周圍的人都見到他們以前
[00:00:31.720 --> 00:00:34.840]  其實是一些很性情暴躁的人
[00:00:34.840 --> 00:00:38.000]  信了耶穌之後發覺他們整個人
[00:00:38.000 --> 00:00:41.400]  是溫善善良很多
[00:00:41.400 --> 00:00:43.520]  而且見到他們有愛心
[00:00:43.520 --> 00:00:46.560]  這位佛教的朋友見到他們覺得很出奇
[00:00:46.560 --> 00:00:49.440]  就說為什麼他們有這麼大的轉變呢
[00:00:49.440 --> 00:00:53.640]  有一次這兩位朋友就邀請他回教會
[00:00:53.640 --> 00:00:54.640]  他說好啊
[00:00:54.640 --> 00:00:56.880]  聽聽你們教會說些什麼
[00:00:56.880 --> 00:00:59.280]  回到教會的時候
[00:00:59.280 --> 00:01:01.120]  他聽到一個很重要的訊息
[00:01:01.120 --> 00:01:02.560]  就說到
[00:01:02.560 --> 00:01:06.400]  有一位上帝是願意赦免人的罪
[00:01:06.400 --> 00:01:09.360]  他一聽的時候覺得很驚奇
[00:01:09.360 --> 00:01:13.480]  因為在他的觀念因果關係是改變不了的
[00:01:13.480 --> 00:01:15.560]  人生做過一些錯事
