
[00:00:00.000 --> 00:00:08.700]  我回想第一次在港球培林會講到是1952年
[00:00:08.700 --> 00:00:13.300]  我回想第一次在培林會講到是1952年
[00:00:13.300 --> 00:00:16.600]  那個時候我三十歲
[00:00:16.600 --> 00:00:18.600]  那個時候我三十歲
[00:00:18.600 --> 00:00:21.300]  那麼大家知道我幾多年紀了
[00:00:21.300 --> 00:00:25.000]  大家知道我幾大年紀了
[00:00:25.000 --> 00:00:28.600]  那個時候是最年輕的講員
[00:00:28.600 --> 00:00:31.800]  那個時候是最年輕的講員
[00:00:31.800 --> 00:00:36.900]  今天是最老的講員
[00:00:36.900 --> 00:00:41.100]  人生過得很快
[00:00:41.100 --> 00:00:45.700]  所以我提醒我們中間青年的弟兄姊妹
[00:00:45.700 --> 00:00:48.900]  所以我提醒我們中間青年的弟兄姊妹
[00:00:48.900 --> 00:00:54.400]  趁早把自己當作活跡獻上給神
[00:00:54.400 --> 00:00:59.100]  趁早把自己當作活跡獻上給神
[00:00:59.100 --> 00:01:02.200]  開始為主而活
[00:01:02.200 --> 00:01:04.400]  開始為主而活
[00:01:04.400 --> 00:01:05.600]  來跟從主
[00:01:05.600 --> 00:01:06.500]  跟從主
[00:01:06.500 --> 00:01:07.500]  見證主
[00:01:07.500 --> 00:01:08.500]  見證主
[00:01:08.500 --> 00:01:09.300]  侍奉主
[00:01:09.300 --> 00:01:10.300]  侍奉主
[00:01:10.300 --> 00:01:11.000]  愛主
[00:01:11.000 --> 00:01:12.100]  愛主
[00:01:12.100 --> 00:01:15.800]  你們還有很多年可以為主而活
[00:01:15.800 --> 00:01:19.200]  你們還有很多年可以為主而活
[00:01:19.200 --> 00:01:21.100]  那是何等的美好
[00:01:21.100 --> 00:01:22.900]  那是何等的美好
[00:01:22.900 --> 00:01:26.200]  建築的時候也是何等的快樂
[00:01:26.200 --> 00:01:29.800]  建築的時候也是何等的快樂
[00:01:29.800 --> 00:01:34.400]  當我看見許多的青年的弟兄姊妹的時候
[00:01:34.400 --> 00:01:37.600]  當我看見許多的青年的弟兄姊妹的時候
[00:01:37.600 --> 00:01:40.800]  我想到神在這些年來
[00:01:40.800 --> 00:01:45.000]  特別在青年的基督徒中間做工
[00:01:45.000 --> 00:01:47.100]  我想到神在這些年間
[00:01:47.100 --> 00:01:51.100]  特別在青年當中來做工
[00:01:51.100 --> 00:01:54.900]  我參加過兩個大的聚會
[00:01:54.900 --> 00:01:57.600]  我參加過兩個大的聚會
[00:01:57.600 --> 00:01:59.800]  一個是在英國
[00:01:59.800 --> 00:02:01.300]  一個是在英國
[00:02:01.300 --> 00:02:02.800]  一個是在美國
[00:02:02.800 --> 00:02:04.800]  一個是在美國
[00:02:04.800 --> 00:02:05.900]  五十年前
[00:02:05.900 --> 00:02:08.000]  人更五十年前
[00:02:08.000 --> 00:02:10.500]  我參加英國的那個聚會
[00:02:10.500 --> 00:02:14.200]  在五十年前我參加在英國的那個聚會
[00:02:14.200 --> 00:02:17.400]  叫做The Catholic Convention
[00:02:17.400 --> 00:02:20.900]  是在英格蘭的南部舉行
[00:02:20.900 --> 00:02:26.100]  是在英格蘭的南部舉行的英文培靈會
[00:02:26.100 --> 00:02:28.800]  有五千人參加
[00:02:28.800 --> 00:02:31.000]  有五千人參加
[00:02:31.000 --> 00:02:34.200]  其中有一半是大學生
[00:02:34.200 --> 00:02:36.900]  其中有一半是大學生
[00:02:36.900 --> 00:02:44.400]  他們繼續到現在已經一百二十二年的歷史了
