
[00:00:00.000 --> 00:00:05.000]  謝謝雲涵讀了很冗長的一段經文,
[00:00:05.000 --> 00:00:11.000]  但是相信這段經文也是會比較熟悉的一個耶穌的故事。
[00:00:11.000 --> 00:00:14.000]  在開始真道以前我們先有幾道。
[00:00:14.000 --> 00:00:21.000]  天父上帝,謝謝禰讓我們可以從禰的話語裏面去領受禰的教導,
[00:00:21.000 --> 00:00:28.000]  讓我們都有謙卑柔軟的心去領受禰的教導。
[00:00:28.000 --> 00:00:31.000]  願孩子所講的都是出於禰,
[00:00:31.000 --> 00:00:43.000]  從教導的裏面領受能夠曾經經歷禰神蹟一次的一個婦人、一個女孩,
[00:00:43.000 --> 00:00:49.000]  怎麼去得到禰的祝福,在生活當中去見證禰。
[00:00:49.000 --> 00:00:50.000]  謝謝主。
[00:00:50.000 --> 00:00:54.000]  請聽我們同心地禱告,奉靠耶穌經的名氣祈求。
[00:00:54.000 --> 00:00:56.000]  Amen!
[00:00:56.000 --> 00:01:04.000]  剛纔永行講到耶穌神蹟一次的故事,
[00:01:04.000 --> 00:01:13.000]  其實裏面這個故事我們看到是一個故事疊故事的教導。
[00:01:13.000 --> 00:01:16.000]  我們看到裏面有幾個角色的,
[00:01:16.000 --> 00:01:23.000]  主要就是有耶穌,有聖諾賓的婦人,也有一個女孩,
[00:01:23.000 --> 00:01:28.000]  就是我們從聖經裏面所說這個女孩要快死的那個女孩。
[00:01:28.000 --> 00:01:32.000]  所以這個是一個故事疊故事的教導。
[00:01:32.000 --> 00:01:41.000]  耶穌跟這個聖諾賓的婦人的經歷是否只是一個純粹的一字故事呢?
[00:01:41.000 --> 00:01:46.000]  還是隻是一個教導信徒信心的功課呢?
[00:01:46.000 --> 00:01:51.000]  但在故事裏面耶穌是否受了不公平的對待呢?
[00:01:51.000 --> 00:01:55.000]  祂是不是去虧呢?
[00:01:55.000 --> 00:01:59.000]  沒有答案,等一下我跟你們說答案。
[00:01:59.000 --> 00:02:05.000]  究竟去虧是怎麼發生的呢?
[00:02:05.000 --> 00:02:09.000]  我問弟兄,弟兄,可不可以借我一百塊?
[00:02:09.000 --> 00:02:12.000]  盯着我,因爲你不認識我。
[00:02:12.000 --> 00:02:16.000]  但是如果我認識的人他可能會問,你借一百塊幹什麼?
