
[00:00:00.000 --> 00:00:02.800]  當我們說到獻上最好的
[00:00:02.800 --> 00:00:05.600]  其中一個很重要的觀念就是
[00:00:05.600 --> 00:00:08.800]  究竟我們將最好的獻給哪一位呢?
[00:00:08.800 --> 00:00:12.880]  當然我們知道是獻給那位天地的主宰
[00:00:12.880 --> 00:00:15.680]  如果我們真的相信這位上帝
[00:00:15.680 --> 00:00:18.640]  祂是至尊榮、至偉大的上帝
[00:00:18.640 --> 00:00:22.280]  就因此值得我們將最好的獻給祂
[00:00:22.280 --> 00:00:24.080]  不是獻給哪一位
[00:00:24.080 --> 00:00:27.080]  而是獻給這位天地的大君王
[00:00:27.600 --> 00:00:31.200]  如果我們確認祂的權柄、祂的尊榮
[00:00:31.200 --> 00:00:32.720]  我們就要思想
[00:00:32.720 --> 00:00:36.440]  我有沒有將最好的獻給上帝
[00:00:36.440 --> 00:00:38.520]  我記得我第一次讀的那篇文章
[00:00:38.520 --> 00:00:40.640]  有一位物理學研究員
[00:00:40.640 --> 00:00:41.600]  一位教徒
[00:00:41.600 --> 00:00:45.320]  他說當我研究很多物理學現象的時候
[00:00:45.320 --> 00:00:48.920]  就深刻感受到這位神真的很偉大
[00:00:48.920 --> 00:00:51.920]  他說無論是偉大的
[00:00:51.920 --> 00:00:55.120]  整個天空的星河系統
[00:00:55.120 --> 00:00:57.280]  又或者是一顆微粒
[00:00:58.040 --> 00:00:59.680]  當他小心地在望遠鏡
[00:00:59.680 --> 00:01:02.080]  或者是顯微鏡裡面看的時候
[00:01:02.080 --> 00:01:04.360]  他都發覺有一個共同的情況
[00:01:04.360 --> 00:01:06.520]  就是無論大或者小
[00:01:06.520 --> 00:01:08.280]  其實都是很複雜的
[00:01:08.280 --> 00:01:11.840]  裡面的組織結構是很複雜
[00:01:11.840 --> 00:01:14.480]  但複雜得來是很有秩序
[00:01:14.480 --> 00:01:16.600]  是井然有序
[00:01:16.600 --> 00:01:18.720]  完全沒有混亂的情況
[00:01:18.720 --> 00:01:21.040]  他心裡面就很震撼
[00:01:21.040 --> 00:01:24.120]  很感覺到神那種奇妙的創造
