
[00:00:00.000 --> 00:00:02.000]  大家會記得我們在今個季度
[00:00:02.000 --> 00:00:04.720]  一直思想著一個重要的題目
[00:00:04.720 --> 00:00:06.720]  就是「蒙照的人」
[00:00:06.720 --> 00:00:09.680]  我們記得我們曾經分享過
[00:00:09.680 --> 00:00:12.480]  我們是蒙照作聖徒的
[00:00:12.480 --> 00:00:15.040]  我們是在神的面前
[00:00:15.040 --> 00:00:17.040]  是被神所揀選
[00:00:17.040 --> 00:00:18.560]  成為祂的兒女
[00:00:18.560 --> 00:00:21.920]  有一個身份是作神的聖徒
[00:00:21.920 --> 00:00:24.800]  亦都蒙照進入神的家裏面
[00:00:24.800 --> 00:00:26.320]  在神的教會當中
[00:00:26.320 --> 00:00:28.000]  亦都一起 亦都彼此
[00:00:28.000 --> 00:00:30.560]  來建立 亦都一起見證著
[00:00:30.560 --> 00:00:32.560]  當我們上到這裡的時候
[00:00:32.560 --> 00:00:33.600]  就會知道
[00:00:33.600 --> 00:00:35.920]  聖經不是停在一個地方
[00:00:35.920 --> 00:00:39.200]  信仰亦都不是停在教會裏面
[00:00:39.200 --> 00:00:40.560]  因此我們知道
[00:00:40.560 --> 00:00:43.840]  上帝同時差遣我們去到世界
[00:00:43.840 --> 00:00:45.360]  在世界當中
[00:00:45.360 --> 00:00:48.400]  我們行義 行憐憫
[00:00:48.400 --> 00:00:50.400]  亦都作福音的見證
[00:00:50.400 --> 00:00:51.760]  是過去我們幾個星期
[00:00:51.760 --> 00:00:53.200]  一直所思想的
[00:00:53.200 --> 00:00:55.440]  今天我們再次上到的
[00:00:55.440 --> 00:00:57.680]  神同時差遣我們
[00:00:57.680 --> 00:01:00.240]  回到我們自己的家庭當中
[00:01:00.240 --> 00:01:01.440]  在家庭裏面
[00:01:01.440 --> 00:01:03.280]  一件很重要的事情
[00:01:03.280 --> 00:01:06.720]  就是讓我們所領受主給我們的吩咐
[00:01:06.720 --> 00:01:09.680]  在家庭真實地實行出來
[00:01:09.680 --> 00:01:11.280]  而在家庭裏面
[00:01:11.280 --> 00:01:13.520]  去實行主給我們的吩咐
[00:01:13.520 --> 00:01:16.240]  正正是聖經裏面一個核心的訊息
[00:01:16.240 --> 00:01:20.080]  亦都是神對我們的呼召和吩咐
[00:01:20.080 --> 00:01:22.560]  當大家讀到聖經的
[00:01:22.560 --> 00:01:24.880]  生命記第六章的時候
[00:01:24.880 --> 00:01:26.640]  你會看到聖經裏面提到
[00:01:26.640 --> 00:01:28.080]  就是當時以色列人
[00:01:28.080 --> 00:01:30.960]  他們將要進入到應許之地
[00:01:30.960 --> 00:01:32.720]  神就透過摩西教導
[00:01:32.720 --> 00:01:35.760]  百姓很多有關神的命令
[00:01:35.760 --> 00:01:38.640]  他的教導 他的誡命
[00:01:38.640 --> 00:01:40.560]  但是將這些的誡命
[00:01:40.560 --> 00:01:43.440]  賜給他們有一個很重要的目的
[00:01:43.440 --> 00:01:46.560]  大家會看到第六章第二節
[00:01:46.560 --> 00:01:47.280]  聖經就說
