
[00:00:00.000 --> 00:00:05.880]  今天我們一同領受關於侍奉的信息
[00:00:05.880 --> 00:00:08.720]  侍奉是每一個基督徒的權利
[00:00:08.720 --> 00:00:13.400]  也是蒙療神的恩典而得到的機會
[00:00:13.400 --> 00:00:15.200]  一個蒙恩得救的人
[00:00:15.200 --> 00:00:18.080]  如果沒有爲主做過什麼
[00:00:18.080 --> 00:00:21.400]  他的心裏一定有很大的遺憾
[00:00:21.400 --> 00:00:25.560]  將來我們在榮耀中建築的時候
[00:00:25.560 --> 00:00:29.280]  如果我們回想沒有爲主做什麼
[00:00:29.280 --> 00:00:31.720]  我們會感覺到很後悔
[00:00:31.720 --> 00:00:34.080]  很難過很慚愧
[00:00:34.080 --> 00:00:38.720]  感謝天父還給我們時間機會
[00:00:38.720 --> 00:00:40.600]  在我們的面前
[00:00:40.600 --> 00:00:43.120]  我們願意抓住機會
[00:00:43.120 --> 00:00:46.720]  來獻上我們從主所領受的一切
[00:00:46.720 --> 00:00:48.280]  來侍奉他
[00:00:48.280 --> 00:00:50.160]  討他的喜悅
[00:00:50.160 --> 00:00:52.840]  傳福音也在他的家中
[00:00:52.840 --> 00:00:56.840]  彼此的佩達來侍奉主
[00:00:56.840 --> 00:00:58.360]  在侍奉主的時候
[00:00:58.360 --> 00:01:01.720]  需要屬靈的恩賜
[00:01:01.720 --> 00:01:04.680]  恩賜的運用是怎麼樣的呢
[00:01:04.680 --> 00:01:07.680]  這是今天我們要從聖經裏面
[00:01:07.680 --> 00:01:09.800]  查考靈受的
[00:01:09.800 --> 00:01:13.040]  我要和大家一同在聖經裏面
[00:01:13.040 --> 00:01:18.000]  靈受關於恩賜的基本的原則
[00:01:18.000 --> 00:01:20.800]  我們按照這些基本的原則
[00:01:20.800 --> 00:01:22.640]  運用我們的恩賜
[00:01:22.640 --> 00:01:24.960]  就會符合神的旨意
[00:01:24.960 --> 00:01:31.400]  被他使用被他約納得到他成全
[00:01:31.400 --> 00:01:34.960]  恩賜的第一個基本原則
[00:01:34.960 --> 00:01:38.720]  是在《畢德遣書》第四章
[00:01:38.720 --> 00:01:41.760]  《畢德遣書》第四章
[00:01:41.760 --> 00:01:47.240]  第十節到第十一節
[00:01:47.240 --> 00:01:51.280]  我讀給大家聽
[00:01:51.280 --> 00:01:54.040]  個人要照所得的恩賜
[00:01:54.040 --> 00:01:55.800]  彼此的服事
[00:01:55.800 --> 00:01:59.480]  做神百般恩賜的好管家
[00:01:59.480 --> 00:02:03.880]  若有講道的要按着神的聖言講
[00:02:03.880 --> 00:02:05.240]  若有服事人的
[00:02:05.240 --> 00:02:08.360]  要按着神所賜的力量服事
[00:02:08.360 --> 00:02:12.880]  叫神在凡事上因耶穌基督得榮耀
[00:02:12.880 --> 00:02:15.920]  原來榮耀全能都是他的
[00:02:15.920 --> 00:02:17.840]  直到永永遠遠
[00:02:17.840 --> 00:02:19.120]  阿悶
[00:02:19.120 --> 00:02:21.680]  在這裏我們看見
[00:02:21.680 --> 00:02:24.880]  恩賜是神賜給我們的
[00:02:24.880 --> 00:02:28.240]  神要我們做他各樣的恩賜
[00:02:28.240 --> 00:02:32.320]  在這裏說百般恩賜的好管家
[00:02:32.320 --> 00:02:34.680]  管家的意思就是說
[00:02:34.680 --> 00:02:41.840]  受委託來照理族人的財產
[00:02:41.840 --> 00:02:43.480]  神賜給我們恩賜
[00:02:43.480 --> 00:02:46.280]  我們自己不是恩賜的族人
[00:02:46.280 --> 00:02:48.560]  神纔是恩賜的族人
[00:02:48.560 --> 00:02:51.440]  我們不過是管家
[00:02:51.440 --> 00:02:58.840]  所以我們必須爲神爲人來用我們的恩賜
[00:02:58.840 --> 00:03:01.800]  在這裏我們看見
[00:03:01.800 --> 00:03:08.280]  榮神益人是運用恩賜的基本的原則
[00:03:08.280 --> 00:03:10.960]  在第十一節默了一句說
[00:03:10.960 --> 00:03:14.600]  叫神在凡事上得榮耀
