
[00:00:00.000 --> 00:00:04.000]  剛才我們上半節完結之前就講到
[00:00:04.000 --> 00:00:11.600]  我們要嘗試多從不同的角度去看一件事
[00:00:11.600 --> 00:00:16.000]  不要輕視
[00:00:16.000 --> 00:00:23.040]  更加不要立刻自衛地去反抗那些
[00:00:23.040 --> 00:00:28.400]  責備我們、批評我們、反對我們的人
[00:00:29.040 --> 00:00:36.080]  這樣對我們的智慧是有所幫助和增長的
[00:00:36.080 --> 00:00:44.080]  所以我希望我們有智慧的基督徒按照聖經所教導
[00:00:44.080 --> 00:00:46.880]  在我們教會生活和跟人相處也好
[00:00:46.880 --> 00:00:51.760]  我不是教大家別人的意見每個人都對
[00:00:51.760 --> 00:00:53.840]  不是的,千萬不要搞錯
[00:00:53.840 --> 00:00:55.840]  不是說你沒有意見,你也行,我也行
[00:00:55.840 --> 00:00:58.080]  每個人都好,我們很有智慧,不是的
[00:00:58.080 --> 00:01:00.800]  這叫沒有標準,不是有智慧
[00:01:00.800 --> 00:01:03.280]  是那個過程
[00:01:03.280 --> 00:01:09.280]  有些人一聽見不合他心意就封了自己的耳朵,他不聽
[00:01:09.280 --> 00:01:11.280]  我的意思是那種
[00:01:11.280 --> 00:01:16.240]  我們要去學別人跟我們講的意見不同的時候
[00:01:16.240 --> 00:01:20.240]  第一,你先問自己不要立刻反應這麼快
[00:01:20.240 --> 00:01:23.040]  不對的,多餘的
[00:01:23.040 --> 00:01:26.560]  我記得我在《倚香程》寫過一篇文叫《偏見》
[00:01:26.560 --> 00:01:28.560]  我有這樣的感觸
[00:01:28.560 --> 00:01:30.560]  很多時候什麼叫偏見
[00:01:30.560 --> 00:01:34.080]  一個人你不喜歡一個人的時候,你對他有偏見
[00:01:34.080 --> 00:01:37.040]  偏見就是你不會覺得他會做任何好事
[00:01:37.040 --> 00:01:40.400]  別人說他好話,你聽不下去
[00:01:40.400 --> 00:01:41.840]  虛偽的東西
[00:01:41.840 --> 00:01:43.840]  一說到那句不好的那些
[00:01:43.840 --> 00:01:45.840]  就釘死他,一定是對的
[00:01:45.840 --> 00:01:51.520]  你不會想那句是批評你不喜歡那個人,那句可能也未必是對的
[00:01:51.520 --> 00:01:53.120]  未必是事實的
[00:01:53.120 --> 00:01:57.520]  你不喜歡那個人,不喜歡那位朋友,或者不喜歡那個同事
[00:01:57.520 --> 00:02:01.520]  別人一說起那個同事,昨晚跟他老公吵架,我說是
[00:02:01.520 --> 00:02:04.560]  知道他壞,爆火,扔他一地,他死了
[00:02:04.560 --> 00:02:06.560]  不一定的
[00:02:06.560 --> 00:02:12.320]  我們太容易相信那些我們不喜歡的人所得到的批評
[00:02:12.320 --> 00:02:15.680]  他做的好事,我們覺得他虛偽
[00:02:15.680 --> 00:02:18.640]  做的壞事,就罪加一等
[00:02:18.640 --> 00:02:22.160]  相反來說,我們對那些我們很喜歡的人
[00:02:22.160 --> 00:02:25.360]  我們不捨得相信他會做錯事
[00:02:25.360 --> 00:02:28.880]  所以他一做錯事的時候,或者做了不對的事的時候
[00:02:28.880 --> 00:02:31.840]  我們就會幫他解釋,不一定是這樣
[00:02:31.840 --> 00:02:34.800]  其實我們人有時候很盲目的
[00:02:34.800 --> 00:02:38.400]  我自己經常提醒自己去訓練,我就是這樣訓練的
[00:02:38.400 --> 00:02:44.800]  所以我特意要去,我不是一個辦事行政的人
[00:02:44.800 --> 00:02:47.600]  所以我用我的腦比較多去做研究
[00:02:47.600 --> 00:02:50.240]  在我研究學術的歷程當中
