
[00:00:00.000 --> 00:00:03.000]  天父我們感謝你
[00:00:03.000 --> 00:00:06.000]  因為你是我們的父親
[00:00:06.000 --> 00:00:11.000]  你將愛放在人間父母的心中
[00:00:11.000 --> 00:00:15.000]  所以我們才有家庭的幸福
[00:00:15.000 --> 00:00:18.000]  我們為這一切獻上感謝
[00:00:18.000 --> 00:00:21.000]  今天我們要在敬拜你的時候
[00:00:21.000 --> 00:00:24.000]  領受你的真理之道
[00:00:24.000 --> 00:00:26.000]  求聖靈我們的老師
[00:00:26.000 --> 00:00:30.000]  親自地教導我們 訓誨我們
[00:00:30.000 --> 00:00:32.000]  讓我們在這個時刻裡面
[00:00:32.000 --> 00:00:38.000]  每一個人在心靈中都有所得著領受
[00:00:38.000 --> 00:00:40.000]  我們交託在你手中
[00:00:40.000 --> 00:00:43.000]  請你幫助你的兩個夫人
[00:00:43.000 --> 00:00:46.000]  把你的話語傳達得清楚
[00:00:46.000 --> 00:00:48.000]  奉主的名禱告
[00:00:48.000 --> 00:00:52.000]  我們已經看了十二方面的長進
[00:00:52.000 --> 00:00:55.000]  我們已經看了十二方面的長進
[00:00:55.000 --> 00:00:58.000]  現在剩下四方面
[00:00:58.000 --> 00:01:02.000]  請大家回到第四章
[00:01:02.000 --> 00:01:05.000]  第三十節
[00:01:05.000 --> 00:01:08.000]  第四章第三十節
[00:01:08.000 --> 00:01:11.000]  不要叫神的聖靈擔憂
[00:01:11.000 --> 00:01:14.000]  你們原是受了祂的印記
[00:01:14.000 --> 00:01:17.000]  等候得贖的日子來到
[00:01:17.000 --> 00:01:20.000]  這裡提到聖靈
[00:01:20.000 --> 00:01:28.000]  聖靈是三位一體的神中間的一位
[00:01:28.000 --> 00:01:30.000]  祂是神
[00:01:30.000 --> 00:01:34.000]  祂有神格
[00:01:34.000 --> 00:01:40.000]  很多人想到聖靈的時候
[00:01:40.000 --> 00:01:42.000]  就會想到能力
[00:01:42.000 --> 00:01:45.000]  就會想到恩賜
[00:01:45.000 --> 00:01:49.000]  他們要得聖靈的能力
[00:01:49.000 --> 00:01:52.000]  要得聖靈的恩賜
[00:01:52.000 --> 00:01:55.000]  來為自己用
[00:01:55.000 --> 00:01:59.000]  但是在這裡我們看見
[00:01:59.000 --> 00:02:03.000]  聖靈是我們的神
[00:02:03.000 --> 00:02:06.000]  我們不可以利用祂
[00:02:06.000 --> 00:02:11.000]  乃是要被祂使用
[00:02:11.000 --> 00:02:15.000]  這是一個很重要的認識上的長進
[00:02:15.000 --> 00:02:24.000]  從利用聖靈長進到被聖靈使用
[00:02:24.000 --> 00:02:29.000]  我們要小心
[00:02:29.000 --> 00:02:34.000]  千萬不要喧賓奪主
[00:02:34.000 --> 00:02:36.000]  聖靈是主格
[00:02:36.000 --> 00:02:41.000]  我們是客格
[00:02:41.000 --> 00:02:46.000]  我們要被聖靈使用
[00:02:46.000 --> 00:02:50.000]  當我們追求能力的時候
[00:02:50.000 --> 00:02:56.000]  為的是完成聖靈的計劃
[00:02:56.000 --> 00:03:01.000]  我們追求聖靈恩賜的時候
[00:03:01.000 --> 00:03:05.000]  為了要服侍神
[00:03:05.000 --> 00:03:07.000]  不是要建立自己的地位
[00:03:07.000 --> 00:03:12.000]  不是要建立自己的聲望
[00:03:12.000 --> 00:03:18.000]  我們保持自己是被主使用的器皿
[00:03:18.000 --> 00:03:23.000]  這是很重要的一個認識
[00:03:23.000 --> 00:03:25.000]  這是一個很重要的認識
[00:03:25.000 --> 00:03:33.000]  同時在這裡提到聖靈會擔憂
[00:03:33.000 --> 00:03:36.000]  聖靈有愛我們的心
[00:03:36.000 --> 00:03:41.000]  所以祂會擔憂
[00:03:41.000 --> 00:03:46.000]  我們不要使聖靈擔憂
[00:03:46.000 --> 00:03:48.000]  我們很可能不知不覺
[00:03:48.000 --> 00:03:51.000]  我們向神向聖靈
[00:03:51.000 --> 00:03:58.000]  心裡就剛硬起來
[00:03:58.000 --> 00:04:01.000]  我們就抗拒了聖靈的感動
[00:04:01.000 --> 00:04:07.000]  消滅了聖靈的引導
[00:04:07.000 --> 00:04:11.000]  我們就偏行幾路
[00:04:11.000 --> 00:04:12.000]  我們要小心
[00:04:12.000 --> 00:04:20.000]  不要讓我們的心向聖靈剛硬起來
[00:04:20.000 --> 00:04:26.000]  我們要保持一顆柔和的心
[00:04:26.000 --> 00:04:31.000]  柔軟易感的心
[00:04:31.000 --> 00:04:35.000]  聖靈來感動我們的時候
[00:04:35.000 --> 00:04:39.000]  為了要造就我們
[00:04:39.000 --> 00:04:42.000]  讓我們得福氣
