
[00:00:00.000 --> 00:00:04.560]  今天我們一起繼續這個雅歌的旅程
[00:00:04.560 --> 00:00:13.000]  我跟大家說過我有負擔來分享智慧文學
[00:00:13.000 --> 00:00:18.720]  智慧文學裏面有幾個很深刻的人生體會
[00:00:18.720 --> 00:00:21.760]  在聖經裏面智慧文學特別有深刻的人生體會
[00:00:21.760 --> 00:00:29.200]  在傳道書可以說是對人的一種人生反省
[00:00:29.640 --> 00:00:36.160]  人生的無奈 人生的荒謬 背後有什麼足令的意思
[00:00:36.160 --> 00:00:40.200]  這是傳道書很深刻的人生反省
[00:00:40.200 --> 00:00:47.760]  針研是講人生的粗手 論理
[00:00:47.760 --> 00:00:53.840]  如何面對人與人的關係 面對家庭 面對事業
[00:00:53.840 --> 00:00:58.760]  這是針研裏面的智慧
[00:00:59.760 --> 00:01:05.880]  若白記是如何面對人生的苦難 人生的際遇
[00:01:05.880 --> 00:01:10.400]  如何面對這些突然而來或不能明白的打擊
[00:01:10.400 --> 00:01:14.040]  雅歌可以說是最深刻的
[00:01:14.040 --> 00:01:17.960]  嘗試去觸摸人與神之間的關係
[00:01:17.960 --> 00:01:22.960]  人與神之間最深的一種經歷上的關係
[00:01:22.960 --> 00:01:26.480]  所以我決定用雅歌講的時候
[00:01:26.480 --> 00:01:32.480]  用歷代靈修學者的深刻的屬靈體驗去理解雅歌
[00:01:32.480 --> 00:01:35.360]  我相信這個我昨晚都講得很清楚
[00:01:35.360 --> 00:01:37.040]  都圓了我的心願
[00:01:37.040 --> 00:01:39.720]  詩篇一來太多
[00:01:39.720 --> 00:01:46.560]  二來不容易有突破性的東西一起思想
[00:01:46.560 --> 00:01:49.400]  如果有一天我會繼續講詩篇
[00:01:49.400 --> 00:01:51.880]  我會講詩篇裏面的祈禱
[00:01:51.880 --> 00:01:54.680]  我學習祈禱幾十年
[00:01:54.680 --> 00:01:57.200]  都有很深刻的體會
[00:01:57.200 --> 00:02:00.560]  詩篇其實全部都是圖文
[00:02:00.560 --> 00:02:03.760]  究竟詩篇裏面的祈禱是怎樣呢
[00:02:03.760 --> 00:02:08.760]  不過我到現在都沒有一個很想講的意欲
[00:02:08.760 --> 00:02:11.640]  到我覺得有些東西真的要和大家分享的時候
[00:02:11.640 --> 00:02:14.720]  我就會有一次這樣的講座
[00:02:14.720 --> 00:02:15.720]  我們一起祈禱
[00:02:15.720 --> 00:02:17.880]  我們來到神的面前求主幫我們
[00:02:17.880 --> 00:02:20.240]  主因祢傳言的美麗
[00:02:20.240 --> 00:02:21.440]  所以祢吸引我們
[00:02:21.440 --> 00:02:23.440]  讓我們快跑的跟隨您
[00:02:24.320 --> 00:02:26.320]  主因我們今晚再一次求祢
[00:02:26.320 --> 00:02:28.320]  讓我們不單止看見祢的榮耀
[00:02:28.320 --> 00:02:31.000]  讓我們對祢有一種信任
[00:02:31.000 --> 00:02:33.680]  就好像雅歌裏面的女子一樣
[00:02:33.680 --> 00:02:36.040]  縱然有時你暫時消失
[00:02:36.040 --> 00:02:39.440]  但我仍然信任你沒有離開我們
[00:02:39.440 --> 00:02:42.960]  主因今晚我們一起安靜的
[00:02:42.960 --> 00:02:45.600]  帶著我們一個戰經
[00:02:45.600 --> 00:02:47.880]  但亦都是親切的心
[00:02:47.880 --> 00:02:50.080]  祈求祢與我們同在
[00:02:50.080 --> 00:02:53.280]  教導我們屬於你自己的真理
