
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹,你們好!
[00:00:03.000 --> 00:00:09.000]  今天我們繼續的領受關於侍奉主的信息
[00:00:09.000 --> 00:00:15.000]  我們要看主耶穌自己侍奉神的方樣
[00:00:15.000 --> 00:00:19.000]  祂留下方樣就是祂的腳蹤
[00:00:19.000 --> 00:00:25.000]  要我們跟着祂的腳蹤來行走,與祂同行
[00:00:25.000 --> 00:00:29.000]  我們的主留下最好的侍奉方樣
[00:00:29.000 --> 00:00:38.000]  我們要效法祂,做祂的學生,向祂學習如何侍奉神
[00:00:38.000 --> 00:00:47.000]  我們要在聖經裏看一看,我們的主是怎樣的侍奉神
[00:00:47.000 --> 00:00:54.000]  第一方面,我們注意到,耶穌基督到世上來
[00:00:54.000 --> 00:01:01.000]  祂的人生的目標就是按照父神的旨意行
[00:01:01.000 --> 00:01:14.000]  那就是完成父神的旨意,來爲父而活,完成祂的救恩計劃
[00:01:14.000 --> 00:01:21.000]  在希伯來書第十章第五節到七節這樣說
[00:01:21.000 --> 00:01:26.000]  希伯來書十章五節到七節
[00:01:26.000 --> 00:01:30.000]  所以基督到世上來的時候就說
[00:01:30.000 --> 00:01:35.000]  神啊,祭物和禮物是禰不願意的
[00:01:35.000 --> 00:01:39.000]  禰曾給我預備了身體
[00:01:39.000 --> 00:01:45.000]  番祭和赦贖罪祭是禰不喜歡的
[00:01:45.000 --> 00:01:48.000]  那時我說,神啊,我來了
[00:01:48.000 --> 00:01:51.000]  我也要照禰的旨意行
[00:01:51.000 --> 00:01:56.000]  我的事在經卷上已經記載了
[00:01:56.000 --> 00:01:59.000]  在這一段經文裏頭
[00:01:59.000 --> 00:02:07.000]  告訴我們基督在世上侍奉神的心態
[00:02:07.000 --> 00:02:13.000]  祂說,我來了,是要照禰的旨意行
[00:02:13.000 --> 00:02:21.000]  正如主耶穌自己在約翰福音六章三十八節所說的
[00:02:21.000 --> 00:02:24.000]  人子從天上降下來
[00:02:24.000 --> 00:02:28.000]  不是要照自己的意思行
[00:02:28.000 --> 00:02:34.000]  乃是照差他來者的父的意思行
[00:02:34.000 --> 00:02:36.000]  所以我們的主
[00:02:36.000 --> 00:02:43.000]  他的人生的目標不是要滿足自己,完成自己的意願
[00:02:43.000 --> 00:02:52.000]  乃是完成了差他到世上來的聖父的旨意
[00:02:52.000 --> 00:02:56.000]  他的順服是完全的順服
[00:02:56.000 --> 00:03:01.000]  在菲律賓書第二章五節到八節
[00:03:01.000 --> 00:03:05.000]  許多基督徒很熟悉的經文
[00:03:05.000 --> 00:03:09.000]  那就是保羅說
[00:03:09.000 --> 00:03:14.000]  你們當以基督耶穌的心爲心
[00:03:14.000 --> 00:03:17.000]  我們的主原來是與神同等的
[00:03:17.000 --> 00:03:25.000]  但是他不將與神同等當作一種權利緊緊地抓住不放
[00:03:25.000 --> 00:03:31.000]  他乃是願意放下他與神同等的地位
[00:03:31.000 --> 00:03:36.000]  降世爲人,一步一步地降妃
[00:03:36.000 --> 00:03:40.000]  最後死在獅子架上
[00:03:40.000 --> 00:03:45.000]  他爲了我們成爲奴僕的形狀
[00:03:45.000 --> 00:03:49.000]  付了一切的代價
[00:03:49.000 --> 00:03:56.000]  這是我們的主侍奉父神的心志
[00:03:56.000 --> 00:04:01.000]  成爲我們的一個美好的偉大的榜樣
[00:04:01.000 --> 00:04:07.000]  保羅要我們這樣的以耶穌基督的心爲心
[00:04:07.000 --> 00:04:11.000]  這是我們學習的功課
[00:04:11.000 --> 00:04:15.000]  主耶穌基督留下的榜樣的第二方面
[00:04:15.000 --> 00:04:20.000]  就是他有強烈的使命感
[00:04:20.000 --> 00:04:24.000]  強烈的使命感
[00:04:24.000 --> 00:04:27.000]  我們記得主耶穌
[00:04:27.000 --> 00:04:30.000]  他在十二歲的時候
[00:04:30.000 --> 00:04:34.000]  在聖殿裏說過這樣的話
[00:04:34.000 --> 00:04:39.000]  豈不知我應當以我父的事爲念嗎?
[00:04:39.000 --> 00:04:42.000]  這是他的人生的開始
[00:04:42.000 --> 00:04:47.000]  一開始就有這樣的心意心志
[00:04:47.000 --> 00:04:50.000]  以父的事爲念
[00:04:50.000 --> 00:04:53.000]  念念不忘
[00:04:53.000 --> 00:04:56.000]  在約翰福音裏頭
[00:04:56.000 --> 00:04:59.000]  主耶穌有三十九次說
[00:04:59.000 --> 00:05:03.000]  父差我 父差我 父差我
[00:05:03.000 --> 00:05:06.000]  三十九次之多
[00:05:06.000 --> 00:05:11.000]  那就是從他一生一世一直的記得
[00:05:11.000 --> 00:05:17.000]  使父差他來到世上要完成使命
[00:05:17.000 --> 00:05:24.000]  他一直的 清楚的 確定的 堅定的
[00:05:24.000 --> 00:05:27.000]  記得這個使命
[00:05:27.000 --> 00:05:29.000]  爲了成全他
[00:05:29.000 --> 00:05:33.000]  一直到他死在十字架上的時候
[00:05:33.000 --> 00:05:36.000]  最後的護身是成了
[00:05:36.000 --> 00:05:38.000]  成了什麼?
[00:05:38.000 --> 00:05:42.000]  那就是成了父給他的使命
[00:05:42.000 --> 00:05:45.000]  所以他人生開始的一句話
[00:05:45.000 --> 00:05:49.000]  豈不知我應當以我的父的事爲念嗎?
[00:05:49.000 --> 00:05:55.000]  或者最後在十字架上斷氣之前的護身成了
[00:05:55.000 --> 00:06:01.000]  都是一樣的心志貫徹始終
[00:06:01.000 --> 00:06:05.000]  也就是何等的令我們感動
[00:06:05.000 --> 00:06:11.000]  主耶穌爲我們留下侍奉神的方樣的第三點
[00:06:11.000 --> 00:06:17.000]  就是他有很強的獻身感
[00:06:17.000 --> 00:06:21.000]  在希伯來書
[00:06:21.000 --> 00:06:28.000]  第五章七節提到這句話
[00:06:28.000 --> 00:06:33.000]  是很多人不容易明白的
[00:06:33.000 --> 00:06:35.000]  我們來看一看
[00:06:35.000 --> 00:06:39.000]  希伯來書第五章七節
