
[00:00:00.000 --> 00:00:05.000]  我們看回聖經在約書亞記的第五章
[00:00:05.000 --> 00:00:12.000]  當我們讀聖經的時候常常會見到一個主題
[00:00:12.000 --> 00:00:14.000]  是經常出現的
[00:00:14.000 --> 00:00:16.000]  就是神的應許
[00:00:16.000 --> 00:00:18.000]  神的promises
[00:00:18.000 --> 00:00:21.000]  神應許給我們有各樣的恩惠
[00:00:21.000 --> 00:00:23.000]  在聖經彼得厚書特別提及
[00:00:23.000 --> 00:00:29.000]  神已經將祂又寶貴又極大的應許賜給我們
[00:00:29.000 --> 00:00:34.000]  既然我們脫離了因為情慾而來的敗壞
[00:00:34.000 --> 00:00:38.000]  就得與神的性情有份
[00:00:38.000 --> 00:00:41.000]  因此我們可以靠著神的恩惠
[00:00:41.000 --> 00:00:45.000]  我們可以有一天豐豐富富進入神的國度
[00:00:45.000 --> 00:00:48.000]  神給我們有應許
[00:00:48.000 --> 00:00:52.000]  承諾要將完全的恩惠賜給我們
[00:00:52.000 --> 00:00:59.000]  我們所要做的是前進去得著這份應許
[00:00:59.000 --> 00:01:03.000]  但當然前進意味著一份信心
[00:01:03.000 --> 00:01:06.000]  你相信神所說的是真實的
[00:01:06.000 --> 00:01:09.000]  亦意味著無論在什麼困難當中
[00:01:09.000 --> 00:01:11.000]  你繼續來行上去
[00:01:11.000 --> 00:01:13.000]  知道神應許的
[00:01:13.000 --> 00:01:15.000]  祂必然會成全
[00:01:15.000 --> 00:01:21.000]  因此當以色列人領受應許進到迦南地的時候
[00:01:21.000 --> 00:01:24.000]  神就鼓勵他們向前去
[00:01:24.000 --> 00:01:26.000]  在當中無論什麼困難
[00:01:26.000 --> 00:01:29.000]  要繼續聽從神的吩咐
[00:01:29.000 --> 00:01:32.000]  要去得著迦南地
[00:01:32.000 --> 00:01:34.000]  在聽從過程當中
[00:01:34.000 --> 00:01:36.000]  是表示那份信心
[00:01:36.000 --> 00:01:38.000]  我靠著神的恩
[00:01:38.000 --> 00:01:40.000]  我必能得著
[00:01:40.000 --> 00:01:42.000]  各位弟兄姊妹
[00:01:42.000 --> 00:01:45.000]  當你領受神給你的應許的時候
[00:01:45.000 --> 00:01:49.000]  你記住你要憑信心去得著
[00:01:49.000 --> 00:01:52.000]  因為神不想你僅僅得著
[00:01:52.000 --> 00:01:54.000]  我常常跟弟兄姊妹說
[00:01:54.000 --> 00:01:56.000]  基督徒去到永恆的天家的時候
[00:01:56.000 --> 00:01:59.000]  最少有兩種處境
[00:01:59.000 --> 00:02:02.000]  一種是僅僅得著
[00:02:02.000 --> 00:02:05.000]  好像是根柴從火裡面抽出來
[00:02:05.000 --> 00:02:07.000]  好在救了
[00:02:07.000 --> 00:02:12.000]  第二種情況是我們因為神的應許
[00:02:12.000 --> 00:02:17.000]  我們能夠豐豐富富進入神的國度
[00:02:17.000 --> 00:02:20.000]  因此當你領受應許的時候
[00:02:20.000 --> 00:02:25.000]  你鼓勵自己要去得著神給你全部的應許
[00:02:25.000 --> 00:02:27.000]  我剛才說我在北美
[00:02:27.000 --> 00:02:29.000]  我去到溫哥華的時候
[00:02:29.000 --> 00:02:31.000]  曾經有弟兄答應了
[00:02:31.000 --> 00:02:34.000]  把他的房子借給我住
[00:02:34.000 --> 00:02:36.000]  我和太太一起去
[00:02:36.000 --> 00:02:38.000]  我們沒有去過那個地方
[00:02:38.000 --> 00:02:41.000]  但他們答應了給我們用那個地方
[00:02:41.000 --> 00:02:43.000]  所以我們搭飛機
[00:02:43.000 --> 00:02:47.000]  找方法搭飛機去到房屋的地方
[00:02:47.000 --> 00:02:50.000]  下車的時候不知道會有什麼出現
[00:02:50.000 --> 00:02:54.000]  但看到一位朋友在等我們
[00:02:54.000 --> 00:02:56.000]  帶我們上去
[00:02:56.000 --> 00:03:00.000]  然後教我們用各樣的家居設施
[00:03:00.000 --> 00:03:03.000]  在當中我們很感謝神
[00:03:03.000 --> 00:03:06.000]  因為所得到的這個地方
[00:03:06.000 --> 00:03:09.000]  是比我們所想像的更好
[00:03:09.000 --> 00:03:12.000]  在當中可以好好休息
[00:03:12.000 --> 00:03:17.000]  因為有人承諾把這個地方借給我們用
[00:03:17.000 --> 00:03:18.000]  當然我們所得到的
[00:03:18.000 --> 00:03:21.000]  不單是短期臨時的居所
