
[00:00:00.000 --> 00:00:02.000]  我們這個季篤露思想
[00:00:02.000 --> 00:00:04.000]  如何能夠學校耶穌基督
[00:00:04.000 --> 00:00:06.000]  而今天我們特別思想的就是
[00:00:06.000 --> 00:00:08.000]  如何能夠學校主耶穌
[00:00:08.000 --> 00:00:10.000]  祂剛強的實踐聖經的真理
[00:00:10.000 --> 00:00:12.000]  實踐真理
[00:00:12.000 --> 00:00:14.000]  或者大家都會經歷到
[00:00:14.000 --> 00:00:16.000]  很多時候有不同的處境裏面
[00:00:16.000 --> 00:00:18.000]  有些的抉擇
[00:00:18.000 --> 00:00:20.000]  你的心裏面知道真理
[00:00:20.000 --> 00:00:22.000]  是要你怎樣走出來的
[00:00:22.000 --> 00:00:24.000]  但你會聽見有些人
[00:00:24.000 --> 00:00:26.000]  在你身邊就告訴你
[00:00:26.000 --> 00:00:28.000]  你不要這樣做
[00:00:28.000 --> 00:00:30.000]  叫你不要這樣做
[00:00:30.000 --> 00:00:32.000]  甚至會小意大意地告訴你
[00:00:32.000 --> 00:00:34.000]  有些這樣的後果
[00:00:34.000 --> 00:00:36.000]  叫你不要這樣做
[00:00:36.000 --> 00:00:38.000]  好,這位弟兄
[00:00:38.000 --> 00:00:40.000]  當他去到一間新公司上班的時候
[00:00:40.000 --> 00:00:42.000]  他發覺其中一位同事
[00:00:42.000 --> 00:00:44.000]  是其他人所排斥的
[00:00:44.000 --> 00:00:46.000]  一開始以為他有什麼特別的問題
[00:00:46.000 --> 00:00:48.000]  後來才發覺他沒有問題
[00:00:48.000 --> 00:00:50.000]  而且感受到他是一個很盡責
[00:00:50.000 --> 00:00:52.000]  很盡力工作的同事
[00:00:52.000 --> 00:00:54.000]  上司很賞識他
[00:00:54.000 --> 00:00:56.000]  但可能其他同事
[00:00:56.000 --> 00:00:58.000]  不高興他這樣做
[00:00:58.000 --> 00:01:00.000]  因此排斥他
[00:01:00.000 --> 00:01:02.000]  當他嘗試和這位朋友
[00:01:02.000 --> 00:01:04.000]  稍為有些溝通接觸的時候
[00:01:04.000 --> 00:01:06.000]  就有其他同事走過來警告他
[00:01:06.000 --> 00:01:08.000]  告訴他
[00:01:08.000 --> 00:01:10.000]  如果你再這樣做
[00:01:10.000 --> 00:01:12.000]  大家會排斥你
[00:01:12.000 --> 00:01:14.000]  又勸告他
[00:01:14.000 --> 00:01:16.000]  你不如不要和他那麼多合作
[00:01:16.000 --> 00:01:18.000]  那麼多接觸,不是很麻煩
[00:01:18.000 --> 00:01:20.000]  如果你是那位的基督徒
[00:01:20.000 --> 00:01:22.000]  你會怎樣做
[00:01:22.000 --> 00:01:24.000]  你會真的
[00:01:24.000 --> 00:01:26.000]  遠離這位同事
[00:01:26.000 --> 00:01:28.000]  還是嘗試去接納他
[00:01:28.000 --> 00:01:32.000]  很多時候我們面對著一些處境
[00:01:32.000 --> 00:01:34.000]  你知道真理是怎樣
[00:01:34.000 --> 00:01:36.000]  但環境壓力很大
[00:01:36.000 --> 00:01:38.000]  有些時候難於
[00:01:38.000 --> 00:01:40.000]  去實行你所知道的真理
[00:01:40.000 --> 00:01:42.000]  因此今天我們一起
[00:01:42.000 --> 00:01:44.000]  同心思想的,就是主耶穌給我們的榜樣
[00:01:44.000 --> 00:01:46.000]  是什麼
[00:01:46.000 --> 00:01:48.000]  面對著一些處境的時候
[00:01:48.000 --> 00:01:50.000]  他怎樣去堅持行真理
[00:01:50.000 --> 00:01:52.000]  我們自己很多時候會軟弱
[00:01:52.000 --> 00:01:54.000]  但想起主耶穌的榜樣
[00:01:54.000 --> 00:01:56.000]  會激勵我們的心
[00:01:56.000 --> 00:01:58.000]  知道怎樣去堅守真理
[00:01:58.000 --> 00:02:00.000]  我們一起看聖經
[00:02:00.000 --> 00:02:02.000]  剛才讀的《馬可福音》
[00:02:02.000 --> 00:02:04.000]  第三章的經文
[00:02:04.000 --> 00:02:10.000]  我們試試從三方面思想
[00:02:10.000 --> 00:02:12.000]  這段短短的經文
[00:02:12.000 --> 00:02:16.000]  首先我們看到主耶穌
[00:02:16.000 --> 00:02:18.000]  他是沒有迴避去行真理的
[00:02:18.000 --> 00:02:20.000]  他是正面的
[00:02:20.000 --> 00:02:22.000]  來去面對
[00:02:22.000 --> 00:02:24.000]  第三章第一節說
[00:02:24.000 --> 00:02:26.000]  耶穌有進了回堂
[00:02:26.000 --> 00:02:28.000]  在那裡有一個人,夫君有一隻手
[00:02:28.000 --> 00:02:30.000]  眾人窺探耶穌
[00:02:30.000 --> 00:02:32.000]  逐安昔日,醫治不醫治
[00:02:32.000 --> 00:02:34.000]  以先兆要控告耶穌
[00:02:34.000 --> 00:02:36.000]  耶穌對那夫君一隻手的人說
[00:02:36.000 --> 00:02:38.000]  「起來站在當中」
[00:02:38.000 --> 00:02:42.000]  聖經第二節提到眾人窺探耶穌
[00:02:42.000 --> 00:02:44.000]  是當時一班猶太人
[00:02:44.000 --> 00:02:46.000]  他們很想能夠捉到
[00:02:46.000 --> 00:02:48.000]  耶穌的把柄
[00:02:48.000 --> 00:02:50.000]  來控告祂
[00:02:50.000 --> 00:02:52.000]  大家知道這個背景
[00:02:52.000 --> 00:02:54.000]  當時耶穌出現的時候
[00:02:54.000 --> 00:02:56.000]  很多群眾擁護耶穌
[00:02:56.000 --> 00:02:58.000]  因為祂帶來了
[00:02:58.000 --> 00:03:00.000]  真理和醫治
[00:03:00.000 --> 00:03:02.000]  突然間這些法利賽人
[00:03:02.000 --> 00:03:04.000]  這些宗教的領袖
[00:03:04.000 --> 00:03:06.000]  感覺他們的地位被耶穌取代了
[00:03:06.000 --> 00:03:08.000]  所以他們很不開心
[00:03:08.000 --> 00:03:10.000]  他們妒忌耶穌
[00:03:10.000 --> 00:03:12.000]  妒忌耶穌得到人的擁戴
[00:03:12.000 --> 00:03:14.000]  因此他們想找出一些把柄
[00:03:14.000 --> 00:03:16.000]  來控告耶穌
[00:03:16.000 --> 00:03:18.000]  將祂從被尊重的位置
[00:03:18.000 --> 00:03:20.000]  拉下來
[00:03:20.000 --> 00:03:22.000]  這是當時猶太人的動機
[00:03:22.000 --> 00:03:24.000]  耶穌明白他們的情況
[00:03:24.000 --> 00:03:26.000]  當他們窺探耶穌的時候
[00:03:26.000 --> 00:03:28.000]  不是很願意
[00:03:28.000 --> 00:03:30.000]  人去遵守神的律法
[00:03:30.000 --> 00:03:32.000]  只不過用律法的一些規條
[00:03:32.000 --> 00:03:34.000]  來想去定耶穌的罪
[00:03:34.000 --> 00:03:36.000]  他們也不是關心
[00:03:36.000 --> 00:03:38.000]  那個病人得不得到醫治
[00:03:38.000 --> 00:03:40.000]  他們只是想找一些藉口
[00:03:40.000 --> 00:03:42.000]  來控告耶穌
[00:03:42.000 --> 00:03:44.000]  當他們窺探耶穌的時候
[00:03:44.000 --> 00:03:46.000]  不是很願意
[00:03:46.000 --> 00:03:48.000]  用藉口來控告耶穌
[00:03:48.000 --> 00:03:50.000]  這是當時的處境
[00:03:50.000 --> 00:03:52.000]  但是當時耶穌就很直接地
[00:03:52.000 --> 00:03:54.000]  來跟這個病人說
[00:03:54.000 --> 00:03:56.000]  第三節
[00:03:56.000 --> 00:03:58.000]  耶穌對那夫官一隻手的人說
[00:03:58.000 --> 00:04:00.000]  起來站在當中
[00:04:00.000 --> 00:04:02.000]  不要迴避
[00:04:02.000 --> 00:04:04.000]  只是叫他來到大家的中間
[00:04:04.000 --> 00:04:06.000]  很明顯的一個位置
[00:04:06.000 --> 00:04:08.000]  要公開面對這件事情
[00:04:08.000 --> 00:04:10.000]  大家可能會考慮到
[00:04:10.000 --> 00:04:12.000]  如果你是耶穌
[00:04:12.000 --> 00:04:14.000]  你會有一個感覺
[00:04:14.000 --> 00:04:16.000]  不需要和他正面衝突
[00:04:16.000 --> 00:04:18.000]  暫時避開一下
[00:04:18.000 --> 00:04:20.000]  或者進去會堂的地方
[00:04:20.000 --> 00:04:22.000]  找幾個人
[00:04:22.000 --> 00:04:24.000]  跟他聊天
[00:04:24.000 --> 00:04:26.000]  集中注意力
[00:04:26.000 --> 00:04:28.000]  在這幾個人身上
[00:04:28.000 --> 00:04:30.000]  當作看不見病人
[00:04:30.000 --> 00:04:32.000]  避開困局
[00:04:32.000 --> 00:04:34.000]  又或者
[00:04:34.000 --> 00:04:36.000]  不需要在人面前醫治他
[00:04:36.000 --> 00:04:38.000]  可以離開會堂
[00:04:38.000 --> 00:04:40.000]  再過一段時間
[00:04:40.000 --> 00:04:42.000]  人少一點的時候再回來
