
[00:00:00.000 --> 00:00:04.440]  剛才大家看到這群人拿著甚麼?
[00:00:04.440 --> 00:00:05.560]  中樹枝
[00:00:05.560 --> 00:00:09.360]  進來禮堂開始今天的崇拜
[00:00:09.360 --> 00:00:13.480]  各堂的崇拜都是以這樣的方式開始
[00:00:13.480 --> 00:00:15.680]  如果你有機會去到一些外國的教會
[00:00:15.680 --> 00:00:18.000]  有些時候他們在中樹主日
[00:00:18.000 --> 00:00:20.600]  他們不讓頂尖入禮堂
[00:00:20.600 --> 00:00:23.480]  全部在門口外聚集
[00:00:23.480 --> 00:00:25.840]  然後每個人都派一枝中樹枝
[00:00:25.840 --> 00:00:28.600]  然後所有人都是拿著中樹枝
[00:00:28.600 --> 00:00:30.960]  進來禮堂當中
[00:00:30.960 --> 00:00:34.240]  在當中表示一種德性的表達
[00:00:34.240 --> 00:00:36.000]  主耶穌基督祂作王
[00:00:36.000 --> 00:00:36.960]  祂是君王
[00:00:36.960 --> 00:00:38.000]  祂是德性
[00:00:38.000 --> 00:00:41.240]  而我們歡慶祂自己的德性
[00:00:41.240 --> 00:00:43.920]  亦都一齊來贊頌祂
[00:00:43.920 --> 00:00:46.040]  當我們拿起一枝中樹枝的時候
[00:00:46.040 --> 00:00:47.800]  亦都提醒我們想起
[00:00:47.800 --> 00:00:51.440]  主耶穌當時進入耶路撒冷的情景
[00:00:51.440 --> 00:00:53.680]  這個時候我請大家先打開聖經
[00:00:53.680 --> 00:00:58.560]  你嘗試回到聖經最後的啟示錄
[00:00:58.560 --> 00:01:02.760]  在聖經啟示錄的第七章
[00:01:02.760 --> 00:01:14.440]  聖經最後一卷書啟示錄第七章
[00:01:14.440 --> 00:01:17.240]  我們看第九節
[00:01:17.240 --> 00:01:21.440]  第十節
[00:01:21.440 --> 00:01:24.040]  聖經講到末世的情況
[00:01:24.040 --> 00:01:26.680]  他說:此後我觀看
[00:01:26.680 --> 00:01:28.520]  見有許多的人
[00:01:28.520 --> 00:01:30.800]  沒有人能數過來
[00:01:30.800 --> 00:01:34.680]  是從各國各族各民各方來的
[00:01:34.680 --> 00:01:37.200]  站在寶座和羔羊面前
[00:01:37.200 --> 00:01:38.760]  身穿白衣
[00:01:38.760 --> 00:01:40.560]  手拿中樹枝
[00:01:40.560 --> 00:01:42.480]  大聲喊著說
[00:01:42.480 --> 00:01:44.840]  願救恩歸於坐在寶座上
[00:01:44.840 --> 00:01:49.320]  我們的神也歸於羔羊
[00:01:49.320 --> 00:01:50.960]  在當時的教會
[00:01:50.960 --> 00:01:53.000]  當讀到聖經的時候
[00:01:53.000 --> 00:01:55.000]  不單單他們看見
