
[00:00:00.000 --> 00:00:03.460]  今天選讀和大家砌思想的經文
[00:00:03.460 --> 00:00:05.260]  不是因為那件事
[00:00:05.260 --> 00:00:11.460]  當然我很久以前已經預備開始和大家分享
[00:00:11.460 --> 00:00:14.380]  但正正就是《以賽雅書》第57章
[00:00:14.380 --> 00:00:16.720]  剛才我們所讀那段成經
[00:00:16.720 --> 00:00:19.100]  我給了一個題目
[00:00:19.100 --> 00:00:23.040]  是神透過先知以賽雅和她的說話
[00:00:23.040 --> 00:00:27.420]  呼籲我們回歸祂 回歸神
[00:00:27.420 --> 00:00:30.840]  我相信這正是我們今天人類的訊息
[00:00:30.840 --> 00:00:33.540]  也是你和我的訊息
[00:00:33.540 --> 00:00:37.580]  有人說我們成了北唐三十年還要回歸神嗎?
[00:00:37.580 --> 00:00:38.680]  沒錯
[00:00:38.680 --> 00:00:40.680]  每一個基督徒無論他是怎樣
[00:00:40.680 --> 00:00:42.680]  包括我站在台上的我
[00:00:42.680 --> 00:00:45.420]  都要回歸神
[00:00:45.420 --> 00:00:48.520]  每一間教會都要回歸神
[00:00:48.520 --> 00:00:49.840]  為什麼?
[00:00:49.840 --> 00:00:54.420]  因為我們有時候自己都不知不覺的
[00:00:54.420 --> 00:00:57.420]  我們已經慢慢遠離了神
[00:00:57.420 --> 00:00:59.760]  我們要不斷提醒我們自己
[00:00:59.760 --> 00:01:02.540]  要聽神自己所說的話
[00:01:02.540 --> 00:01:04.920]  和對我們的挑戰
[00:01:04.920 --> 00:01:09.260]  呼籲來回歸祂
[00:01:09.260 --> 00:01:13.960]  回歸神的呼喚
[00:01:13.960 --> 00:01:16.720]  什麼叫做回歸神?
[00:01:16.720 --> 00:01:19.460]  有些弟兄姊妹說我今天不是回了禮拜堂嗎?
[00:01:19.460 --> 00:01:22.000]  我何須看這個題目呢?
[00:01:22.000 --> 00:01:24.260]  我在不久的時間也有來禮拜堂
[00:01:24.260 --> 00:01:26.260]  沒錯,我不是說你不來禮拜堂
[00:01:26.260 --> 00:01:27.920]  不是說星期六沒有在
[00:01:27.920 --> 00:01:29.920]  或者甚至我去團契
[00:01:29.920 --> 00:01:33.120]  或者你去有不同的侍奉
[00:01:33.120 --> 00:01:34.620]  有主日學
[00:01:34.620 --> 00:01:37.120]  但是神的意思
[00:01:37.120 --> 00:01:38.420]  回歸祂
[00:01:38.420 --> 00:01:40.420]  不是單單一些活動
[00:01:40.420 --> 00:01:43.120]  參與一些聚會
[00:01:43.120 --> 00:01:45.300]  回歸神是將你的心
[00:01:45.300 --> 00:01:46.420]  你的生活
[00:01:46.420 --> 00:01:50.220]  重新將神放回最重要的位置
[00:01:50.220 --> 00:01:51.800]  這是神聖經裡面
[00:01:51.800 --> 00:01:54.120]  多次說到回歸的時候所說的意思
[00:01:54.120 --> 00:01:55.380]  待會我們會看下去
[00:01:55.380 --> 00:01:57.000]  這段聖經也是一樣
[00:01:57.000 --> 00:01:58.340]  是這樣說的
[00:01:58.340 --> 00:02:00.080]  為什麼我們在這個時代裡面
[00:02:00.080 --> 00:02:01.160]  真的要說
[00:02:01.160 --> 00:02:06.340]  更多說回歸神這個訊息呢?
[00:02:06.340 --> 00:02:08.920]  我們說時代變了
[00:02:08.920 --> 00:02:12.300]  從以前一直傳統的社會到現在
[00:02:12.300 --> 00:02:15.460]  有些社會學家用了一個新的字眼來描述
