
[00:00:00.000 --> 00:00:05.300]  亞伯蘭的妻子撒萊沒有為他生孩子
[00:00:05.300 --> 00:00:07.500]  撒萊有一個婢女
[00:00:07.500 --> 00:00:10.600]  是埃及人 名叫夏賈
[00:00:10.600 --> 00:00:12.900]  撒萊對亞伯蘭說
[00:00:12.900 --> 00:00:16.000]  看了 耶和華說我不能生育
[00:00:16.000 --> 00:00:18.800]  你來和我的婢女同房
[00:00:18.800 --> 00:00:21.800]  也許我可以從她得孩子
[00:00:21.800 --> 00:00:24.800]  亞伯蘭聽從了撒萊的話
[00:00:24.800 --> 00:00:29.500]  於是亞伯蘭的妻子撒萊把他的婢女
[00:00:29.500 --> 00:00:33.800]  埃及人夏賈給了丈夫為妾
[00:00:33.800 --> 00:00:38.600]  那時亞伯蘭在加蘭已經住了十年
[00:00:38.600 --> 00:00:41.300]  亞伯蘭與夏賈同房
[00:00:41.300 --> 00:00:43.500]  夏賈就懷了孕
[00:00:43.500 --> 00:00:46.000]  他看見自己有孕
[00:00:46.000 --> 00:00:49.400]  就輕視他的女主人
[00:00:49.400 --> 00:00:51.700]  撒萊對亞伯蘭說
[00:00:51.700 --> 00:00:54.300]  我因你受了委屈
[00:00:54.300 --> 00:00:57.700]  我把我的婢女放在你懷中
[00:00:57.700 --> 00:01:01.100]  他見自己懷了孕就輕視我
[00:01:01.100 --> 00:01:04.900]  願耶和華在你我之間判斷
[00:01:04.900 --> 00:01:06.900]  亞伯蘭對撒萊說
[00:01:06.900 --> 00:01:09.000]  看了 婢女在你手裡
[00:01:09.000 --> 00:01:12.200]  你可以照你看為好的對待她
[00:01:12.200 --> 00:01:15.300]  於是撒萊虐待她
[00:01:15.300 --> 00:01:19.400]  她就從撒萊面前逃走了
[00:01:19.400 --> 00:01:23.300]  耶和華的使者在曠野的水泉旁
[00:01:23.300 --> 00:01:27.400]  在舒爾路上的水泉旁遇見夏賈
[00:01:27.400 --> 00:01:31.000]  對他說 撒萊的婢女夏賈
[00:01:31.000 --> 00:01:35.500]  你從哪裡來 你要到哪裡去
[00:01:35.500 --> 00:01:40.300]  他說 我從我的女主人撒萊面前逃出來
[00:01:40.300 --> 00:01:43.100]  耶和華的使者對他說
[00:01:43.100 --> 00:01:46.700]  你要回到你的女主人那裡
[00:01:46.700 --> 00:01:49.800]  屈服在她手下
[00:01:49.800 --> 00:01:52.600]  耶和華的使者對他說
[00:01:52.600 --> 00:01:56.600]  我必使你的後裔及其繁多
[00:01:56.600 --> 00:01:59.500]  多到不可勝數
[00:01:59.500 --> 00:02:02.700]  耶和華的使者又對他說
[00:02:02.700 --> 00:02:06.700]  看了 你已懷孕 要生一個兒子
[00:02:06.700 --> 00:02:10.100]  你要給他起名叫以什瑪利
[00:02:10.100 --> 00:02:13.600]  因為耶和華聽見了你的苦處
[00:02:13.600 --> 00:02:16.500]  他為人必像野驢
[00:02:16.500 --> 00:02:19.100]  他的手要攻打人
[00:02:19.100 --> 00:02:21.900]  人的手也要攻打他
[00:02:21.900 --> 00:02:26.500]  他必長於他的眾弟兄作對
[00:02:26.500 --> 00:02:32.900]  夏賈就稱那向他說話的耶和華為
[00:02:32.900 --> 00:02:34.900]  你是看見的神
[00:02:34.900 --> 00:02:38.400]  因為他說 他看見了我之後
[00:02:38.400 --> 00:02:41.400]  我還能在這裡看見他嗎
[00:02:41.400 --> 00:02:46.400]  所以這景名叫比爾拉海萊
[00:02:46.400 --> 00:02:51.400]  看那 他位於迦底斯和巴列的中間
[00:02:51.400 --> 00:02:55.600]  後來夏賈為亞伯蘭生了一個兒子
[00:02:55.600 --> 00:03:01.300]  亞伯蘭給夏賈生的兒子起名叫以什瑪利
[00:03:01.300 --> 00:03:05.000]  夏賈為亞伯蘭生以什瑪利的時候
[00:03:05.000 --> 00:03:08.000]  亞伯蘭年八十六歲
[00:03:08.000 --> 00:03:10.000]  好了 經文讀畢
[00:03:10.000 --> 00:03:15.700]  各位同工 各位弟兄姊妹 新年好
[00:03:15.700 --> 00:03:18.500]  非常感恩有機會再次來到丹中
[00:03:18.500 --> 00:03:21.600]  跟大家分享上帝的話語
[00:03:21.600 --> 00:03:24.400]  今天我們看這一段經文
[00:03:24.400 --> 00:03:26.900]  實際上是非常容易讀的
[00:03:26.900 --> 00:03:28.600]  講一段故事
[00:03:28.600 --> 00:03:34.900]  這段故事實際上跟我們的日常生活很有關係
[00:03:34.900 --> 00:03:38.400]  而且放在新的一年來談這個話題
[00:03:38.400 --> 00:03:43.000]  對我們來說其實預示著
[00:03:43.000 --> 00:03:51.600]  這段經文可能帶給我們心裡有其他的提醒
[00:03:51.600 --> 00:03:55.800]  我們在講這個內容之前我們先做個禱告
[00:03:55.800 --> 00:03:57.600]  親愛的主我們感謝你
[00:03:57.600 --> 00:04:01.000]  帶領我們一同有機會來看一段
[00:04:01.000 --> 00:04:04.400]  在《創世紀》的十六章這一段內容
[00:04:04.400 --> 00:04:06.900]  這段內容發生在歷史當中
[00:04:06.900 --> 00:04:12.200]  曾經上帝出現在當時的人物面前
[00:04:12.200 --> 00:04:17.200]  同樣上帝你過去 現在 未來是一樣的
[00:04:17.200 --> 00:04:18.600]  沒有改變過的
[00:04:18.600 --> 00:04:20.800]  所以你對過去的人講話
[00:04:20.800 --> 00:04:26.000]  對我們今天也同樣有新意
[00:04:26.000 --> 00:04:29.400]  那麼這段新意我們需要透過這段內容來了解
[00:04:29.400 --> 00:04:31.900]  願主親自開啟我們的心竅
[00:04:31.900 --> 00:04:33.900]  這樣禱告奉耶穌基督的名
[00:04:33.900 --> 00:04:35.700]  Amen
[00:04:35.700 --> 00:04:37.800]  各位弟兄姊妹
[00:04:37.800 --> 00:04:40.500]  在新的一年我們通常都有新的期待
[00:04:40.500 --> 00:04:44.700]  因為新意味著跟舊有不同
[00:04:44.700 --> 00:04:48.100]  尤其在華人的心靈文化裡面
[00:04:48.100 --> 00:04:50.600]  我們總是有很多的期待
[00:04:50.600 --> 00:04:57.200]  或者說新的一年有希望跟過去的三百多天的日子不同一點
[00:04:57.200 --> 00:05:00.400]  所以我們會發現每一年有新
[00:05:00.400 --> 00:05:03.100]  就意味著過去有遺憾的
[00:05:03.100 --> 00:05:06.100]  就像在小時候我寫日記
[00:05:06.100 --> 00:05:10.500]  我總是在每一年的開始立志
[00:05:10.500 --> 00:05:12.800]  要過一個跟過去不一樣的日子
[00:05:12.800 --> 00:05:13.900]  作業好好寫
[00:05:13.900 --> 00:05:17.200]  上課認真聽老師講的內容
[00:05:17.200 --> 00:05:18.700]  不懂得要多問
[00:05:18.700 --> 00:05:21.500]  可是來年翻回日記看
[00:05:21.500 --> 00:05:23.000]  好多都做不到
[00:05:23.000 --> 00:05:27.800]  所以後來發現有許多沒有實現的期待
[00:05:27.800 --> 00:05:32.800]  甚至有時候自己立志期待
[00:05:32.800 --> 00:05:35.900]  內心裡面是希望它立即實現的
[00:05:35.900 --> 00:05:39.300]  快點實現
[00:05:39.300 --> 00:05:43.100]  但各位有沒有想過
[00:05:43.100 --> 00:05:46.700]  我們是不是曾經對上帝也感到
[00:05:46.700 --> 00:05:50.500]  有一種期待的理念不耐煩
[00:05:50.500 --> 00:05:51.600]  我期待上帝
[00:05:51.600 --> 00:05:55.400]  或者說期待這位看顧人的神
[00:05:55.400 --> 00:05:57.600]  他回應我的需要
[00:05:57.600 --> 00:05:58.400]  我們唱詩
[00:05:58.400 --> 00:05:59.600]  我們讀經
[00:05:59.600 --> 00:06:03.100]  基督教基本上的主旨的內容
[00:06:03.100 --> 00:06:06.100]  要告訴你上帝是看顧你的神
[00:06:06.100 --> 00:06:10.400]  坦白說這個講題是老生常談的
[00:06:10.400 --> 00:06:12.000]  看顧人的神
[00:06:12.000 --> 00:06:15.000]  就好像每一年的新氣象
[00:06:15.000 --> 00:06:16.400]  神啊你是看顧我的
[00:06:16.400 --> 00:06:17.400]  我把我的家庭
[00:06:17.400 --> 00:06:19.200]  我把我的平安交給你
[00:06:19.200 --> 00:06:22.700]  就好像我早上進入到這座大廈的時候
[00:06:22.700 --> 00:06:25.100]  那個福是倒過來的
[00:06:25.100 --> 00:06:27.100]  希望把這種福
[00:06:27.100 --> 00:06:30.000]  淋在每一個人的家庭
[00:06:30.000 --> 00:06:30.800]  換句話講
[00:06:30.800 --> 00:06:32.800]  我是拒絕苦難的
[00:06:32.800 --> 00:06:35.700]  我是不希望這些不順利的事情
[00:06:35.700 --> 00:06:38.000]  淋到我的身上
[00:06:38.000 --> 00:06:39.100]  各位你有沒有想過
[00:06:39.100 --> 00:06:40.900]  既然說祂是看顧的神
[00:06:40.900 --> 00:06:42.000]  說明你有難處
[00:06:42.000 --> 00:06:46.000]  才需要祂看顧
[00:06:46.000 --> 00:06:50.300]  看顧是在一種困境裡面
[00:06:50.300 --> 00:06:52.500]  在一種不容易的環境當中
[00:06:52.500 --> 00:06:53.900]  才需要看顧的
[00:06:53.900 --> 00:06:54.600]  否則的話
[00:06:54.600 --> 00:06:56.300]  風和日麗之下
[00:06:56.300 --> 00:06:58.700]  我們大概不需要特別的保護的
[00:06:58.700 --> 00:06:59.300]  對不對
[00:06:59.300 --> 00:07:02.700]  一切都在自己的掌控當中
[00:07:02.700 --> 00:07:06.100]  各位我們今天讀的這段經文很有意思
[00:07:06.100 --> 00:07:07.900]  在《篡十記》的十六章
