
[00:00:00.000 --> 00:00:05.000]  兄弟姐妹早安,平安,我們是要不要
[00:00:05.000 --> 00:00:12.000]  這裏的題目,周康不是答錯,是有刪除線加上去的
[00:00:12.000 --> 00:00:14.000]  最初的題目是要不要的人生
[00:00:14.000 --> 00:00:18.000]  其實你跟我生活,每天都在經歷這個事情
[00:00:18.000 --> 00:00:22.000]  你問人,或者被人問,要不要?
[00:00:22.000 --> 00:00:24.000]  吃不吃?
[00:00:24.000 --> 00:00:28.000]  意思是我們每天都做很多選擇
[00:00:28.000 --> 00:00:30.000]  你怕什麼影響你的選擇?
[00:00:30.000 --> 00:00:35.000]  當然是喜好,或者你覺得不益處的事,好的事
[00:00:35.000 --> 00:00:43.000]  或者有些重要的事,你更加需要用你的信仰,你的價值觀
[00:00:43.000 --> 00:00:47.000]  或者你有善惡的觀念,很多時候我們都會行事
[00:00:47.000 --> 00:00:51.000]  會聽那句說話,從小到大,善有善報
[00:00:51.000 --> 00:00:54.000]  惡有惡報,然後最重要是後面那個
[00:00:54.000 --> 00:00:56.000]  若然未報,時辰未到
[00:00:56.000 --> 00:01:00.000]  仍然有惡人,不好的事情還在發生
[00:01:00.000 --> 00:01:02.000]  報應未到
[00:01:02.000 --> 00:01:07.000]  我們不同民族,國家,宗教都會有一個觀念
[00:01:07.000 --> 00:01:11.000]  有報應的,你這樣做是壞事
[00:01:11.000 --> 00:01:13.000]  不過現在還不是時候
[00:01:13.000 --> 00:01:19.000]  這個都會影響我們,是不是要做好事呢?
[00:01:19.000 --> 00:01:23.000]  你的意思是做好事壞事,會有相應的報應
[00:01:23.000 --> 00:01:28.000]  不過今天要看的經文或者傳道書,這裏又是挺衝擊我們
[00:01:28.000 --> 00:01:36.000]  它在說一個現實的世界,有些時候是報應的顛倒
[00:01:36.000 --> 00:01:40.000]  不是跟剛才所說的情況,發生的時間
[00:01:40.000 --> 00:01:47.000]  不過你說時辰未到,但你仍然看到有些情況是令你很憤怒
[00:01:47.000 --> 00:01:52.000]  或者覺得很不公平,又是怎樣的狀況呢?
[00:01:52.000 --> 00:01:58.000]  所以要不要都在今天想分享的經文都會不斷出現
[00:01:58.000 --> 00:02:01.000]  它說要怎樣,或者不要要怎樣
[00:02:01.000 --> 00:02:03.000]  裏面究竟說了什麼呢?
[00:02:03.000 --> 00:02:05.000]  我們就去思考吧
[00:02:05.000 --> 00:02:13.000]  看回一點,經文的結構我們說到第七章
[00:02:13.000 --> 00:02:18.000]  周刊和剛才展示出來說到八章
