
[00:00:00.000 --> 00:00:03.240]  主內的弟兄姊妹,你們好
[00:00:03.240 --> 00:00:08.900]  今天我們繼續聆受關於侍奉主的信息
[00:00:08.900 --> 00:00:11.600]  我們要看舊約裡面
[00:00:11.600 --> 00:00:17.600]  五位很重要的先知侍奉主的表現
[00:00:17.600 --> 00:00:22.840]  他們侍奉主的表現都有一個共同的特性
[00:00:22.840 --> 00:00:27.040]  就是有活的性質
[00:00:27.040 --> 00:00:32.700]  在聖經裡面,活有四種意義
[00:00:32.700 --> 00:00:38.240]  第一種的意義就是活表示潔淨
[00:00:38.240 --> 00:00:44.700]  第二種的意義,活表示熱誠和疏離的負擔
[00:00:44.700 --> 00:00:53.040]  第三種的意義,活是表示像火把一樣的照耀發光
[00:00:53.040 --> 00:01:00.840]  第四種的意義,活象徵試煉、考驗
[00:01:00.840 --> 00:01:04.840]  我們要看五位重要的先知
[00:01:04.840 --> 00:01:11.040]  他們的侍奉都具有這些活的特性
[00:01:11.040 --> 00:01:17.040]  我們首先看先知以色列的侍奉
[00:01:17.040 --> 00:01:21.040]  在以色列書第六章
[00:01:21.040 --> 00:01:30.040]  頭一段記載先知以色列在聖殿裡所見的意象
[00:01:30.040 --> 00:01:37.040]  在這個意象中有一個很明顯的特點
[00:01:37.040 --> 00:01:41.040]  就是六章三節所說的
[00:01:41.040 --> 00:01:49.040]  「薩拉夫彼此的呼喊說:聖哉!聖哉!聖哉!
[00:01:49.040 --> 00:01:55.040]  萬鈞之又華,他的榮光充滿全地」
[00:01:55.040 --> 00:02:01.040]  在這裡我們看見神的特性是聖潔
[00:02:01.040 --> 00:02:09.040]  這裡薩拉夫一連三次地呼喊「聖哉!聖哉!聖哉!」
[00:02:09.040 --> 00:02:15.040]  這樣的來描寫神、介紹神
[00:02:15.040 --> 00:02:21.040]  讓聽見的人可以認識神的聖潔的特性
[00:02:21.040 --> 00:02:26.040]  當先知以色列聽見這個呼聲的時候
[00:02:26.040 --> 00:02:30.040]  他的反應是什麼呢?第五節
[00:02:30.040 --> 00:02:35.040]  「那時我說:或哉!我滅亡了!
[00:02:35.040 --> 00:02:42.040]  因為我是嘴唇不潔淨的人,又住在嘴唇不潔的民中
[00:02:42.040 --> 00:02:49.040]  又因我眼見大君王,又華!萬鈞之又華!」
[00:02:49.040 --> 00:02:54.040]  他在這裡所表達的意思就是
[00:02:54.040 --> 00:02:58.040]  他發現自己是不夠聖潔
[00:02:58.040 --> 00:03:04.040]  所以他發出一個痛苦的呼聲「或哉!」
[00:03:04.040 --> 00:03:08.040]  為什麼他有這樣的感受呢?
[00:03:08.040 --> 00:03:12.040]  他在這裡解釋得很清楚
[00:03:12.040 --> 00:03:20.040]  「因我眼見大君王,萬鈞之又華!」是那樣的聖潔
[00:03:20.040 --> 00:03:24.040]  當他看見神的聖潔的時候
[00:03:24.040 --> 00:03:28.040]  就立刻感受到自己的不聖潔
[00:03:28.040 --> 00:03:35.040]  這是任何人的同樣的經歷
[00:03:35.040 --> 00:03:39.040]  每一個感受到自己不聖潔的人的原因
[00:03:39.040 --> 00:03:43.040]  就是因為他看見了聖潔的神
[00:03:43.040 --> 00:03:48.040]  在神聖潔的光中發現自己不聖潔
[00:03:48.040 --> 00:03:52.040]  他說「我是嘴唇不潔的人」
[00:03:52.040 --> 00:03:57.040]  嘴唇不潔就是他的言語不潔
[00:03:57.040 --> 00:04:02.040]  言語不潔代表他的生活不潔
[00:04:02.040 --> 00:04:07.040]  這是一個代表性的話語
[00:04:07.040 --> 00:04:13.040]  他跟著又說他住在嘴唇不潔的民中
[00:04:13.040 --> 00:04:20.040]  意思就是說他的人生的環境也影響他
[00:04:20.040 --> 00:04:25.040]  使他過一個不夠聖潔的生活
[00:04:25.040 --> 00:04:31.040]  他和他周圍的人都是這樣的情況
[00:04:31.040 --> 00:04:35.040]  在神的聖潔的亮光之中
[00:04:35.040 --> 00:04:39.040]  發現了自己不聖潔
[00:04:39.040 --> 00:04:46.040]  那麼這是先知以色壓他的經驗
[00:04:46.040 --> 00:04:52.040]  就表達了活的第一個特性
[00:04:52.040 --> 00:04:55.040]  那就是潔淨
[00:04:55.040 --> 00:04:59.040]  當先知以色壓看見神的聖潔的時候
[00:04:59.040 --> 00:05:07.040]  他的內心埋了痛苦和悔改的心境的時候
[00:05:07.040 --> 00:05:13.040]  神的使者就用火炭沾他的口
[00:05:13.040 --> 00:05:17.040]  使他得到潔淨
[00:05:17.040 --> 00:05:22.040]  這樣他就可以用聖潔來侍奉神
[00:05:22.040 --> 00:05:27.040]  因此以色壓侍奉神的特點
[00:05:27.040 --> 00:05:33.040]  就是以聖潔侍奉聖潔的神
[00:05:33.040 --> 00:05:35.040]  神是聖潔的
[00:05:35.040 --> 00:05:39.040]  一個不聖潔的人不能夠侍奉他
[00:05:39.040 --> 00:05:43.040]  所以我們從這裡學到一個很重要的功課
[00:05:43.040 --> 00:05:49.040]  我們也願意經過這樣的火炭的潔淨
[00:05:49.040 --> 00:05:57.040]  使我們能夠以神的聖潔來侍奉聖潔的神
[00:05:57.040 --> 00:06:07.040]  我們也記得在七十路第四章第六節
[00:06:07.040 --> 00:06:12.040]  使徒約翰看見了神的意象
[00:06:12.040 --> 00:06:20.040]  在這個意象中四章八節這樣的告訴我們
[00:06:20.040 --> 00:06:23.040]  四活物各有六個翅膀
[00:06:23.040 --> 00:06:27.040]  遍體內外都埋了眼睛
[00:06:27.040 --> 00:06:29.040]  他們晝夜不住地說
[00:06:29.040 --> 00:06:32.040]  聖哉!聖哉!聖哉!
[00:06:32.040 --> 00:06:38.040]  主神是西哉、今哉、以後永哉的全能者
[00:06:38.040 --> 00:06:43.040]  這裡再一次給我們看見聖哉!聖哉!聖哉!
[00:06:43.040 --> 00:06:50.040]  一連三次來宣告神的聖潔
[00:06:50.040 --> 00:06:55.040]  和以賽亞書第六章遙遙相應
[00:06:55.040 --> 00:07:00.040]  這裡告訴我們在神的面前
[00:07:00.040 --> 00:07:02.040]  一切都是聖潔的
[00:07:02.040 --> 00:07:08.040]  不聖潔的不能夠站立在祂的面前
[00:07:08.040 --> 00:07:15.040]  在第七十路第四章第六節提到
[00:07:15.040 --> 00:07:21.040]  神的寶座前好像一個玻璃海如同水晶
[00:07:21.040 --> 00:07:25.040]  意思就是說在寶座的前面
[00:07:25.040 --> 00:07:32.040]  一切都是像玻璃、像水晶一樣透明的
[00:07:32.040 --> 00:07:37.040]  一切都赤露敞開、鮮明出來
[00:07:37.040 --> 00:07:42.040]  不能夠隱藏、無所遁形
[00:07:42.040 --> 00:07:46.040]  所以在神面前侍奉的人
[00:07:46.040 --> 00:07:53.040]  都要學習追求聖潔、進入聖潔的功課
[00:07:53.040 --> 00:07:58.040]  我們在神的光中看見自己的真相
[00:07:58.040 --> 00:08:02.040]  發現自己的瑕疵、誤會
[00:08:02.040 --> 00:08:06.040]  我們先從神得到解淨
[00:08:06.040 --> 00:08:13.040]  像薩拉夫用火炭解淨了以賽亞一樣
[00:08:13.040 --> 00:08:16.040]  我們就可以像他一樣的
[00:08:16.040 --> 00:08:22.040]  來蒙神月那那樣的侍奉他
[00:08:22.040 --> 00:08:26.040]  我們再看第二位先知
[00:08:26.040 --> 00:08:31.040]  他的活的特性的經驗
[00:08:31.040 --> 00:08:35.040]  就是耶律米先知
[00:08:35.040 --> 00:08:40.040]  在耶律米書二十章第九節
[00:08:40.040 --> 00:08:45.040]  耶律米書第二十章第九節
[00:08:45.040 --> 00:08:52.040]  這是耶律米發出來的呼聲
[00:08:52.040 --> 00:08:55.040]  可以說是他的心聲
[00:08:55.040 --> 00:09:01.040]  他說:我若說我不再提耶和華
[00:09:01.040 --> 00:09:04.040]  也不再奉他的名講論
[00:09:04.040 --> 00:09:09.040]  我便心裡覺得似乎有燒著的火
[00:09:09.040 --> 00:09:18.040]  閉塞在我骨中,我就恆忍不住,不能自禁
[00:09:18.040 --> 00:09:20.040]  先知耶律米
