
[00:00:00.000 --> 00:00:02.000]  我希望大家都能夠打開聖經
[00:00:02.000 --> 00:00:04.800]  因為我們是特別研究
[00:00:04.800 --> 00:00:08.920]  當然就是第七章的十三節至二十節
[00:00:08.920 --> 00:00:09.800]  麥太福音
[00:00:09.800 --> 00:00:14.000]  稍後我會和大家看完二十一節至二十三節
[00:00:14.000 --> 00:00:17.000]  所以你有聖經在手就更加好了
[00:00:17.000 --> 00:00:19.200]  剛才讀那段聖經
[00:00:19.200 --> 00:00:21.200]  我相信大家都很熟的
[00:00:21.200 --> 00:00:23.000]  很多頂姐妹都會很熟悉
[00:00:23.000 --> 00:00:26.000]  耶穌用了兩個的比喻
[00:00:26.000 --> 00:00:30.000]  說到我們的生命一個很重要的提醒
[00:00:30.000 --> 00:00:36.000]  一個是用路和門的比喻
[00:00:36.000 --> 00:00:41.000]  闊的路、窄的路、窄的門
[00:00:41.000 --> 00:00:46.000]  第二個比喻就是用樹木和所結的果子
[00:00:46.000 --> 00:00:49.000]  好的樹結好的果子
[00:00:49.000 --> 00:00:52.000]  壞的樹就結壞的果子
[00:00:52.000 --> 00:00:55.000]  我相信很多頂姐妹都很熟悉這兩個的比喻
[00:00:55.000 --> 00:00:58.000]  我也不需要在這裡再重複那個內容
[00:00:58.000 --> 00:01:00.000]  大家看著聖經就知道
[00:01:00.000 --> 00:01:03.000]  不過今天我想和大家一起再仔細的看看
[00:01:03.000 --> 00:01:06.000]  主耶穌究竟在這兩個比喻裡面
[00:01:06.000 --> 00:01:11.000]  要我們知道和留意的地方和訊息是什麼
[00:01:11.000 --> 00:01:13.000]  我們一起看看聖經
[00:01:13.000 --> 00:01:20.000]  我們首先看看這個闊的門、闊的路、窄的門、窄的路這個比喻
[00:01:20.000 --> 00:01:25.000]  我們主耶穌很清楚的來做一個對比
[00:01:25.000 --> 00:01:27.000]  闊的和窄的
[00:01:27.000 --> 00:01:29.000]  然後目的地也很清楚的
[00:01:29.000 --> 00:01:33.000]  這個窄的門、窄的路去的是生命
[00:01:33.000 --> 00:01:35.000]  豐盛的生命
[00:01:35.000 --> 00:01:40.000]  這個闊的門、闊的路去的是生命的凋謝和滅亡
[00:01:40.000 --> 00:01:42.000]  這個大家都很清楚
[00:01:42.000 --> 00:01:45.000]  我們特別來留意什麼意思呢
[00:01:45.000 --> 00:01:51.000]  主耶穌所說的窄路、窄門是指著什麼意思
[00:01:51.000 --> 00:01:54.000]  我們知道這段聖經是在馬太福音
[00:01:54.000 --> 00:01:57.000]  但是其實路加福音也有同樣的記載
[00:01:57.000 --> 00:01:59.000]  大家不用翻來翻去
[00:01:59.000 --> 00:02:01.000]  我到時候讀給大家聽
[00:02:01.000 --> 00:02:06.000]  關於這個路的闊窄和門
[00:02:06.000 --> 00:02:09.000]  在路加福音的十三章二十四節
[00:02:09.000 --> 00:02:13.000]  也有一節是說同樣的訊息
[00:02:13.000 --> 00:02:16.000]  不過路加的記載有一點點不同
[00:02:16.000 --> 00:02:21.000]  我們配合就會更加清楚、更加完備
[00:02:21.000 --> 00:02:24.000]  路加福音十三章二十四節
[00:02:24.000 --> 00:02:25.000]  如果大家聽我讀的時候
[00:02:25.000 --> 00:02:26.000]  我告訴你
[00:02:26.000 --> 00:02:27.000]  主耶穌在那裡說
[00:02:27.000 --> 00:02:30.000]  你們應當竭力進窄門
[00:02:30.000 --> 00:02:32.000]  我告訴你們
[00:02:32.000 --> 00:02:35.000]  許多人將來要進去
[00:02:35.000 --> 00:02:37.000]  卻是不能
[00:02:37.000 --> 00:02:39.000]  我們試試用這兩段聖經
[00:02:39.000 --> 00:02:41.000]  作為一個比較
[00:02:41.000 --> 00:02:43.000]  看見當中的情況
[00:02:43.000 --> 00:02:46.000]  我們要問一個問題
[00:02:46.000 --> 00:02:51.000]  究竟為什麼這條路這麼窄
[00:02:51.000 --> 00:02:54.000]  和它的門這麼小
[00:02:54.000 --> 00:02:56.000]  究竟是什麼意思
[00:02:56.000 --> 00:02:58.000]  如果我們將這兩段的聖經
[00:02:58.000 --> 00:03:00.000]  馬太和路加加在一起說的時候
[00:03:00.000 --> 00:03:03.000]  你就會發覺有兩個很重要的訊息
[00:03:03.000 --> 00:03:05.000]  今早我想跟大家分享一下
[00:03:05.000 --> 00:03:07.000]  這兩個訊息是包括了什麼呢
[00:03:07.000 --> 00:03:12.000]  第一,這條路為什麼這麼少人進去
[00:03:12.000 --> 00:03:16.000]  你留意主耶穌在馬太福音第十四節最後那裡說
[00:03:16.000 --> 00:03:18.000]  因為找著的人也少
[00:03:18.000 --> 00:03:22.000]  不單那條路是小的
