
[00:00:00.000 --> 00:00:07.000]  聖靈的工作是非常重要
[00:00:07.000 --> 00:00:12.000]  我們很愛慕聖靈的工作
[00:00:12.000 --> 00:00:18.000]  我們也願意追求聖靈的工作
[00:00:18.000 --> 00:00:24.000]  在聖經裏面有一卷書信
[00:00:24.000 --> 00:00:32.000]  是關於聖靈的真理最重要的書信之一
[00:00:32.000 --> 00:00:36.000]  就是《依福所書》
[00:00:36.000 --> 00:00:39.000]  在這卷書裏面
[00:00:39.000 --> 00:00:50.000]  我們看見一條一條在聖靈裏長進的路線
[00:00:50.000 --> 00:00:57.000]  這個路線是我們奔走的道路
[00:00:57.000 --> 00:01:02.000]  不單單是我們知道就算了
[00:01:02.000 --> 00:01:09.000]  乃是我們在其中追求長進的路線
[00:01:09.000 --> 00:01:13.000]  在《依福所書》裏面
[00:01:13.000 --> 00:01:18.000]  仕途保羅被聖靈感動
[00:01:18.000 --> 00:01:22.000]  他講到聖靈的真理
[00:01:22.000 --> 00:01:29.000]  我們至少可以看見在聖靈裏十五方面的長進
[00:01:29.000 --> 00:01:34.000]  我們至少在這裏看到十五方面聖靈裏面的長進
[00:01:34.000 --> 00:01:38.000]  我們注意第一方面的長進
[00:01:38.000 --> 00:01:46.000]  就是從信主長進到相主
[00:01:46.000 --> 00:01:50.000]  這是聖靈的工作
[00:01:50.000 --> 00:01:57.000]  請看第一章第十三節
[00:01:57.000 --> 00:02:00.000]  你們既聽見真理的道
[00:02:00.000 --> 00:02:02.000]  就是那叫你們得救的福音
[00:02:02.000 --> 00:02:04.000]  也信了基督
[00:02:04.000 --> 00:02:09.000]  既然信他就受了所應許的聖靈為印記
[00:02:09.000 --> 00:02:13.000]  在這節裏面提到兩件事
[00:02:13.000 --> 00:02:15.000]  第一件事
[00:02:15.000 --> 00:02:17.000]  信基督
[00:02:17.000 --> 00:02:20.000]  第二件事
[00:02:20.000 --> 00:02:24.000]  得了聖靈的印記
[00:02:24.000 --> 00:02:30.000]  這兩件事都是聖靈的工作
[00:02:30.000 --> 00:02:33.000]  信基督是聖靈的工作
[00:02:33.000 --> 00:02:37.000]  我們都記得主的話說
[00:02:37.000 --> 00:02:39.000]  聖靈來了
[00:02:39.000 --> 00:02:44.000]  是要叫人為罪為義為審判
[00:02:44.000 --> 00:02:46.000]  自己責備自己
[00:02:46.000 --> 00:02:54.000]  那就是聖靈叫人知罪
[00:02:54.000 --> 00:02:58.000]  知道自己是罪人
[00:02:58.000 --> 00:03:02.000]  就悔改信主
[00:03:02.000 --> 00:03:05.000]  我們又知道
[00:03:05.000 --> 00:03:10.000]  聖靈叫人重生
[00:03:10.000 --> 00:03:16.000]  重生的就是聖靈的工作
[00:03:16.000 --> 00:03:22.000]  這是約翰福音三章第五節的話
[00:03:22.000 --> 00:03:26.000]  我們又想到保羅說
[00:03:26.000 --> 00:03:28.000]  若不是被聖靈感動
[00:03:28.000 --> 00:03:36.000]  沒有人能夠稱耶穌為主
[00:03:36.000 --> 00:03:38.000]  所以很明顯
[00:03:38.000 --> 00:03:44.000]  信基督是聖靈的工作
[00:03:44.000 --> 00:03:48.000]  這是聖靈第一步的工作
[00:03:48.000 --> 00:03:53.000]  他做了這一步的工作之後
[00:03:53.000 --> 00:03:56.000]  他繼續工作
[00:03:56.000 --> 00:04:01.000]  把我們帶到一個新的地步
[00:04:01.000 --> 00:04:05.000]  就是向基督
[00:04:05.000 --> 00:04:10.000]  在這一節的末了一句告訴我們
[00:04:10.000 --> 00:04:14.000]  聖靈是印記
[00:04:14.000 --> 00:04:18.000]  印記有兩個意思在裡面
[00:04:18.000 --> 00:04:20.000]  第一個意思
[00:04:20.000 --> 00:04:23.000]  就是證據
[00:04:23.000 --> 00:04:30.000]  如果我把我的印記打在這本聖經上
[00:04:30.000 --> 00:04:38.000]  就表示證明這本聖經是屬於我的
[00:04:38.000 --> 00:04:40.000]  不是公有的
[00:04:40.000 --> 00:04:44.000]  那是我自己所有的
[00:04:44.000 --> 00:04:48.000]  這是印記的第一個作用
[00:04:48.000 --> 00:04:51.000]  第二個作用
