
[00:00:00.000 --> 00:00:12.000]  我們感謝神,我們的信仰是一個歌唱的信仰。
[00:00:12.000 --> 00:00:30.000]  在舊約的聖殿裡面,二十四班的師班來帶領敬拜神的以色列人進入與神的密切的交通,讚美他,敬拜他。
[00:00:30.000 --> 00:00:40.000]  也感謝神,我們在這裡有師班帶領我們進入對三位一體神的敬拜。
[00:00:40.000 --> 00:00:55.000]  林教授說得好,師班不是表演,他們是帶領我們進入與神的一個密切的、活潑的、喜樂的關係。
[00:00:55.000 --> 00:01:05.000]  有一個教會,很特別的一個方式,我覺得很有意思。
[00:01:05.000 --> 00:01:22.000]  他們大家一起站起來唱詩的時候,講台兩邊,一個弟兄一個姊妹,兩隻手舉起來向上,他們一直保持這個姿態。
[00:01:22.000 --> 00:01:40.000]  下面的會眾看見,立刻提醒了,我們唱的詩不是平面的,是縱面的,不是唱給人聽的,也不是自己欣賞自己的歌聲的。
[00:01:40.000 --> 00:02:04.000]  升上去,升上去,到神的寶座前,那個弟兄姊妹舉手一直到唱完,有點辛苦,但是下面的人提醒了,得到提醒了,我們的詩歌不是平面的,不是平面的,是縱面的。
[00:02:04.000 --> 00:02:18.000]  每一次我們這樣的提醒自己,我們將一切的感謝、讚美、榮耀歸於在上面所寶座的父神。
[00:02:18.000 --> 00:02:35.000]  我們低頭禱告:父神,當我們敬拜讚美祢的時候,我們願意預備好我們的心靈,我們愛祢的話,因為我們愛祢自己。
[00:02:35.000 --> 00:02:48.000]  但願我們和祢的話中間有生命的、聖靈的聯繫,讓祢的話藉著聖靈的工作一句一句的進入我們的內心。
[00:02:48.000 --> 00:03:03.000]  主啊,我們願意求祢發聲,我們敬聽求祢教導,求祢幫助祢的僕人把祢的話語傳達的清楚,
[00:03:03.000 --> 00:03:11.000]  使他能夠超越自己,在聖靈的幫助之下來傳達祢的信息。
[00:03:11.000 --> 00:03:16.000]  奉主耶穌基督的名禱告,阿們。
[00:03:16.000 --> 00:03:26.000]  昨天我們看了在七十路裡面第一個重要的關於主耶穌的意象,
[00:03:26.000 --> 00:03:36.000]  就是在第一章裡面,我們看見那個意象的一個重點就是主耶穌,
[00:03:36.000 --> 00:03:41.000]  祂在七個金燈臺中間行走。
[00:03:41.000 --> 00:03:58.000]  七個金燈臺,大家知道,代表當時小亞斯亞的七個教會,同時也代表歷史、歷代、各地、各方所有的教會。
[00:03:58.000 --> 00:04:17.000]  耶穌基督在他們中間行走,祂是教會的主,祂來提醒每一間教會點著,點著他們的光,讓那個燈臺不熄滅。
