
[00:00:00.000 --> 00:00:11.000]  主啊,我們真是經歷了禰的奇妙和真實,經歷了禰的豐富,經歷了禰全輩的救恩。
[00:00:11.000 --> 00:00:19.000]  主啊,我們感謝禰不但將地位上的救恩賜給我們,也將生命上的救恩賜給我們。
[00:00:19.000 --> 00:00:27.000]  主啊,我們今天在禰的全輩的恩典之中,歡喜快樂,贊美跳躍,
[00:00:27.000 --> 00:00:34.000]  我們願意在禰的恩中有更豐富的領受,因為禰的恩典是無限的。
[00:00:34.000 --> 00:00:45.000]  我們已經得到的,不過是像一個孩子在海洋的邊緣上,在那得到吉利的貝殼而已。
[00:00:45.000 --> 00:00:57.000]  我們願意進到恩典的深處,好像你在世的時候對你的門徒說說的,把船開到水深之處,下網打魚。
[00:00:57.000 --> 00:01:03.000]  求主幫助我們會下熟靈的網,打熟靈的魚。
[00:01:03.000 --> 00:01:16.000]  不但我們在得人的世上,得人如得魚一樣,而且在真理的獲得上,也能夠到水深之處,下網打魚。
[00:01:16.000 --> 00:01:28.000]  求主帶領我們,教導我們,使我們會領受又領受,進入又進入,得者又得者。
[00:01:28.000 --> 00:01:41.000]  主我們把這個時間恭敬地交托在禰的恩典手中,求禰親自與我們同在,借著聖靈,將禰的話語的亮光向我們發出,
[00:01:41.000 --> 00:01:48.000]  讓我們每一個人都有所領受,得到熟靈的益處和健力。
[00:01:48.000 --> 00:01:56.000]  也求禰幫助禰的僕人,把禰的話語傳達得清楚,我們一同領受,除去一切的攔阻。
[00:01:56.000 --> 00:02:02.000]  我們這樣祈求感謝奉主耶穌基督的聖靈,阿們。
[00:02:02.000 --> 00:02:11.000]  我們這一堂有一個半小時,相當的長,我們不會全部地用。
[00:02:11.000 --> 00:02:21.000]  我講的大概一個小時,所以我們會在預定的時間之前結束。
[00:02:21.000 --> 00:02:30.000]  我相信在下午,大家比較疲倦,一個鐘頭也足夠了。
[00:02:30.000 --> 00:02:38.000]  我們用三次的時間,把這個專題來思想領受。
[00:02:38.000 --> 00:02:44.000]  這個專題名字是《聖經預言的特性》。
[00:02:44.000 --> 00:02:55.000]  我們能夠正確地瞭解《聖經預言的特性》以後,才能夠正確地解釋《聖經》。
[00:02:55.000 --> 00:03:06.000]  有許多錯誤的解經,就是因為沒有正確地瞭解《聖經預言的特性》。
[00:03:06.000 --> 00:03:14.000]  我們讀預言的時候,有的時候會發覺困難。
[00:03:14.000 --> 00:03:21.000]  有的時候我們聽別人講解的時候,感覺到有問題。
[00:03:21.000 --> 00:03:27.000]  他的解釋可能錯誤,我們心裡覺得通不過。
[00:03:27.000 --> 00:03:34.000]  為什麼?我們把這些原因來分析一下。
[00:03:34.000 --> 00:03:50.000]  總結起來,基本的原因,常常是因為對於《聖經預言的特性》沒有真正的透徹地瞭解。
[00:03:50.000 --> 00:03:55.000]  我要提到《聖經預言的十個特性》。
[00:03:55.000 --> 00:03:58.000]  今天我們看四個。
[00:03:58.000 --> 00:04:04.000]  第一個特性,可以把它叫做「圓景性」。
[00:04:04.000 --> 00:04:12.000]  Biblical Prophecy, or Bible Prophecy
[00:04:12.000 --> 00:04:24.000]  意思就是說,《聖經》關於將來的事情的預言,就好像一個人向遠處眺望。
[00:04:24.000 --> 00:04:33.000]  在看的時候,有兩座山峰,遠看好像連在一起。
[00:04:33.000 --> 00:04:44.000]  但是呢,當我們走到近處的時候,可能發現兩座山峰之間有相當遠的距離。
[00:04:44.000 --> 00:04:49.000]  遠處看,好像是同樣的距離。
[00:04:49.000 --> 00:04:54.000]  但是走近看,可能一個近,一個遠。
[00:04:54.000 --> 00:04:59.000]  兩座山之間有相當遠的距離。
[00:04:59.000 --> 00:05:05.000]  我們用一個具體的例子,一個最重要的例子來看。
[00:05:05.000 --> 00:05:13.000]  請大家翻到舊約《以賽亞書》第40章。
[00:05:13.000 --> 00:05:22.000]  三節到十節,《以賽亞書》第40章,三節到十節。
[00:05:22.000 --> 00:05:31.000]  在這裡預言到,以賽亞的來臨,就是基督的來臨。
[00:05:31.000 --> 00:05:37.000]  兩次的來臨,都在這一段經文裡面提到。
[00:05:37.000 --> 00:05:47.000]  但是呢,經文本身沒有分開說,這是主第一次來,那是主第二次來。
[00:05:47.000 --> 00:05:56.000]  沒有這樣清楚的講明,而是合在一起講,連在一起講。
[00:05:56.000 --> 00:06:04.000]  如果我們不曉得這個特性呢,我們就會犯一個很大的錯誤。
[00:06:04.000 --> 00:06:08.000]  好像猶太人所犯的錯誤。
[00:06:08.000 --> 00:06:18.000]  猶太人讀這段經文的時候,他們感覺只能接受其中的一個特點,
[00:06:18.000 --> 00:06:26.000]  就是主第二次再來的那一個勝利、權柄、榮耀、能力。
[00:06:26.000 --> 00:06:33.000]  而他們不能夠接受主第一次來的卑微、受苦。
[00:06:33.000 --> 00:06:41.000]  在他們的心目中,以賽亞只有一個形象,就是勝利的形象,
[00:06:41.000 --> 00:06:46.000]  榮耀的形象,全能者降臨的形象。
[00:06:46.000 --> 00:06:55.000]  而沒有受苦的形象,受逼迫的形象,受死的形象,沒有。
[00:06:55.000 --> 00:07:04.000]  所以當主耶穌來的時候呢,他們就不認識祂,不接納祂,拒絕祂。
[00:07:04.000 --> 00:07:12.000]  因為他們見到的是以賽亞的第一次來,和他們想象的以賽亞不同。
[00:07:12.000 --> 00:07:18.000]  一直到今天,以色列人還不接受耶穌基督,
[00:07:18.000 --> 00:07:26.000]  因為他們對於舊約預言的這個特性,沒有認識、瞭解。
[00:07:26.000 --> 00:07:31.000]  我們現在要讀一遍,第三節開始。
[00:07:31.000 --> 00:07:41.000]  遊人僧喊著說,在曠野預備要化的路,在沙漠修平我們神的道,
[00:07:41.000 --> 00:07:50.000]  一切山窩都要填滿,大小山崗都要學平,高高低低的要改為平坦,
[00:07:50.000 --> 00:07:53.000]  齊齊齊齊的必成為平原。
[00:07:53.000 --> 00:08:00.000]  依侯華的榮耀必然顯現,凡有血氣的必一統看見。
[00:08:00.000 --> 00:08:04.000]  因為這是依侯華親口說的。
[00:08:04.000 --> 00:08:09.000]  僧你喊叫吧,有一個說,我喊叫什麼呢?
[00:08:09.000 --> 00:08:13.000]  說,凡有血氣的,筋都如草,
[00:08:13.000 --> 00:08:19.000]  他的眉蓉都像野地的花,草必枯乾,花必凋殘。
[00:08:19.000 --> 00:08:28.000]  因為依侯華的氣吹在氣上,百姓誠然是草,草必枯乾,花必凋殘。
[00:08:28.000 --> 00:08:31.000]  唯有我們神的話必永遠立定。
[00:08:31.000 --> 00:08:36.000]  報好信息給喜安的,你要登高山。
[00:08:36.000 --> 00:08:41.000]  報好信息給耶路撒冷的,你要極力養生。
[00:08:41.000 --> 00:08:47.000]  養生不要懼怕,對猶大的誠意說,看啊,你們的神。
[00:08:47.000 --> 00:08:53.000]  足以依侯華必向大能者領道,他的膀背必為他掌權,
[00:08:53.000 --> 00:08:59.000]  他的賞賜在他那裡,他的報應在他面前。
[00:08:59.000 --> 00:09:07.000]  他必向牧人牧羊自己的羊群,用膀背聚集羊羔抱在懷中,
[00:09:07.000 --> 00:09:12.000]  慢慢引導那如羊逍羊的。
[00:09:12.000 --> 00:09:16.000]  那麼在第三節,我們清楚地看見,
[00:09:16.000 --> 00:09:21.000]  這就是當主耶穌降生之前,
[00:09:21.000 --> 00:09:27.000]  世襲約翰所發出來的呼聲的預言。
[00:09:27.000 --> 00:09:30.000]  這裡已經早預言了,
[00:09:30.000 --> 00:09:35.000]  在彌賽亞來的時候,有人這樣呼喊說,
[00:09:35.000 --> 00:09:42.000]  在曠野預備以後的路,在沙漠地修平我們神的道。
[00:09:42.000 --> 00:09:47.000]  在信樂裡邊有引用這個預言,
[00:09:47.000 --> 00:09:52.000]  所以很明顯,第三節到第五節,
[00:09:52.000 --> 00:09:57.000]  這是主耶穌第一次來臨的預言。
[00:09:57.000 --> 00:10:05.000]  但是到了下面,第十節,十一節,完全不同了。
[00:10:05.000 --> 00:10:10.000]  在這裡說,主耶穌必向大能者領導,
[00:10:10.000 --> 00:10:14.000]  他的膀背必為他掌權,
[00:10:14.000 --> 00:10:20.000]  他的賞賜在他那裡,他的報應在他面前。
[00:10:20.000 --> 00:10:29.000]  這裡提到大能,這裡提到掌權,這裡提到審判,
[00:10:29.000 --> 00:10:34.000]  這些都是主第二次來的時候的特色。
[00:10:34.000 --> 00:10:38.000]  因此我們現在分析來看的時候,
[00:10:38.000 --> 00:10:42.000]  很清楚看見,在這一段經文裡面,
[00:10:42.000 --> 00:10:49.000]  預言到彌賽亞就是基督兩次的來臨。
[00:10:49.000 --> 00:10:54.000]  兩座山我們遠處看連在一起,
[00:10:54.000 --> 00:11:01.000]  但是走近的時候發現兩座山相隔很久的時間。
[00:11:01.000 --> 00:11:05.000]  這是一個很重要的認識。
[00:11:05.000 --> 00:11:08.000]  我們再舉一個例子來看,
[00:11:08.000 --> 00:11:17.000]  但一里述十二章二節,
[00:11:17.000 --> 00:11:19.000]  睡在塵埃中的,
[00:11:19.000 --> 00:11:21.000]  地有多人復醒,
[00:11:21.000 --> 00:11:23.000]  其中有得永生的,
[00:11:23.000 --> 00:11:28.000]  有受羞辱永遠被證悟的。
[00:11:28.000 --> 00:11:32.000]  在這裡提到末世的審判。
[00:11:32.000 --> 00:11:36.000]  為什麼知道這是講到末世呢?
[00:11:36.000 --> 00:11:41.000]  因為下面在第四節,
[00:11:41.000 --> 00:11:44.000]  清楚提到末時。
[00:11:44.000 --> 00:11:47.000]  但一里要隱藏這話,
[00:11:47.000 --> 00:11:51.000]  封閉這書,直到末時。
[00:11:51.000 --> 00:11:55.000]  這是關於末時,或者說末世的預言。
[00:11:55.000 --> 00:12:00.000]  在這個預言裡面,第二節當中提到復活,
[00:12:00.000 --> 00:12:02.000]  兩種的復活,
[00:12:02.000 --> 00:12:04.000]  有得永生的,
[00:12:04.000 --> 00:12:08.000]  有受羞辱永遠被證悟的。
[00:12:08.000 --> 00:12:12.000]  這是得永生的復活和定罪的復活。
[00:12:12.000 --> 00:12:15.000]  這兩次的復活,
[00:12:15.000 --> 00:12:18.000]  在這裡,在同一節裡面,
[00:12:18.000 --> 00:12:21.000]  同時提到,
[00:12:21.000 --> 00:12:25.000]  第二面看,好像是同時發生。
[00:12:25.000 --> 00:12:28.000]  但是,在七十六節裡面,
[00:12:28.000 --> 00:12:30.000]  給我們看見,
[00:12:30.000 --> 00:12:33.000]  復活不是同時發生的。
[00:12:33.000 --> 00:12:36.000]  教會被提,
[00:12:36.000 --> 00:12:39.000]  那個時候死去的信徒復活,
[00:12:39.000 --> 00:12:43.000]  被提到空中與基督相遇,
[00:12:43.000 --> 00:12:46.000]  和主永遠同在。
[00:12:46.000 --> 00:12:49.000]  那個復活在先,
[00:12:49.000 --> 00:12:51.000]  後來神叛的復活,
[00:12:51.000 --> 00:12:53.000]  那是記載在七十六,
[00:12:53.000 --> 00:12:56.000]  第二十章末了的一段,
[00:12:56.000 --> 00:13:00.000]  白色大寶座的神叛。
