
[00:00:00.000 --> 00:00:05.240]  大家再看《翻開聖經》的《少林傳》第十一章
[00:00:05.240 --> 00:00:08.360]  我們說到教會在初期的時候
[00:00:08.360 --> 00:00:13.440]  他們是經常講述到被聖靈充滿的
[00:00:13.440 --> 00:00:17.000]  大家有些時候會體會到作為教徒
[00:00:17.000 --> 00:00:20.600]  生活到有些時候都會感受自己會覺得很疲乏
[00:00:20.600 --> 00:00:22.080]  很乏力
[00:00:22.080 --> 00:00:25.160]  很想為神作見證 但好像沒有什麼力量
[00:00:25.160 --> 00:00:27.680]  很想能夠去幫助去關心某些人
[00:00:27.680 --> 00:00:29.320]  又提不起動力
[00:00:29.320 --> 00:00:31.560]  覺得自己很乏力
[00:00:31.560 --> 00:00:33.240]  但是《聖經》很清楚告訴我們
[00:00:33.240 --> 00:00:35.560]  大家都記得一章第八節
[00:00:35.560 --> 00:00:39.040]  「但聖靈降臨在你們身上
[00:00:39.040 --> 00:00:43.680]  你們就必得著能力」
[00:00:43.680 --> 00:00:46.120]  關鍵是聖靈
[00:00:46.120 --> 00:00:47.760]  如果聖靈已經在你裏面
[00:00:47.760 --> 00:00:48.960]  沒有錯信主的人
[00:00:48.960 --> 00:00:53.200]  已經領受聖靈長久與我們同在
[00:00:53.200 --> 00:00:56.400]  但是何時我們更深去求告神
[00:00:56.400 --> 00:00:57.800]  去倚靠神
[00:00:57.800 --> 00:01:01.720]  聖靈會更大在我們生命當中工作
[00:01:01.720 --> 00:01:03.320]  以至你會經歷到那種能力
[00:01:03.320 --> 00:01:07.480]  在你生命裏面是超過你自己的想像
[00:01:07.480 --> 00:01:08.920]  因此當時初期教會
[00:01:08.920 --> 00:01:11.160]  他們很清楚知道這件事實
[00:01:11.160 --> 00:01:14.560]  他們就常常等候、禱告神
[00:01:14.560 --> 00:01:18.200]  聖靈在他們生命當中產生很奇妙的工作
[00:01:18.200 --> 00:01:19.400]  今天是二十一世紀
[00:01:19.400 --> 00:01:21.960]  各位弟兄姊妹
[00:01:21.960 --> 00:01:23.640]  歷史當中的聖靈
[00:01:23.640 --> 00:01:25.560]  亦都是今天的聖靈
[00:01:25.560 --> 00:01:27.360]  你仍然可以依靠祂
[00:01:27.360 --> 00:01:30.840]  滿有能力地作主的見證
[00:01:30.840 --> 00:01:32.560]  因此今天我們透過看
[00:01:32.560 --> 00:01:35.240]  當時教會他們如何依靠聖靈
[00:01:35.240 --> 00:01:38.080]  而作為我們今天的一個鼓勵
[00:01:38.080 --> 00:01:43.160]  我們看聖經第十一章第十九節
