
[00:00:00.000 --> 00:00:03.800]  今年的主題是警醒禱告 同行天路
[00:00:03.800 --> 00:00:08.180]  希望透過今天這段經文《雅各書》第四章1至12節
[00:00:08.180 --> 00:00:10.300]  去做一次思想
[00:00:10.300 --> 00:00:14.000]  究竟我們在地上應該存在一個什麼正確的態度
[00:00:14.000 --> 00:00:16.000]  去跟從上帝
[00:00:16.000 --> 00:00:19.580]  在這段經文裡的上文可以說到
[00:00:19.580 --> 00:00:21.180]  《雅各書》第三章裡
[00:00:21.180 --> 00:00:25.280]  說到在地屬天和屬地的分別
[00:00:25.280 --> 00:00:28.400]  屬地那些不認識上帝的人
[00:00:28.400 --> 00:00:33.080]  他們很多時候都懷著一種嫉妒和紛爭
[00:00:33.080 --> 00:00:37.120]  以致產生很多種種的壞事
[00:00:37.120 --> 00:00:40.640]  在這裡《雅各》列舉了一些例子
[00:00:40.640 --> 00:00:44.680]  你們正正不是像這群人這樣去生活嗎?
[00:00:44.680 --> 00:00:46.480]  為了自己的私慾
[00:00:46.480 --> 00:00:50.400]  而產生種種的鬥爭和打鬥
[00:00:50.400 --> 00:00:53.560]  在這裡《雅各》說出
[00:00:53.560 --> 00:00:56.800]  他們當中教會裡有一些信徒
[00:00:56.800 --> 00:00:58.800]  信了耶穌
[00:00:58.800 --> 00:01:02.880]  但他們整個生命都是圍著
[00:01:02.880 --> 00:01:05.640]  如何得到更多的財富
[00:01:05.640 --> 00:01:07.440]  去過他們的生活
[00:01:07.440 --> 00:01:09.120]  《雅各》在這裡說
[00:01:09.120 --> 00:01:12.160]  你們正正就是為了這個原因
[00:01:12.160 --> 00:01:15.040]  所以有很多種種的紛爭
[00:01:15.040 --> 00:01:16.880]  和有種種的惡事
[00:01:16.880 --> 00:01:19.280]  《雅各》不是說教會每一個人
[00:01:19.280 --> 00:01:22.280]  當時的教會每一個人都是這樣
[00:01:22.280 --> 00:01:24.280]  但當中有人是這樣
[00:01:24.280 --> 00:01:29.560]  有些人就是為了爭奪一些財利
[00:01:29.560 --> 00:01:31.880]  而產生很多的惡事
[00:01:31.880 --> 00:01:34.120]  而這些事已經公開化了
[00:01:34.120 --> 00:01:38.480]  所以《雅各》在這裡要作一個公開的集避和教導
[00:01:38.480 --> 00:01:39.640]  《雅各》在這裡說
[00:01:39.640 --> 00:01:41.000]  先以集避
[00:01:41.000 --> 00:01:45.240]  如果你是以追求物質的財富
[00:01:45.240 --> 00:01:47.240]  為你人生的目的
[00:01:47.240 --> 00:01:50.200]  接著你為了這些目的
[00:01:50.200 --> 00:01:52.560]  而產生種種的惡行
[00:01:52.560 --> 00:01:54.200]  如果你是這樣的時候
[00:01:54.200 --> 00:01:56.680]  你就是與神為敵
