
[00:00:00.000 --> 00:00:03.400]  我們今天的講題是「救走新平」
[00:00:03.400 --> 00:00:07.340]  經歷神的一
[00:00:07.340 --> 00:00:08.620]  為何是經歷神的一呢?
[00:00:08.620 --> 00:00:09.920]  一會兒再告訴你
[00:00:09.920 --> 00:00:12.080]  當然還有第二的
[00:00:12.080 --> 00:00:14.700]  「救走新平」這個主題
[00:00:14.700 --> 00:00:16.920]  我心裡有一個希望
[00:00:16.920 --> 00:00:21.420]  我希望能夠將遙遠留長一些
[00:00:21.420 --> 00:00:24.360]  我們信仰裡很重要的真理
[00:00:24.360 --> 00:00:27.320]  留在我們今天的時代裡
[00:00:27.320 --> 00:00:30.680]  重新去學習、去經歷
[00:00:30.680 --> 00:00:33.000]  恐怕有些這麼重要的
[00:00:33.000 --> 00:00:35.400]  我們信仰裡面的內容
[00:00:35.400 --> 00:00:37.800]  到了今天有時候被人遺忘
[00:00:37.800 --> 00:00:38.960]  甚至你和我
[00:00:38.960 --> 00:00:40.440]  甚至有些誤解
[00:00:40.440 --> 00:00:42.440]  今天我們的主題就是
[00:00:42.440 --> 00:00:43.840]  經歷神
[00:00:43.840 --> 00:00:45.440]  經歷神
[00:00:45.440 --> 00:00:47.560]  Experiencing God
[00:00:47.560 --> 00:00:50.120]  經歷
[00:00:50.120 --> 00:00:52.000]  我相信每一個人
[00:00:52.000 --> 00:00:54.160]  我們根本都由早到晚
[00:00:54.160 --> 00:00:56.000]  每一時每一刻都在經歷
[00:00:56.000 --> 00:00:56.640]  是不是?
[00:00:56.640 --> 00:00:58.480]  我相信今天早上起床的時候
[00:00:58.480 --> 00:00:59.560]  都挺累的
[00:00:59.560 --> 00:01:01.120]  經歷很累
[00:01:01.120 --> 00:01:02.320]  是不是?
[00:01:02.320 --> 00:01:05.560]  然後想想今天星期天
[00:01:05.560 --> 00:01:06.600]  輕鬆一點
[00:01:06.600 --> 00:01:09.400]  經歷輕鬆的那種感覺
[00:01:09.400 --> 00:01:11.600]  然後可能起床的時候
[00:01:11.600 --> 00:01:12.440]  就說慘了
[00:01:12.440 --> 00:01:13.120]  你兒子起床了
[00:01:13.120 --> 00:01:14.080]  去吧
[00:01:14.080 --> 00:01:15.080]  去禮拜堂吧
[00:01:15.080 --> 00:01:15.840]  他又不肯去
[00:01:15.840 --> 00:01:17.280]  很生氣
[00:01:17.280 --> 00:01:19.560]  於是就經歷很生氣
[00:01:19.560 --> 00:01:21.120]  甚至我們在禮拜堂
[00:01:21.120 --> 00:01:22.560]  我們來到教堂
[00:01:22.560 --> 00:01:24.200]  我們一起唱詩的時候
[00:01:24.200 --> 00:01:26.800]  剛才詩歌很感動你
[00:01:26.800 --> 00:01:28.560]  我心裡覺得
[00:01:28.560 --> 00:01:30.760]  很想和耶穌更多的親近
[00:01:30.760 --> 00:01:34.200]  因為在經歷那種心情上
[00:01:34.200 --> 00:01:38.000]  和神希望能夠接近的那種感覺
[00:01:38.000 --> 00:01:38.640]  是不是?
[00:01:38.640 --> 00:01:40.120]  經歷是你走不掉的
[00:01:40.120 --> 00:01:41.400]  每天你喜歡不喜歡
[00:01:41.400 --> 00:01:43.160]  都一直在來
[00:01:43.160 --> 00:01:46.360]  經歷是完全不會離開你的
[00:01:46.360 --> 00:01:48.840]  我們是不斷的在經歷
[00:01:48.840 --> 00:01:52.760]  不過這些等不等於你正在經歷神呢?
[00:01:53.040 --> 00:01:54.840]  這是另外一回事
[00:01:54.840 --> 00:01:57.840]  那些經歷不一定等於你是經歷神
[00:01:57.840 --> 00:02:01.040]  你說這麼玄妙
[00:02:01.040 --> 00:02:01.920]  那怎麼樣?
[00:02:01.920 --> 00:02:03.640]  什麼叫經歷神?
[00:02:03.640 --> 00:02:06.520]  我相信最好的答案
[00:02:06.520 --> 00:02:08.920]  都要看聖經裡面
[00:02:08.920 --> 00:02:10.960]  聖經裡面
[00:02:10.960 --> 00:02:13.600]  究竟怎麼描述那些人
[00:02:13.600 --> 00:02:15.800]  他們怎麼經歷神呢?
[00:02:15.800 --> 00:02:17.760]  我就做了一點點功課
[00:02:17.760 --> 00:02:19.760]  和大家一起總結一下
[00:02:19.760 --> 00:02:21.320]  聖經裡面那一幅
[00:02:21.320 --> 00:02:23.040]  經歷神的圖畫
[00:02:23.040 --> 00:02:25.120]  不同的人怎麼經歷神
[00:02:25.120 --> 00:02:29.000]  雖然有很多不同的經歷神的體會
[00:02:29.000 --> 00:02:30.160]  和記載
[00:02:30.160 --> 00:02:31.160]  不過
[00:02:31.160 --> 00:02:34.240]  大大略略我將它總結為五個
[00:02:34.240 --> 00:02:35.520]  經常出現的
[00:02:35.520 --> 00:02:37.360]  當然差不多
[00:02:37.360 --> 00:02:38.920]  第一樣
[00:02:38.920 --> 00:02:40.520]  我相信你最記得的
[00:02:40.520 --> 00:02:43.320]  最深印象的就是神和他說話
[00:02:43.320 --> 00:02:44.280]  是不是?
[00:02:44.280 --> 00:02:46.680]  聖經裡面的人經常和神聊天
[00:02:46.680 --> 00:02:48.560]  神和他說話
[00:02:48.560 --> 00:02:52.840]  不要說舊約裡面阿伯拉罕、以撒、瓦割、摩西
[00:02:52.840 --> 00:02:54.840]  神和他直接說話
[00:02:54.840 --> 00:02:56.760]  甚至到先知的時候
[00:02:56.760 --> 00:02:58.040]  先知經常說
[00:02:58.040 --> 00:02:59.920]  耶和華如此說
[00:02:59.920 --> 00:03:01.280]  耶和華對我說
[00:03:01.280 --> 00:03:01.880]  是不是?
[00:03:01.880 --> 00:03:02.840]  很清楚的
[00:03:02.840 --> 00:03:04.840]  他知道神和他說話
[00:03:04.840 --> 00:03:07.520]  以利亞就很明顯了
[00:03:07.520 --> 00:03:09.120]  一個典型的例子
[00:03:09.120 --> 00:03:10.640]  他逃跑到山上
[00:03:10.640 --> 00:03:12.240]  進入山洞裡面
[00:03:12.240 --> 00:03:14.160]  神和他說話
[00:03:14.160 --> 00:03:15.800]  還有DB的
[00:03:15.800 --> 00:03:16.560]  大小聲的
[00:03:16.560 --> 00:03:18.040]  小聲的和他說話
[00:03:18.040 --> 00:03:19.360]  分得到的
[00:03:19.360 --> 00:03:22.040]  然後神又問他問題
