
[00:00:00.000 --> 00:00:13.120]  歡迎大家來到神話茶館 我是陳偉光牧師
[00:00:13.120 --> 00:00:15.040]  今天有黃神父跟我們聊天
[00:00:15.040 --> 00:00:20.520]  我們先聊一下自由意志的話題
[00:00:20.520 --> 00:00:25.720]  路德很明顯覺得人是有自由意志
[00:00:25.720 --> 00:00:27.720]  不過是一個敗壞的自由意志
[00:00:27.720 --> 00:00:30.400]  這個也是根據奧斯丁的傳統
[00:00:30.400 --> 00:00:34.240]  奧斯丁的傳統也是覺得人是有自由意志
[00:00:34.240 --> 00:00:37.320]  不過是被原罪破壞
[00:00:37.320 --> 00:00:42.840]  令意志能夠選擇一些東西
[00:00:42.840 --> 00:00:45.560]  選擇吃什麼餐 去哪裏旅行
[00:00:45.560 --> 00:00:53.080]  但在得救裏面只能選擇犯罪的意志
[00:00:53.080 --> 00:00:56.480]  或是違背天主的意志
[00:00:56.480 --> 00:01:00.560]  所以不能靠自己的意志去得救
[00:01:00.560 --> 00:01:02.560]  天主怎麼看呢
[00:01:02.560 --> 00:01:08.640]  首先公教會認為人是一定有自由意志的
[00:01:08.640 --> 00:01:14.000]  因為如果人沒有自由意志他也不能犯罪
[00:01:14.000 --> 00:01:18.240]  什麼叫犯罪呢 他自由地選擇
[00:01:18.240 --> 00:01:22.880]  如果他沒有自由意志他也不能選擇犯罪
[00:01:22.880 --> 00:01:24.880]  所以這個不需要懷疑
[00:01:24.880 --> 00:01:28.480]  第二點就是我理解奧斯丁的傳統
[00:01:28.480 --> 00:01:30.480]  好像不是魯德索的說法
[00:01:30.480 --> 00:01:32.480]  不過這個我不深究了
[00:01:32.480 --> 00:01:35.600]  所以什麼叫做罪過呢
[00:01:35.600 --> 00:01:41.280]  如果我們自由地明知那件事是違反天主的旨意
[00:01:41.280 --> 00:01:43.280]  故意去做那就犯罪了
[00:01:43.280 --> 00:01:47.440]  究竟恩寵和自由意志有什麼關係呢
[00:01:47.440 --> 00:01:52.720]  我們認為其實自由意志本身也是一個恩寵
[00:01:52.720 --> 00:01:56.240]  他是天主給我們的恩寵
[00:01:56.240 --> 00:01:59.120]  如果天主不給自由意志我們連自由意志也沒有了
[00:01:59.120 --> 00:02:02.480]  如果人沒有自由意志他就是一個動物
[00:02:02.480 --> 00:02:05.680]  雖然人是動物但他比動物高
[00:02:05.680 --> 00:02:07.680]  因為他有思考能力
[00:02:07.680 --> 00:02:09.680]  靈魂
[00:02:09.680 --> 00:02:12.880]  他可以選擇 動物是沒有自由意志的
[00:02:12.880 --> 00:02:16.080]  所以我們認為人是有自由意志
[00:02:16.080 --> 00:02:18.080]  但自由意志本身就是一個恩典
[00:02:18.080 --> 00:02:20.720]  是上帝百百次給我們的恩典
[00:02:20.720 --> 00:02:22.720]  所以我們做人就是
[00:02:22.720 --> 00:02:27.520]  我們好好運用天主所賜給我們的自由意志
[00:02:27.520 --> 00:02:29.520]  抗拒罪惡
[00:02:29.520 --> 00:02:33.120]  去愛天主在萬有以上 愛人如己
[00:02:33.120 --> 00:02:36.000]  我們行善避惡
[00:02:36.000 --> 00:02:40.720]  如果我一生不斷運用我的自由意志
[00:02:40.720 --> 00:02:44.080]  抗拒罪惡 行善避惡的話
[00:02:44.080 --> 00:02:47.120]  我就真真正正活出一個基督徒的生命
[00:02:47.120 --> 00:02:49.520]  我就真正成為主的門徒
[00:02:49.520 --> 00:02:52.160]  是的 我有時候會跌倒
[00:02:52.160 --> 00:02:54.640]  但我都要懺悔我要悔改
[00:02:54.640 --> 00:02:56.640]  我要回頭轉向基督
[00:02:56.640 --> 00:02:59.440]  所以我一生都不停努力
[00:02:59.440 --> 00:03:03.440]  活出天主所賜給我的恩寵
[00:03:03.440 --> 00:03:05.840]  我藉著我的自由意志
[00:03:05.840 --> 00:03:07.840]  我選擇好的抗拒罪
[00:03:07.840 --> 00:03:09.120]  抗拒一些錯的
[00:03:09.120 --> 00:03:12.560]  我才能成為一個名副其實的基督徒
[00:03:12.560 --> 00:03:14.320]  我簡單來說
[00:03:14.320 --> 00:03:17.440]  我們教會對於恩寵和自由意義有這樣的看法
[00:03:17.440 --> 00:03:23.840]  用你上一集所說的原罪的果
