
[00:00:00.000 --> 00:00:08.000]  生活與侍奉的十四個律者,或者定律,或者規律
[00:00:08.000 --> 00:00:19.000]  智慧建造仿物,有七根做好的柱子幫助支持
[00:00:19.000 --> 00:00:27.000]  在我們基督徒的人生中,侍奉中,我們需要書靈的柱子來支持
[00:00:27.000 --> 00:00:34.000]  這些柱子可以說就是我們的律者,基本的律者
[00:00:34.000 --> 00:00:40.000]  我們接受我們思想,我們去學習
[00:00:40.000 --> 00:00:43.000]  神話是我們的道路
[00:00:43.000 --> 00:00:48.000]  所以詩篇一百餘十九篇,在那裡提到
[00:00:48.000 --> 00:00:54.000]  神啊,我看中你的道路,那個道路就是指著神話講的
[00:00:54.000 --> 00:01:02.000]  神話不是理論,神話不單單是觀念,神話不單單是真理,神話是道路
[00:01:02.000 --> 00:01:10.000]  你看基督教開示的時候,在《十六行傳》九章第二節提到
[00:01:10.000 --> 00:01:16.000]  信奉這道的人,原文是信奉這路的人
[00:01:18.000 --> 00:01:30.000]  所以,the followers of this way,不是the followers of this doctrine,不是一個信條,乃是道路
[00:01:30.000 --> 00:01:36.000]  基督教是人生的一條道路,跟從主耶穌所走的路來走
[00:01:36.000 --> 00:01:41.000]  我們的信仰,聖經的真理,神的話,是道路
[00:01:41.000 --> 00:01:46.000]  詩人說,神啊,我看中你的道路
[00:01:46.000 --> 00:01:49.000]  這個就是說,我要走在這條路上
[00:01:49.000 --> 00:01:57.000]  真理和道路不能分開,因為分開錯傳,合在一起成全
[00:01:57.000 --> 00:02:03.000]  所以我們把神話當作實踐的道路,奔走的道路
[00:02:03.000 --> 00:02:08.000]  所以有的教會,他們習慣說,跑道路,這個很好
[00:02:08.000 --> 00:02:14.000]  跑道路,一講這個話,立刻你對於靈性的觀念改變
[00:02:14.000 --> 00:02:21.000]  不是個理論,不是個高調,不是個研討的對象
[00:02:21.000 --> 00:02:27.000]  乃是一個實踐的方向和路線
[00:02:27.000 --> 00:02:34.000]  讓我們用這樣的一個心態觀念來領受這十四個基本的
[00:02:34.000 --> 00:02:39.000]  熟靈的侍奉與生活的原則
[00:02:39.000 --> 00:02:42.000]  我們昨天晚上看了兩個
[00:02:42.000 --> 00:02:45.000]  第一個,內在律
[00:02:45.000 --> 00:02:53.000]  這個律幫助我們把注意點,焦點放在神的身上
[00:02:53.000 --> 00:02:59.000]  對準神,對準神來生活,來侍奉
[00:02:59.000 --> 00:03:06.000]  整個的做法,道路,追求方向都跟著改變
[00:03:06.000 --> 00:03:12.000]  第二,精律,當我們與神建立了正確的好關係的時候
[00:03:12.000 --> 00:03:17.000]  我們就開始改變了對人的關係
[00:03:17.000 --> 00:03:24.000]  所以好的、正確的人際關係是建立在天際關係上
[00:03:24.000 --> 00:03:30.000]  我們與神的關係,中院的關係,產生分面的關係
[00:03:30.000 --> 00:03:38.000]  沒有中院的正確與神的關係,就不能有正確的、橫面的人際的關係
[00:03:38.000 --> 00:03:47.000]  如果單講人際關係,是延木求榆,要到樹上去捉魚,永遠捉不到
[00:03:47.000 --> 00:03:54.000]  我們如果沒有一個新的生命在基督裡,是憐於神的
[00:03:54.000 --> 00:04:01.000]  我們就沒有一個新的生活,在人群中間,兩件事不可分開
[00:04:01.000 --> 00:04:09.000]  內在律、基督、精律是它的外延,是它的結果表現
[00:04:09.000 --> 00:04:13.000]  今天我們再看兩個
[00:04:13.000 --> 00:04:21.000]  第三個基本的律者,是責任律
[00:04:21.000 --> 00:04:31.000]  我們看路加福音十二章四十八節
[00:04:31.000 --> 00:04:42.000]  下半節
