
[00:00:00.000 --> 00:00:02.560]  謝謝周地生的介紹
[00:00:02.560 --> 00:00:04.320]  地中姐妹們平安
[00:00:04.320 --> 00:00:07.420]  那今天是我第一次來到恩橋堂
[00:00:07.420 --> 00:00:09.960]  來到大家當中
[00:00:09.960 --> 00:00:12.420]  在這裡我想我除了認識
[00:00:12.420 --> 00:00:14.800]  你們的賀志勇傳道還有
[00:00:14.800 --> 00:00:16.680]  John你們的實習傳道
[00:00:16.680 --> 00:00:19.300]  其他的應該都是第一次見
[00:00:19.300 --> 00:00:20.660]  那很感恩
[00:00:20.660 --> 00:00:22.280]  儘管我們是第一次見
[00:00:22.280 --> 00:00:23.900]  我們在主禮都是一家人
[00:00:23.900 --> 00:00:24.900]  Amen
[00:00:24.900 --> 00:00:28.100]  那另外也謝謝這個賀傳道的邀請
[00:00:28.100 --> 00:00:31.680]  那我有機會可以用神的話語服侍大家
[00:00:31.680 --> 00:00:33.600]  並透過這個話語
[00:00:33.600 --> 00:00:37.520]  或者我們有更多的去在主禮裡面的一些溝通交流
[00:00:37.520 --> 00:00:40.900]  並更深的去認識每位的弟兄姊妹
[00:00:40.900 --> 00:00:46.020]  那今天剛才我們已經提到分享的這個
[00:00:46.020 --> 00:00:48.600]  經文是《貼沙羅尼加前書》
[00:00:48.600 --> 00:00:52.940]  四章十三節到五章十一節
[00:00:52.940 --> 00:00:55.740]  那這一部分的經文
[00:00:55.740 --> 00:00:57.980]  其實是保羅書信當中的
[00:00:57.980 --> 00:01:00.820]  比較明顯的談到
[00:01:00.820 --> 00:01:03.860]  宗末或者說末世的經文
[00:01:03.860 --> 00:01:07.020]  其實大家如果熟悉這個新約
[00:01:07.020 --> 00:01:08.900]  熟悉保羅書信的話
[00:01:08.900 --> 00:01:10.260]  你會知道
[00:01:10.260 --> 00:01:12.220]  其實真正保羅書信
[00:01:12.220 --> 00:01:14.860]  明顯的談宗末的經文不多
[00:01:14.860 --> 00:01:16.140]  這裡是一個地方
[00:01:16.140 --> 00:01:19.540]  另外應該就是《貼沙羅尼加後書》第二章
[00:01:19.540 --> 00:01:21.580]  相對來說比較明顯
[00:01:21.580 --> 00:01:23.100]  來談到宗末
[00:01:23.100 --> 00:01:26.020]  好 那談到這個關於宗末
[00:01:26.020 --> 00:01:27.380]  談到宗末的時候
[00:01:27.380 --> 00:01:31.900]  大家會聯想到的場景是什麼
[00:01:31.900 --> 00:01:33.860]  關於宗末大家一提到宗末
[00:01:33.860 --> 00:01:37.820]  大家腦海裡會浮現的是什麼
[00:01:37.820 --> 00:01:40.340]  地震 災難
[00:01:40.340 --> 00:01:42.780]  還有呢
[00:01:42.780 --> 00:01:44.820]  瘟疫 對 都是這個
[00:01:44.820 --> 00:01:47.540]  地震 災難 瘟疫 還有嗎
[00:01:47.540 --> 00:01:48.940]  就
[00:01:48.940 --> 00:01:50.660]  什麼
[00:01:50.660 --> 00:01:52.780]  大火 對 火焚燒
[00:01:52.780 --> 00:01:55.740]  所以這通常都是這樣的一些畫面
[00:01:55.740 --> 00:01:56.660]  對不對
[00:01:56.660 --> 00:01:59.940]  好 還有嗎
[00:01:59.940 --> 00:02:02.940]  蛤
[00:02:02.940 --> 00:02:06.220]  很多逼迫 都是
[00:02:06.220 --> 00:02:08.540]  災難 逼迫 受苦
[00:02:08.540 --> 00:02:11.380]  還有嗎
[00:02:11.380 --> 00:02:13.660]  再來
[00:02:13.660 --> 00:02:16.780]  我要跟著一起做完
[00:02:16.780 --> 00:02:19.780]  對 齊世諾有提到跟著一起做完
[00:02:19.780 --> 00:02:22.060]  對 還有一個可能有些是
[00:02:22.060 --> 00:02:23.660]  聯想到是這種
[00:02:23.660 --> 00:02:25.860]  對不對 就是可能還有這種
[00:02:25.860 --> 00:02:27.420]  上主降雲降臨
[00:02:27.420 --> 00:02:30.060]  我們跟上帝的國度全面來臨
[00:02:30.060 --> 00:02:32.780]  這樣等等非常美好的畫面
[00:02:32.780 --> 00:02:36.380]  其實無論我們是擔心就是這種
[00:02:36.380 --> 00:02:40.860]  恐怖的這個令人災難的事情發生
[00:02:40.860 --> 00:02:44.020]  還是我們期待這個美好的國度
[00:02:44.020 --> 00:02:47.020]  主再來跟著一同做完的這個畫面
[00:02:47.020 --> 00:02:48.580]  來臨
[00:02:48.580 --> 00:02:51.260]  這個時候我們想到的宗末
[00:02:51.260 --> 00:02:55.820]  我們的目光是在哪裡
[00:02:55.820 --> 00:02:58.220]  蛤
[00:02:58.220 --> 00:03:01.220]  主再來 對 主再來就是在將來
[00:03:01.220 --> 00:03:03.020]  對吧 將來
[00:03:03.020 --> 00:03:05.700]  但是這一段很明顯的
[00:03:05.700 --> 00:03:07.860]  談論宗末的經文
[00:03:07.860 --> 00:03:12.180]  大家如果仔細仔細認真的閱讀
[00:03:12.180 --> 00:03:16.460]  你會發現保羅在談論宗末的時候
[00:03:16.460 --> 00:03:18.780]  其背後的目的是什麼
[00:03:18.780 --> 00:03:23.900]  他更加關注的是什麼
[00:03:23.900 --> 00:03:26.380]  他更加關注的是
[00:03:26.380 --> 00:03:29.380]  信徒當下的生命狀態
[00:03:29.380 --> 00:03:30.860]  為什麼這麼說
[00:03:30.860 --> 00:03:32.740]  我不知道字體會不會太小
[00:03:32.740 --> 00:03:37.700]  那個志勇你後面能看到嗎
[00:03:37.700 --> 00:03:39.060]  OK
[00:03:39.060 --> 00:03:42.340]  我就是把這兩段話這樣子放在一起
[00:03:42.340 --> 00:03:44.020]  但如果仔細讀的話
[00:03:44.020 --> 00:03:45.740]  你對比這兩段經文
[00:03:45.740 --> 00:03:47.060]  它都有一個很
[00:03:47.060 --> 00:03:49.500]  就它談完宗末之後
[00:03:49.500 --> 00:03:52.780]  它有個很明顯的什麼特點
[00:03:52.780 --> 00:03:53.820]  你看最後
[00:03:53.820 --> 00:03:56.620]  最後兩段話的最後一句
[00:03:56.620 --> 00:03:59.580]  說的是什麼
[00:03:59.580 --> 00:04:03.100]  所以你們當用這些話彼此勸諱
[00:04:03.100 --> 00:04:04.420]  五臟十一解
