
[00:00:00.000 --> 00:00:03.200]  我們親愛的天父上帝 我們滿心感謝讚美祢
[00:00:03.200 --> 00:00:05.700]  因為我們敬拜祢的時候
[00:00:05.700 --> 00:00:09.800]  我們常常要想起祢是創造天地的主
[00:00:09.800 --> 00:00:12.100]  祢是掌管人類歷史的主
[00:00:12.100 --> 00:00:14.000]  祢也是我們生命的主
[00:00:14.000 --> 00:00:15.900]  人生路程的主
[00:00:15.900 --> 00:00:19.600]  我們就懇求祢讓我們在生活裡面
[00:00:19.600 --> 00:00:23.400]  真是以祢為我們人生的最重要
[00:00:23.400 --> 00:00:25.100]  最絕對的一位
[00:00:25.100 --> 00:00:28.100]  並且求祢的聖靈去指教我們
[00:00:28.100 --> 00:00:30.500]  去進入你自己的真理
[00:00:30.500 --> 00:00:32.500]  你留下給我們的聖經
[00:00:32.500 --> 00:00:36.000]  你是過去在歷史上所做過的事
[00:00:36.000 --> 00:00:38.800]  給我們有什麼提醒 有什麼教訓
[00:00:38.800 --> 00:00:41.000]  就求祢幫助我們
[00:00:41.000 --> 00:00:42.100]  打開我們的心
[00:00:42.100 --> 00:00:43.000]  我們這樣祈禱
[00:00:43.000 --> 00:00:44.300]  奉耶穌基督的名
[00:00:44.300 --> 00:00:45.300]  阿們
[00:00:45.300 --> 00:00:46.600]  很感謝神的恩典
[00:00:46.600 --> 00:00:49.200]  讓我和弟兄姊妹分享聖經的信息
[00:00:49.200 --> 00:00:50.900]  我很感恩就是
[00:00:50.900 --> 00:00:53.400]  其實這幾年我都是
[00:00:53.400 --> 00:00:55.800]  常常都是有些感受的
[00:00:55.800 --> 00:00:59.400]  無論看聖經 看屬靈的書籍等等
[00:00:59.400 --> 00:01:02.000]  我覺得好像神有些東西給我
[00:01:02.000 --> 00:01:04.900]  我這次其實是看了一本書
[00:01:04.900 --> 00:01:06.300]  一本英文書
[00:01:06.300 --> 00:01:09.700]  它是講究聖經的一些神學的東西
[00:01:09.700 --> 00:01:11.600]  講到耶利米蘇的時候
[00:01:11.600 --> 00:01:13.500]  它用了一個題目很特別的
[00:01:13.500 --> 00:01:17.700]  它就是說耶和華的臨在與缺席
[00:01:17.700 --> 00:01:19.800]  Presence and Absence of Yahweh
[00:01:19.800 --> 00:01:21.500]  我被這個題目吸引
[00:01:21.500 --> 00:01:23.500]  那本書是編輯的
[00:01:23.500 --> 00:01:25.000]  很多文章的
[00:01:25.000 --> 00:01:27.000]  我特別去看那篇文
[00:01:27.000 --> 00:01:29.900]  裡面有一句話很特別的
[00:01:29.900 --> 00:01:32.200]  它就說在耶利米蘇裡面
[00:01:32.200 --> 00:01:35.000]  耶和華的華臨到耶利米
[00:01:35.000 --> 00:01:36.400]  是經常出現的
[00:01:36.400 --> 00:01:37.700]  有四十多次的
[00:01:37.700 --> 00:01:40.900]  我覺得這樣經常出現的當然是重要的
[00:01:40.900 --> 00:01:44.300]  然後我再特別去看第一章的時候
[00:01:44.300 --> 00:01:46.000]  我發覺原來
[00:01:46.000 --> 00:01:47.900]  神的華臨在耶利米
[00:01:47.900 --> 00:01:49.900]  是很重要的一個題目
[00:01:49.900 --> 00:01:52.300]  因此我今天講到
[00:01:52.300 --> 00:01:54.400]  就用這個題目
[00:01:54.400 --> 00:01:57.100]  經文就用了耶利米蘇第一章
[00:01:57.100 --> 00:01:58.100]  一到十九節
