
[00:00:00.000 --> 00:00:02.500]  今天是第六講
[00:00:02.500 --> 00:00:09.000]  我們仍然要領受聖經新約七十路里面寶貴的信息
[00:00:09.000 --> 00:00:16.500]  今天我們說要查考的題目是七十路里面有七個重要的對比
[00:00:16.500 --> 00:00:20.000]  是神和撒旦的對比
[00:00:20.000 --> 00:00:24.500]  和屬神的事和屬撒旦的事的對比
[00:00:24.500 --> 00:00:29.500]  第一個對比就是兩個相反的印記
[00:00:29.500 --> 00:00:33.000]  第一個印記是神的印記
[00:00:33.000 --> 00:00:36.500]  第二個印記是獸的印記
[00:00:36.500 --> 00:00:39.000]  也就是撒旦的印記
[00:00:39.000 --> 00:00:41.500]  我們先看神的印記
[00:00:41.500 --> 00:00:46.500]  在第七章第二節和第三節這樣說
[00:00:46.500 --> 00:00:48.500]  我讀給大家聽
[00:00:48.500 --> 00:00:54.500]  我又看見另有一位天使從日出之地上來
[00:00:54.500 --> 00:00:57.000]  拿着永生神的印
[00:00:57.000 --> 00:01:02.500]  就像得着權柄能傷害地和海的四位天使
[00:01:02.500 --> 00:01:06.000]  大聲喊着說地與海並樹木
[00:01:06.000 --> 00:01:07.500]  你們不可傷害
[00:01:07.500 --> 00:01:11.500]  等我們印了我們神衆婦人的訛
[00:01:11.500 --> 00:01:16.500]  這裏我們看見神的使者拿了神的印
[00:01:16.500 --> 00:01:20.500]  要印那些屬神的人的訛
[00:01:20.500 --> 00:01:24.000]  這是一個屬神的記號
[00:01:24.000 --> 00:01:28.000]  是非常的寶貴也是非常的重要
[00:01:28.000 --> 00:01:32.000]  在七十路里面提到神的兩種的印記
[00:01:32.000 --> 00:01:35.000]  一種就直接叫做印
[00:01:35.000 --> 00:01:38.000]  第二種是叫做寫
[00:01:38.000 --> 00:01:40.000]  我們舉例子來看
[00:01:40.000 --> 00:01:44.000]  第三章十二節這樣說
[00:01:44.000 --> 00:01:45.500]  我讀給大家聽
[00:01:45.500 --> 00:01:47.500]  三章十二節
[00:01:47.500 --> 00:01:52.000]  得聖的我要叫他在我神殿中做柱子
[00:01:52.000 --> 00:01:55.000]  他也必不在從哪裏出去
[00:01:55.000 --> 00:01:59.500]  我又要將我神的名和我神城的名
[00:01:59.500 --> 00:02:03.500]  並我的姓名都寫在他上面
[00:02:03.500 --> 00:02:05.000]  這是寫
[00:02:05.000 --> 00:02:11.000]  把神的名基督的名寫在屬神的人的上面
[00:02:11.000 --> 00:02:15.500]  印和寫好像有所分別
[00:02:15.500 --> 00:02:17.500]  每一個屬神的人
[00:02:17.500 --> 00:02:20.000]  就是得救的人寵生的人
[00:02:20.000 --> 00:02:24.000]  都有神的印打在他的身上
[00:02:24.000 --> 00:02:27.500]  但是隻有得聖的基督徒
[00:02:27.500 --> 00:02:31.500]  纔有神的名寫在他的身上
[00:02:31.500 --> 00:02:35.500]  所以印和寫好像有分別
[00:02:35.500 --> 00:02:38.500]  我們從這裏得到一個很重要的信息
[00:02:38.500 --> 00:02:40.500]  我們不但要寵生得救
[00:02:40.500 --> 00:02:42.500]  做一個屬神的人
[00:02:42.500 --> 00:02:46.000]  我們還要進一步要有得聖的生活
[00:02:46.000 --> 00:02:48.500]  要打屬靈的聖葬
[00:02:48.500 --> 00:02:53.500]  這樣我們就進一步地蒙更大的恩典
[00:02:53.500 --> 00:02:55.500]  好,這是神的印
[00:02:55.500 --> 00:02:59.000]  現在我們看撒旦印
[00:02:59.000 --> 00:03:01.000]  也就是獸的印
[00:03:01.000 --> 00:03:05.500]  這個記載在第十三章第十六節
[00:03:05.500 --> 00:03:07.500]  我讀給大家聽
[00:03:07.500 --> 00:03:11.000]  十三章第十六節
[00:03:11.000 --> 00:03:13.000]  他又叫衆人
[00:03:13.000 --> 00:03:17.000]  無論大小貧富自主的爲奴的
[00:03:17.000 --> 00:03:20.500]  都在右手上或是在額上
[00:03:20.500 --> 00:03:22.500]  受一個印記
[00:03:22.500 --> 00:03:24.500]  除了受印記
[00:03:24.500 --> 00:03:27.500]  有了獸名或有獸名數目的
[00:03:27.500 --> 00:03:29.500]  都不得做買賣
[00:03:29.500 --> 00:03:33.500]  這裏提到獸的印記
[00:03:33.500 --> 00:03:36.500]  獸是代表撒旦
[00:03:36.500 --> 00:03:40.500]  撒旦打了印在屬他的人的身上
