
[00:00:00.000 --> 00:00:04.000]  侍奉是生命的流露
[00:00:04.000 --> 00:00:07.000]  生命是束
[00:00:07.000 --> 00:00:10.000]  侍奉是脖子
[00:00:10.000 --> 00:00:15.000]  有生命沒有侍奉
[00:00:15.000 --> 00:00:19.000]  就是有束而不接脖子
[00:00:19.000 --> 00:00:24.000]  你要不要一棵不接脖子的束
[00:00:24.000 --> 00:00:27.000]  好束而不接脖子
[00:00:28.000 --> 00:00:30.000]  是美中不足
[00:00:30.000 --> 00:00:35.000]  神在大自然的創造
[00:00:35.000 --> 00:00:39.000]  是有束就有脖子
[00:00:39.000 --> 00:00:42.000]  沒有沒有脖子的束
[00:00:42.000 --> 00:00:48.000]  你在世上找找找
[00:00:48.000 --> 00:00:52.000]  永遠找不到任何一棵
[00:00:52.000 --> 00:00:55.000]  不接脖子的束
[00:00:56.000 --> 00:00:58.000]  這是神的計畫
[00:00:58.000 --> 00:01:00.000]  神的作為
[00:01:00.000 --> 00:01:02.000]  神的精益
[00:01:02.000 --> 00:01:06.000]  同樣在俗靈的境界裡面
[00:01:06.000 --> 00:01:09.000]  神的計畫精益作為
[00:01:09.000 --> 00:01:12.000]  就是我們有了好生命以後
[00:01:12.000 --> 00:01:18.000]  從好生命裡面流露好的侍奉
[00:01:18.000 --> 00:01:22.000]  足將聖靈給我們
[00:01:23.000 --> 00:01:28.000]  充滿我們未要流出
[00:01:28.000 --> 00:01:35.000]  聖靈流露充滿未要流出
[00:01:35.000 --> 00:01:41.000]  單單流進而不流出
[00:01:41.000 --> 00:01:44.000]  這不是聖靈充滿
[00:01:44.000 --> 00:01:48.000]  我們在聖經裡面看不見
[00:01:49.000 --> 00:01:54.000]  流露的充滿而沒有滿意的流出
[00:01:54.000 --> 00:01:56.000]  沒有
[00:01:56.000 --> 00:01:59.000]  四度心專裡面的聖靈充滿
[00:01:59.000 --> 00:02:02.000]  是流入又流出
[00:02:02.000 --> 00:02:06.000]  這是神的計畫
[00:02:06.000 --> 00:02:10.000]  充滿為了滿意
[00:02:10.000 --> 00:02:13.000]  讓別人得福
[00:02:13.000 --> 00:02:18.000]  一個不明白父神這樣精益的人
[00:02:18.000 --> 00:02:22.000]  就沒有正確的追求
[00:02:22.000 --> 00:02:26.000]  只求充滿不求流出
[00:02:26.000 --> 00:02:30.000]  神不能給他充滿
[00:02:30.000 --> 00:02:33.000]  在第22章
[00:02:33.000 --> 00:02:35.000]  七十路22章
[00:02:35.000 --> 00:02:38.000]  我們看見
[00:02:38.000 --> 00:02:42.000]  進耶路撒冷街道當中
[00:02:42.000 --> 00:02:45.000]  一道生命水的河
[00:02:45.000 --> 00:02:49.000]  從神和羔羊的寶座流出來
[00:02:49.000 --> 00:02:51.000]  流出來的時候
[00:02:51.000 --> 00:02:54.000]  在河的兩邊有樹
[00:02:54.000 --> 00:02:57.000]  是生命樹
[00:02:57.000 --> 00:03:00.000]  結十二樣的果子
[00:03:00.000 --> 00:03:04.000]  就是隨時結果子
[00:03:04.000 --> 00:03:07.000]  每一個月結果子
[00:03:07.000 --> 00:03:12.000]  不管在什麼季節都結果子
[00:03:14.000 --> 00:03:18.000]  這就是生命的流露
[00:03:18.000 --> 00:03:21.000]  求神是我們的侍奉
[00:03:21.000 --> 00:03:24.000]  成為生命的流露
[00:03:24.000 --> 00:03:26.000]  沒有好的生命
[00:03:26.000 --> 00:03:29.000]  就不要想侍奉
[00:03:29.000 --> 00:03:33.000]  在你開始想侍奉的時候
[00:03:33.000 --> 00:03:36.000]  先想好生命
[00:03:36.000 --> 00:03:39.000]  好樹結好果子
