
[00:00:00.000 --> 00:00:09.000]  今天我們來到認識撒旦的詭計的第三個分題
[00:00:09.000 --> 00:00:13.000]  在福音的事供方面
[00:00:13.000 --> 00:00:16.000]  撒旦的詭計
[00:00:16.000 --> 00:00:25.000]  我們首先看格林多厚書第四章四節
[00:00:26.000 --> 00:00:31.000]  格林多厚書第四章四節
[00:00:31.000 --> 00:00:41.000]  此等不信之人,被這世界的神弄瞎了心願
[00:00:41.000 --> 00:00:46.000]  不叫基督榮耀復印的光照著他們
[00:00:46.000 --> 00:00:49.000]  基督本是神的相
[00:00:50.000 --> 00:00:56.000]  在這裡說世界的神那就是撒旦
[00:00:56.000 --> 00:00:59.000]  他弄瞎了人的心願
[00:00:59.000 --> 00:01:06.000]  以至於基督榮耀的復印不能夠光照他們
[00:01:06.000 --> 00:01:12.000]  世界的神怎麼樣弄瞎人的心願呢?
[00:01:12.000 --> 00:01:17.000]  世界的神叫人之故,世界的事
[00:01:17.000 --> 00:01:20.000]  衣食住行
[00:01:20.000 --> 00:01:25.000]  這一切的物質方面的生活
[00:01:25.000 --> 00:01:33.000]  使人看不見基督榮耀復印的光
[00:01:33.000 --> 00:01:41.000]  所以世界的神藉著世事弄瞎了人的心願
[00:01:41.000 --> 00:01:46.000]  看不見神榮耀的光
[00:01:47.000 --> 00:01:53.000]  我們看見有許許多多世界上的人
[00:01:53.000 --> 00:01:55.000]  我們向他們傳福音的時候
[00:01:55.000 --> 00:02:01.000]  他們說我們衣食住行還沒有解決呢
[00:02:01.000 --> 00:02:07.000]  這個需要永遠不能完全解決
[00:02:07.000 --> 00:02:10.000]  因為有了還要更好的更好的
[00:02:10.000 --> 00:02:15.000]  衣食住行那個階層很多
[00:02:15.000 --> 00:02:18.000]  人永遠不會滿足
[00:02:18.000 --> 00:02:22.000]  就一直在衣食住行裡面打轉的
[00:02:22.000 --> 00:02:30.000]  心願弄瞎撒旦在復印上的軌跡
[00:02:30.000 --> 00:02:38.000]  我們再看馬可復印四章四節
[00:02:38.000 --> 00:02:43.000]  馬可復印四章四節
[00:02:43.000 --> 00:02:51.000]  撒種的時候有落在路旁的飛鳥來吃進了
[00:02:51.000 --> 00:02:58.000]  道種撒下飛鳥將他吃進
[00:02:58.000 --> 00:03:02.000]  那麼這個飛鳥是指著什麼說的呢
[00:03:02.000 --> 00:03:06.000]  下面讀自己的解釋
[00:03:06.000 --> 00:03:09.000]  第一十五節
[00:03:11.000 --> 00:03:17.000]  撒在路旁的就是人聽了道撒旦立刻來
[00:03:17.000 --> 00:03:24.000]  撒旦立刻來把撒在他心裡的道奪了去
[00:03:24.000 --> 00:03:31.000]  那麼這是第一步撒旦的工作
[00:03:31.000 --> 00:03:36.000]  跟著呢第十七節
[00:03:36.000 --> 00:03:40.000]  但他心裡沒有根不過是暫時的
[00:03:40.000 --> 00:03:44.000]  其實為道遭了患難或是受了逼迫
[00:03:44.000 --> 00:03:48.000]  立刻就跌倒了
[00:03:48.000 --> 00:03:53.000]  還有呢撒在經紀裡的就是人聽了道後來
[00:03:53.000 --> 00:03:58.000]  由世上的思慮錢財的迷惑和別樣的思慾
[00:03:58.000 --> 00:04:03.000]  進來把道擊住了就不能解釋
[00:04:04.000 --> 00:04:06.000]  在這裡我們看見
[00:04:06.000 --> 00:04:11.000]  逼迫一個人聽了道
[00:04:11.000 --> 00:04:19.000]  別說了道後來撒旦用各樣的方式來逼迫他
[00:04:19.000 --> 00:04:24.000]  撒旦在歷史裡面一直的發動
[00:04:24.000 --> 00:04:28.000]  對於信道的人的迫害
[00:04:29.000 --> 00:04:34.000]  有十個人因此跌倒
[00:04:34.000 --> 00:04:39.000]  還有呢第十九節
[00:04:39.000 --> 00:04:46.000]  後來由世上的思慮錢財的迷惑和別樣的思慾
[00:04:46.000 --> 00:04:50.000]  進來把道擊住了不能解釋
[00:04:50.000 --> 00:04:58.000]  這裡有提到世上的思慮和錢財的迷惑
[00:04:58.000 --> 00:05:06.000]  撒旦有一個名字叫那迷惑人的
[00:05:06.000 --> 00:05:13.000]  撒旦有一個名字叫那迷惑人的
[00:05:13.000 --> 00:05:24.000]  這裡我們看見這個迷惑人的用什麼樣的方式來迷惑呢
[00:05:25.000 --> 00:05:29.000]  這裡提到世上的思慮
[00:05:29.000 --> 00:05:32.000]  錢財的迷惑
[00:05:32.000 --> 00:05:35.000]  世上的這一切
[00:05:35.000 --> 00:05:39.000]  撒旦被稱為世界的王
[00:05:39.000 --> 00:05:46.000]  那麼這是約翰福音十二章三十一節所用的名字
[00:05:46.000 --> 00:05:49.000]  世界的王
[00:05:49.000 --> 00:06:01.000]  所以他用世上的一切的思慮錢財來迷惑人
[00:06:01.000 --> 00:06:07.000]  那麼這個世上有什麼呢
[00:06:07.000 --> 00:06:10.000]  我們看約翰一書
[00:06:10.000 --> 00:06:15.000]  約翰一書第二章
[00:06:18.000 --> 00:06:21.000]  第十六節
[00:06:21.000 --> 00:06:25.000]  因為凡世界上的事
[00:06:25.000 --> 00:06:28.000]  就像入體的情慾
[00:06:28.000 --> 00:06:30.000]  原木的情慾
[00:06:30.000 --> 00:06:32.000]  並今生的驕傲
[00:06:32.000 --> 00:06:34.000]  都不是從父來的
[00:06:34.000 --> 00:06:38.000]  那是從世界來的
[00:06:38.000 --> 00:06:42.000]  這裡說的世界
[00:06:42.000 --> 00:06:47.000]  被世界的王控制下的世界
[00:06:47.000 --> 00:06:49.000]  上面有什麼事呢
[00:06:49.000 --> 00:06:54.000]  第一 入體的情慾
[00:06:54.000 --> 00:06:57.000]  那麼這是力
[00:06:57.000 --> 00:07:01.000]  原木的情慾
[00:07:01.000 --> 00:07:06.000]  這是色
[00:07:06.000 --> 00:07:08.000]  今生的驕傲
[00:07:08.000 --> 00:07:10.000]  這是明
[00:07:10.000 --> 00:07:15.000]  和我們中國人常講的明綠色
[00:07:15.000 --> 00:07:21.000]  完全一樣
[00:07:21.000 --> 00:07:24.000]  入體的情慾
[00:07:24.000 --> 00:07:27.000]  要得了金錢
[00:07:27.000 --> 00:07:31.000]  才滿足自己入體的情慾
[00:07:31.000 --> 00:07:35.000]  原木的情慾
[00:07:35.000 --> 00:07:40.000]  看自己所喜歡看的色
[00:07:40.000 --> 00:07:42.000]  今生的驕傲
[00:07:42.000 --> 00:07:44.000]  明
[00:07:44.000 --> 00:07:47.000]  每個人知道我是誰
[00:07:47.000 --> 00:07:52.000]  為這一切來追求
[00:07:52.000 --> 00:07:55.000]  賣命的追求
[00:07:55.000 --> 00:07:58.000]  明綠色
[00:07:58.000 --> 00:08:01.000]  這是世界上的事
[00:08:01.000 --> 00:08:04.000]  這三大瑞
[00:08:04.000 --> 00:08:06.000]  都不是從父來的
[00:08:06.000 --> 00:08:10.000]  那是從世界來的
[00:08:10.000 --> 00:08:13.000]  在十七節給我們一個提醒
[00:08:13.000 --> 00:08:19.000]  這世界和其上的情慾都要過去
