
[00:00:00.000 --> 00:00:03.880]  領子每月寺的蘇基督的恩惠平安與你們同在
[00:00:03.880 --> 00:00:11.840]  多謝Alan帶我們去感恩讚頌
[00:00:11.840 --> 00:00:18.000]  亦提醒我們我們的生命是一個信仰傳承的生命
[00:00:18.000 --> 00:00:24.000]  都是今日提摩太后書第三章提到的一個重點
[00:00:24.000 --> 00:00:28.480]  我們繼續去看提摩太后書第四講
[00:00:28.680 --> 00:00:31.440]  今日我們看到第三章
[00:00:31.440 --> 00:00:33.960]  如果你記得提摩太后書
[00:00:33.960 --> 00:00:37.880]  是保羅很記掛著提摩太的狀況
[00:00:37.880 --> 00:00:43.760]  當時教會面對著假教師他們的挑戰和影響
[00:00:43.760 --> 00:00:48.400]  可以想像提摩太侍奉的壓力指數是很高
[00:00:48.400 --> 00:00:53.080]  活在擔憂、膽怯的狀態裏面
[00:00:53.080 --> 00:00:57.400]  保羅就在第一和第二章去指教提摩太
[00:00:57.400 --> 00:00:59.520]  你怎樣去回應這些挑戰
[00:00:59.520 --> 00:01:03.240]  上一次我講到第二章的下半部分
[00:01:03.240 --> 00:01:05.280]  保羅要勸勉提摩太
[00:01:05.280 --> 00:01:09.880]  繼續去做那個作主無愧的工人
[00:01:09.880 --> 00:01:12.760]  要按正義分解真理的道
[00:01:12.760 --> 00:01:15.360]  要分別出來為主所用
[00:01:15.360 --> 00:01:20.280]  要以謙卑的態度去面對著這些的爭戰
[00:01:20.280 --> 00:01:22.400]  繼續做主喜悅的事
[00:01:22.400 --> 00:01:24.160]  溫和待人
[00:01:24.160 --> 00:01:25.800]  善於教導
[00:01:25.920 --> 00:01:27.520]  全心忍耐
[00:01:27.520 --> 00:01:29.960]  第一和第二章
[00:01:29.960 --> 00:01:33.560]  保羅的語氣上都是比較溫和的
[00:01:33.560 --> 00:01:36.560]  都是帶著一份樂觀的心
[00:01:36.560 --> 00:01:41.720]  如果你看上一次最後第二章的後面
[00:01:41.720 --> 00:01:43.800]  面對著這些假教師
[00:01:43.800 --> 00:01:47.520]  他說希望神會賜給他們悔改的心
[00:01:47.520 --> 00:01:49.640]  讓他們能夠認識真理
[00:01:49.640 --> 00:01:54.320]  他們其實都是被魔鬼佬去隨從魔鬼意思的人
[00:01:54.680 --> 00:01:56.400]  希望他們不受遺惑
[00:01:56.400 --> 00:01:57.800]  可以醒悟過來
[00:01:57.800 --> 00:01:59.680]  脫離魔鬼的網絡
[00:01:59.680 --> 00:02:04.960]  所以都是很想可以勸勉
[00:02:04.960 --> 00:02:07.800]  不過來到第三章一開始
[00:02:07.800 --> 00:02:10.000]  保羅好像轉了語氣
[00:02:10.000 --> 00:02:10.880]  很嚴肅
[00:02:10.880 --> 00:02:16.360]  他很想提摩太去留心一個更重要的現實
[00:02:16.360 --> 00:02:20.560]  我們先讀第三章的第一到第九節
[00:02:20.560 --> 00:02:22.320]  我也是用新漢語譯本
[00:02:22.320 --> 00:02:23.320]  我們一起讀吧
[00:02:23.320 --> 00:02:24.280]  預備起
[00:02:24.800 --> 00:02:27.560]  「可是有一點你要知道
[00:02:27.560 --> 00:02:32.160]  在末後的日子必有艱難的時候來到
[00:02:32.160 --> 00:02:35.680]  因為那時人會只愛自己
[00:02:35.680 --> 00:02:37.440]  貪愛錢財
[00:02:37.440 --> 00:02:39.400]  自誇高傲
[00:02:39.400 --> 00:02:40.840]  言行褻瀆
[00:02:40.840 --> 00:02:42.440]  忤逆父母
[00:02:42.440 --> 00:02:45.200]  忘恩負義不勝結
[00:02:45.200 --> 00:02:48.200]  沒有親情不肯和解
[00:02:48.200 --> 00:02:51.360]  惡意毀謗不能節制
[00:02:51.720 --> 00:02:54.640]  野性凶殘不愛良善
[00:02:54.640 --> 00:02:57.800]  出賣朋友魯莽衝動
[00:02:57.800 --> 00:03:02.080]  自高自大愛享樂而不愛神
[00:03:02.080 --> 00:03:07.080]  有敬虔的外表卻否定敬虔的實質
[00:03:07.080 --> 00:03:09.800]  這些人你要避開
[00:03:09.800 --> 00:03:14.880]  因為他們當中有些人潛入別人家裡
[00:03:14.880 --> 00:03:17.240]  操縱無知的婦女
[00:03:17.640 --> 00:03:21.800]  這些婦女被壓在層層堆疊的罪底下
[00:03:21.800 --> 00:03:24.200]  被各種私慾騙人
[00:03:24.200 --> 00:03:26.400]  雖然常常學習
[00:03:26.400 --> 00:03:29.000]  卻總不能認識真理
[00:03:29.000 --> 00:03:33.440]  從前雅尼和楊臂怎樣反對摩西
[00:03:33.440 --> 00:03:36.720]  這些人也怎樣反對真理
[00:03:36.720 --> 00:03:39.040]  他們心思敗壞
[00:03:39.040 --> 00:03:41.960]  在信仰上經不起考驗
[00:03:41.960 --> 00:03:45.640]  但他們不會再有什麼進展了
[00:03:45.960 --> 00:03:50.400]  因為他們的愚昧必要顯露在眾人面前
[00:03:50.400 --> 00:03:53.240]  就像那兩個人一樣
[00:03:53.240 --> 00:03:56.160]  第三章一開始
[00:03:56.160 --> 00:03:59.440]  保羅就很鄭重地提醒提摩太
[00:03:59.440 --> 00:04:01.400]  他說完你要怎樣你要怎樣
[00:04:01.400 --> 00:04:01.960]  然後
[00:04:01.960 --> 00:04:06.760]  「可是,不過有一點你要知道」
[00:04:06.760 --> 00:04:10.280]  這是第三章裡面第一個的命令句
[00:04:10.280 --> 00:04:11.800]  「要知道」
[00:04:11.800 --> 00:04:12.800]  知道什麼?
[00:04:13.920 --> 00:04:17.960]  「你要知道在末後的日子」
[00:04:17.960 --> 00:04:21.240]  「必有艱難的時候來到」
[00:04:21.240 --> 00:04:26.280]  雖然保羅在第二章教提摩太自己
[00:04:26.280 --> 00:04:29.920]  你要怎樣去面對假教師的挑戰
[00:04:29.920 --> 00:04:31.560]  怎樣幫助他
[00:04:31.560 --> 00:04:33.440]  怎樣自己去做好
[00:04:33.440 --> 00:04:37.360]  但其實保羅很清楚知道
[00:04:37.360 --> 00:04:41.720]  假教師的問題是不會徹底解決的
[00:04:41.720 --> 00:04:43.240]  為什麼?
[00:04:43.400 --> 00:04:45.760]  因為這是末世的階段
[00:04:45.760 --> 00:04:49.560]  耶穌也曾經向門徒說明
[00:04:49.560 --> 00:04:51.080]  末後的日子
[00:04:51.080 --> 00:04:53.600]  一定會有更多的艱難
[00:04:53.600 --> 00:04:55.800]  更多的罪惡出現
[00:04:55.800 --> 00:04:59.520]  所以對末世的警告
[00:04:59.520 --> 00:05:01.040]  其實我們不會陌生的
[00:05:01.040 --> 00:05:04.200]  保羅在這裡要提摩太留心
[00:05:04.200 --> 00:05:05.640]  是呀
[00:05:05.640 --> 00:05:08.040]  你眼前面對教會很多困難
[00:05:08.040 --> 00:05:09.560]  這些假教師
[00:05:09.560 --> 00:05:11.480]  很多的挑戰
[00:05:12.120 --> 00:05:14.560]  不過這些面對的困難
[00:05:14.560 --> 00:05:16.320]  不是個別事件
[00:05:16.320 --> 00:05:19.200]  保羅對提摩太的勸誡
[00:05:19.200 --> 00:05:21.600]  由起初由提摩太自己出發
[00:05:21.600 --> 00:05:22.920]  來到這裡
[00:05:22.920 --> 00:05:25.240]  他要提摩太意識到
[00:05:25.240 --> 00:05:29.320]  要從一個更廣闊的眼光
