
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹 主人平安
[00:00:04.000 --> 00:00:08.000]  我相信這幾個禮拜大家應該都很忙碌
[00:00:08.000 --> 00:00:11.000]  因為有一個全世界的城市
[00:00:11.000 --> 00:00:13.000]  就是東京奧運會
[00:00:13.000 --> 00:00:16.000]  大家是不是看了很多場賽事
[00:00:16.000 --> 00:00:21.000]  我們剛剛星期五去團友家有家聚的時候
[00:00:21.000 --> 00:00:25.000]  都一起很緊張地看乒乓球的比賽
[00:00:25.000 --> 00:00:28.000]  男的女的都一起踢進去這個賽事當中
[00:00:28.000 --> 00:00:31.000]  我不知道大家看了這麼多場比賽
[00:00:31.000 --> 00:00:35.000]  大家印象最深刻的是哪一個項目
[00:00:35.000 --> 00:00:39.000]  或者印象最深刻的是哪位運動員
[00:00:39.000 --> 00:00:41.000]  可能大家都很不同
[00:00:41.000 --> 00:00:47.000]  會不會真的令到我們全香港人都非常之感動
[00:00:47.000 --> 00:00:48.000]  興奮的
[00:00:48.000 --> 00:00:51.000]  就是這個花劍的張家朗
[00:00:51.000 --> 00:00:54.000]  還是游水的何詩蓓
[00:00:54.000 --> 00:00:58.000]  就是乒乓球 羽毛球 空手道
[00:00:58.000 --> 00:01:01.000]  甚至今天早上9點多有單車賽
[00:01:01.000 --> 00:01:03.000]  有多少人看了
[00:01:03.000 --> 00:01:05.000]  我都很想看
[00:01:05.000 --> 00:01:07.000]  先不要告訴大家這個結果
[00:01:07.000 --> 00:01:10.000]  等我今天回去看影片
[00:01:10.000 --> 00:01:18.000]  如果你問我在今屆的奧運會裡面
[00:01:18.000 --> 00:01:20.000]  我印象最深刻的是什麼
[00:01:20.000 --> 00:01:23.000]  我就告訴大家是體操
[00:01:23.000 --> 00:01:25.000]  有多少人看過體操賽事
[00:01:25.000 --> 00:01:27.000]  都有人舉手
[00:01:27.000 --> 00:01:30.000]  因為在今屆的體操賽事裡面
[00:01:30.000 --> 00:01:34.000]  發生了一件震動整個體育界的大事
[00:01:34.000 --> 00:01:37.000]  我想我們當中的弟兄姊妹可能都有看到新聞
[00:01:37.000 --> 00:01:43.000]  就是在2016年里約的奧運會裡面
[00:01:43.000 --> 00:01:45.000]  拿到四金一銅的佳績
[00:01:45.000 --> 00:01:51.000]  被譽為在美國歷史上最偉大的體操選手
[00:01:51.000 --> 00:01:55.000]  西蒙·拜爾斯退賽
[00:01:55.000 --> 00:01:59.000]  最初的時候美國的體操協會說
[00:01:59.000 --> 00:02:02.000]  他因為身體的緣故退賽
[00:02:02.000 --> 00:02:05.000]  但後來西蒙·拜爾斯直接說
[00:02:05.000 --> 00:02:07.000]  他不是因為身體有傷患
[00:02:07.000 --> 00:02:09.000]  而是他的心理健康
[00:02:09.000 --> 00:02:11.000]  這個是最主要的問題
[00:02:11.000 --> 00:02:15.000]  所以他選擇退出體操女子的團體賽
[00:02:15.000 --> 00:02:18.000]  還有之後有好幾個跳馬的項目
[00:02:18.000 --> 00:02:20.000]  所以全世界都很震驚
[00:02:20.000 --> 00:02:24.000]  因為個個都覺得他會拿到金牌
[00:02:24.000 --> 00:02:28.000]  而西蒙·拜爾斯上次在賽後的記者會上
[00:02:28.000 --> 00:02:30.000]  他強調一件事
[00:02:30.000 --> 00:02:33.000]  他說體操並不是一切
[00:02:33.000 --> 00:02:37.000]  心理健康是比運動更加重要
[00:02:37.000 --> 00:02:41.000]  我們都知道其實每個運動員都經歷過
[00:02:41.000 --> 00:02:43.000]  長年累月非常嚴苛的訓練
[00:02:43.000 --> 00:02:45.000]  流了很多汗水
[00:02:45.000 --> 00:02:52.000]  才能站在奧運體育界最大的殿堂裏面
[00:02:52.000 --> 00:02:57.000]  其實每個參加奧運賽的選手都絕對不簡單
[00:02:57.000 --> 00:03:00.000]  尤其是女性的體操選手
[00:03:00.000 --> 00:03:02.000]  她們的黃金時間非常有限
[00:03:02.000 --> 00:03:05.000]  西蒙·拜爾斯今年已經24歲
[00:03:05.000 --> 00:03:07.000]  所以下一屆的奧運會
