
[00:00:00.000 --> 00:00:07.800]  今天要讀的經文是《沙漠及上》三章一到十節
[00:00:07.800 --> 00:00:13.800]  那孩子沙漠在以利面前侍奉耶和華
[00:00:13.800 --> 00:00:21.300]  在那時日子 耶和華的言語稀少 不常有意想
[00:00:21.300 --> 00:00:26.500]  那時以利在自己的地方睡覺
[00:00:27.200 --> 00:00:32.000]  他眼目開始昏花 不能看見
[00:00:32.000 --> 00:00:36.000]  神的燈還沒有熄滅
[00:00:36.000 --> 00:00:40.000]  沙漠睡在耶和華的殿內
[00:00:40.000 --> 00:00:45.000]  神的約會就在那裡
[00:00:45.000 --> 00:00:49.000]  耶和華呼喚沙漠
[00:00:49.000 --> 00:00:53.000]  沙漠說:我在這裡
[00:00:53.000 --> 00:00:57.000]  他跑到以利那裡說
[00:00:57.300 --> 00:01:00.000]  你叫我嗎 我在這裡
[00:01:00.000 --> 00:01:06.000]  以利說:我沒有叫你 回去睡吧
[00:01:06.000 --> 00:01:10.000]  他就回去睡了
[00:01:10.000 --> 00:01:16.000]  耶和華又呼喚沙漠
[00:01:16.000 --> 00:01:20.000]  沙漠起來到以利那裡說
[00:01:20.000 --> 00:01:24.000]  你叫我嗎 我在這裡
[00:01:25.000 --> 00:01:32.000]  以利說:我沒有叫你 回去睡吧
[00:01:32.000 --> 00:01:37.000]  那時沙漠還未認識耶和華
[00:01:37.000 --> 00:01:43.000]  耶和華的話也未曾向他起誓
[00:01:43.000 --> 00:01:49.000]  耶和華第三次再呼喚沙漠
[00:01:49.000 --> 00:01:53.000]  沙漠起來到以利那裡說
[00:01:54.000 --> 00:01:57.000]  你叫我嗎 我在這裡
[00:01:57.000 --> 00:02:04.000]  以利才明白 是沙漠呼喚這小孩
[00:02:04.000 --> 00:02:09.000]  以利對沙漠說:你回去睡吧
[00:02:09.000 --> 00:02:13.000]  他說:在家裡 你就說
[00:02:13.000 --> 00:02:20.000]  耶和華 請說 僕人敬聽
[00:02:21.000 --> 00:02:26.000]  沙漠就回去 人睡在原處
[00:02:26.000 --> 00:02:31.000]  耶和華來站著 向前子嗣呼喚
[00:02:31.000 --> 00:02:35.000]  沙漠 沙漠
[00:02:35.000 --> 00:02:42.000]  沙漠說:請說 僕人敬聽
[00:02:42.000 --> 00:02:46.000]  以上是神的話語 感謝
[00:02:46.000 --> 00:02:51.000]  請回答
[00:02:51.000 --> 00:03:01.000]  感謝你 經歷過風雨之後
[00:03:01.000 --> 00:03:06.000]  給我們穩定的天氣 讓我們可以聚在這裡
[00:03:06.000 --> 00:03:11.000]  讓我們知道 有這樣的天氣是不容易的
[00:03:11.000 --> 00:03:14.000]  也要靠著你的恩典去扶持
[00:03:14.000 --> 00:03:17.000]  也感謝你給我們這麼多的
[00:03:18.000 --> 00:03:21.000]  一起來侍奉 一起來敬拜的弟兄姊妹
[00:03:21.000 --> 00:03:24.000]  讓我們在這裡 享受你賜給我們一家人的
[00:03:24.000 --> 00:03:26.000]  歡喜 平安
[00:03:26.000 --> 00:03:30.000]  我們願你的話語 真的是在我們腳前坐燈
[00:03:30.000 --> 00:03:34.000]  路上坐光 在我們的生活 工作 各方面
[00:03:34.000 --> 00:03:36.000]  都有你的指引
[00:03:36.000 --> 00:03:39.000]  我們願這樣的成就 願你與我們同在
[00:03:39.000 --> 00:03:42.000]  奉主耶穌 得勝的民求 阿們
[00:03:47.000 --> 00:03:49.000]  請回到之前的經文
[00:03:49.000 --> 00:03:51.000]  謝謝
[00:03:51.000 --> 00:03:56.000]  有沒有發現 我們的生活裡面充滿著各種聲音
[00:03:56.000 --> 00:03:59.000]  現在這個聲音是越來越多了
[00:03:59.000 --> 00:04:03.000]  比方說 街市買菜的聲音
[00:04:03.000 --> 00:04:06.000]  有沒有去過街市買菜
[00:04:06.000 --> 00:04:11.000]  還有街上司機不耐煩地按喇叭的聲音
[00:04:11.000 --> 00:04:14.000]  尤其在我們這邊 按喇叭的特別多
[00:04:14.000 --> 00:04:16.000]  因為我們這路小
[00:04:16.000 --> 00:04:19.000]  還有的話 其實最多最多的
[00:04:19.000 --> 00:04:21.000]  大家可能沒有留意
[00:04:21.000 --> 00:04:24.000]  是空調冷氣機的聲音
[00:04:24.000 --> 00:04:27.000]  這個噪音 其實無處不在
[00:04:27.000 --> 00:04:30.000]  大家可能有時候是沒有留意到
[00:04:30.000 --> 00:04:33.000]  城市裡各種各樣的噪音
[00:04:33.000 --> 00:04:37.000]  把我們包在聲音的森林裡頭
[00:04:37.000 --> 00:04:40.000]  聽多了之後
[00:04:40.000 --> 00:04:45.000]  讓我們聽覺的分辨能力就逐漸下降了
[00:04:46.000 --> 00:04:50.000]  所以你發現沒有
[00:04:50.000 --> 00:04:54.000]  聽得到聲音 聽得清楚聲音的話
[00:04:54.000 --> 00:04:57.000]  是非常非常重要的事情
[00:04:57.000 --> 00:05:01.000]  最近我是發現我聽力是有下降的
[00:05:01.000 --> 00:05:04.000]  可能耳機用多了
[00:05:04.000 --> 00:05:08.000]  你想在幾千年以前
[00:05:08.000 --> 00:05:12.000]  以色列人很多人他們不識字的
[00:05:13.000 --> 00:05:16.000]  他們要聽神的話
[00:05:16.000 --> 00:05:19.000]  只能聽祭司傳達耶和華的話
[00:05:19.000 --> 00:05:21.000]  為什麼呢
[00:05:21.000 --> 00:05:23.000]  因為他們不識字的話
[00:05:23.000 --> 00:05:26.000]  他如果說沒有聽清楚的話
[00:05:26.000 --> 00:05:30.000]  他們回去也沒辦法翻聖經看
[00:05:30.000 --> 00:05:33.000]  因為為什麼 不識字嘛
[00:05:33.000 --> 00:05:37.000]  所以他們必須要很認真的聽
[00:05:37.000 --> 00:05:41.000]  沒法回去翻經文再看的
[00:05:42.000 --> 00:05:45.000]  而且不但要經常認真的聽
[00:05:45.000 --> 00:05:48.000]  他們還需要經常去問祭司
[00:05:48.000 --> 00:05:52.000]  因為要搞明白搞清楚
[00:05:52.000 --> 00:05:54.000]  如果搞不清楚的話
[00:05:54.000 --> 00:05:57.000]  他們就很容易忘掉了
[00:05:57.000 --> 00:06:00.000]  所以你發現沒有
[00:06:00.000 --> 00:06:02.000]  我們在舊約裡面
[00:06:02.000 --> 00:06:05.000]  耶和華經常說什麼呀
[00:06:05.000 --> 00:06:09.000]  說以色列你們要聽
[00:06:10.000 --> 00:06:12.000]  也就是說以色列你們要看聖經
[00:06:12.000 --> 00:06:14.000]  你們要聽
[00:06:14.000 --> 00:06:16.000]  因為以色列民沒法看
[00:06:16.000 --> 00:06:18.000]  他看不懂
[00:06:18.000 --> 00:06:23.000]  所以認真聽是非常重要的
[00:06:23.000 --> 00:06:25.000]  這樣的話
[00:06:25.000 --> 00:06:27.000]  以色列的百姓
