
[00:00:00.000 --> 00:00:02.000]  當我們看回《針研》的時候
[00:00:02.000 --> 00:00:04.000]  就會察覺聖經裡面提及
[00:00:04.000 --> 00:00:08.000]  神的話要救我們脫離一切的凶惡
[00:00:08.000 --> 00:00:11.000]  的確在香港生活大家體會到
[00:00:11.000 --> 00:00:13.000]  這個世界這個社會
[00:00:13.000 --> 00:00:15.000]  很多很多凶險的事情
[00:00:15.000 --> 00:00:17.000]  我最近留意一段新聞
[00:00:17.000 --> 00:00:21.000]  提到在香港一個女子的監獄裡面
[00:00:21.000 --> 00:00:24.000]  裡面有差不多20位囚犯
[00:00:24.000 --> 00:00:26.000]  他們都是在內地出來的
[00:00:26.000 --> 00:00:28.000]  為什麼被抓去坐牢呢?
[00:00:28.000 --> 00:00:30.000]  報導就說
[00:00:30.000 --> 00:00:33.000]  這班女孩遇到一些類似的遭遇
[00:00:33.000 --> 00:00:35.000]  在內地認識了一個男孩
[00:00:35.000 --> 00:00:38.000]  這個男孩是很英俊
[00:00:38.000 --> 00:00:39.000]  很有紳士風度
[00:00:39.000 --> 00:00:41.000]  愛直的男子
[00:00:41.000 --> 00:00:44.000]  認識了不久就拍拖
[00:00:44.000 --> 00:00:46.000]  拍拖之後這個男士告訴她
[00:00:46.000 --> 00:00:47.000]  我開了一間公司
[00:00:47.000 --> 00:00:49.000]  我請你做員工
[00:00:49.000 --> 00:00:51.000]  他們很開心
[00:00:51.000 --> 00:00:53.000]  公司要他們將一些貨品
[00:00:53.000 --> 00:00:55.000]  從東南亞國家帶回來
[00:00:55.000 --> 00:00:57.000]  在內地的地方
[00:00:57.000 --> 00:00:59.000]  他們就去帶這些貨品
[00:00:59.000 --> 00:01:00.000]  回來之後
[00:01:00.000 --> 00:01:03.000]  公司將一些囚報給他們
[00:01:03.000 --> 00:01:05.000]  如是者大概經過兩三次
[00:01:05.000 --> 00:01:06.000]  其中一個女孩
[00:01:06.000 --> 00:01:09.000]  就經過香港回到內地的時候
[00:01:09.000 --> 00:01:10.000]  海關就發現
[00:01:10.000 --> 00:01:14.000]  她的行李裡面有很多毒品
[00:01:14.000 --> 00:01:16.000]  突然間她發現原來這麼多次
[00:01:16.000 --> 00:01:20.000]  幫助公司所帶的所謂的貨品
[00:01:20.000 --> 00:01:22.000]  其實就是毒品
[00:01:22.000 --> 00:01:24.000]  她馬上聯絡那位男士
[00:01:24.000 --> 00:01:26.000]  已經失去蹤影
[00:01:26.000 --> 00:01:29.000]  差不多二十個這樣的人
[00:01:29.000 --> 00:01:31.000]  都在經過這樣的情況下
[00:01:31.000 --> 00:01:34.000]  進入了這個女子的監牢
[00:01:34.000 --> 00:01:36.000]  當他們發現的時候
[00:01:36.000 --> 00:01:37.000]  突然間他們察覺
[00:01:37.000 --> 00:01:39.000]  這麼多的時間
[00:01:39.000 --> 00:01:40.000]  這麼多的月份裡面
[00:01:40.000 --> 00:01:43.000]  原來是被人利用了
[00:01:43.000 --> 00:01:47.000]  被人利用來賺取金錢去運毒
[00:01:47.000 --> 00:01:48.000]  他們覺得很後悔
[00:01:48.000 --> 00:01:52.000]  但現在只能夠在監牢當中後悔
[00:01:52.000 --> 00:01:54.000]  看到這些新聞的時候就體會到
[00:01:54.000 --> 00:01:55.000]  其實在這個世界裡面
[00:01:55.000 --> 00:01:58.000]  周圍有很多不同的陷阱
[00:01:58.000 --> 00:01:59.000]  很多時候你意會不到
[00:01:59.000 --> 00:02:01.000]  一些陷阱在你身邊
[00:02:01.000 --> 00:02:03.000]  有些時候一誤為意
[00:02:03.000 --> 00:02:05.000]  掉了下去
[00:02:05.000 --> 00:02:07.000]  有些時候是金錢的誘惑
[00:02:07.000 --> 00:02:08.000]  有些是情感的誘惑
[00:02:08.000 --> 00:02:10.000]  有些是情慾的誘惑
[00:02:10.000 --> 00:02:13.000]  有些時候想不到就掉了下去
[00:02:13.000 --> 00:02:15.000]  當然基督徒在當中
[00:02:15.000 --> 00:02:16.000]  也不會是免疫的
[00:02:16.000 --> 00:02:17.000]  基督徒都面對著
[00:02:17.000 --> 00:02:19.000]  很多類似不同的試探
[00:02:19.000 --> 00:02:21.000]  大家一定記得聖經所說
[00:02:21.000 --> 00:02:27.000]  撒旦好像一隻咆哮的獅子
[00:02:27.000 --> 00:02:29.000]  在遍地遊行
[00:02:29.000 --> 00:02:32.000]  去尋找那些可以吞吃的人
[00:02:32.000 --> 00:02:36.000]  撒旦的試探不是被動的
[00:02:36.000 --> 00:02:38.000]  是主動的
[00:02:38.000 --> 00:02:40.000]  他是主動地四處遊行
[00:02:40.000 --> 00:02:42.000]  尋找機會去試探
[00:02:42.000 --> 00:02:45.000]  去叫人跌倒
[00:02:45.000 --> 00:02:47.000]  因此聖經常常勉勵我們
[00:02:47.000 --> 00:02:50.000]  要小心保存自己的生命
[00:02:50.000 --> 00:02:52.000]  也提醒我們
[00:02:52.000 --> 00:02:55.000]  最能夠幫助我們保存生命的
[00:02:55.000 --> 00:02:57.000]  就是神的話
[00:02:57.000 --> 00:03:01.000]  神的話是我們生命最大最大的保障
[00:03:01.000 --> 00:03:03.000]  因此在《針研》的經文
[00:03:03.000 --> 00:03:07.000]  不斷提醒我們要重視神的話
[00:03:07.000 --> 00:03:09.000]  因此領受生命
[00:03:09.000 --> 00:03:13.000]  我們今天看看聖經針研第四章的經文
[00:03:13.000 --> 00:03:15.000]  在第四章提到
[00:03:15.000 --> 00:03:19.000]  作父親的向兒子指教神的話
[00:03:19.000 --> 00:03:21.000]  第十節說
[00:03:21.000 --> 00:03:25.000]  我而你要聽並要接受我所說的
[00:03:25.000 --> 00:03:28.000]  這樣你就必然年益壽
[00:03:28.000 --> 00:03:31.000]  要聽同時去接受
[00:03:31.000 --> 00:03:34.000]  你就年益壽
[00:03:34.000 --> 00:03:36.000]  但你說不是
[00:03:36.000 --> 00:03:39.000]  我認識的弟兄很勁虔
[00:03:39.000 --> 00:03:43.000]  但他中年時就癌症離世
[00:03:43.000 --> 00:03:44.000]  很短命
[00:03:44.000 --> 00:03:46.000]  難道他沒有敬畏神
[00:03:46.000 --> 00:03:48.000]  沒有接受神的話
[00:03:48.000 --> 00:03:50.000]  我們不要隨便去論斷
[00:03:50.000 --> 00:03:54.000]  這個人很早就去世
[00:03:54.000 --> 00:03:56.000]  就等於他不敬畏神
[00:03:56.000 --> 00:04:00.000]  當然每個人有他年日的長短
[00:04:00.000 --> 00:04:02.000]  但當傾從神的人
[00:04:02.000 --> 00:04:07.000]  神會讓他盡得神對他的恩惠
[00:04:07.000 --> 00:04:09.000]  或長或短
[00:04:09.000 --> 00:04:13.000]  是神要給他在人生當中領受的
[00:04:13.000 --> 00:04:17.000]  無論是歲數或各種生命的恩惠
[00:04:17.000 --> 00:04:20.000]  當他聽從神的道的時候
[00:04:20.000 --> 00:04:23.000]  就盡得神賜給他
[00:04:23.000 --> 00:04:25.000]  無論長或短
[00:04:25.000 --> 00:04:27.000]  這些人當行走人生路的時候
[00:04:27.000 --> 00:04:29.000]  聖經應許
[00:04:29.000 --> 00:04:31.000]  你看第十二節
[00:04:31.000 --> 00:04:33.000]  你行走的時候
[00:04:33.000 --> 00:04:35.000]  腳步必不會受阻礙
[00:04:35.000 --> 00:04:39.000]  你奔跑的時候也不會跌倒
[00:04:39.000 --> 00:04:41.000]  聖經清楚說
[00:04:41.000 --> 00:04:44.000]  當人這樣聽從神的話的時候
[00:04:44.000 --> 00:04:47.000]  他是不會有阻礙的
[00:04:47.000 --> 00:04:51.000]  人生的路可以一路向前邁進
[00:04:51.000 --> 00:04:53.000]  不會受到障礙
[00:04:53.000 --> 00:04:55.000]  當然你不會沒有困難
[00:04:55.000 --> 00:04:58.000]  但你的生命可以繼續不斷去成長
[00:04:58.000 --> 00:05:01.000]  而領受神賜給你的恩惠
[00:05:01.000 --> 00:05:05.000]  這條路上你不會跌倒
[00:05:05.000 --> 00:05:07.000]  而且在這些情況下
[00:05:07.000 --> 00:05:09.000]  既然神的話這麼重要
[00:05:09.000 --> 00:05:12.000]  第十三節就說了
[00:05:12.000 --> 00:05:14.000]  你要堅守教訓
[00:05:14.000 --> 00:05:17.000]  不可放鬆
[00:05:17.000 --> 00:05:19.000]  我不知道大家有沒有試過
[00:05:19.000 --> 00:05:21.000]  當你坐巴士或地鐵的時候
[00:05:21.000 --> 00:05:25.000]  有時候車程過程比較平穩
[00:05:25.000 --> 00:05:27.000]  你兩隻腳站著不用扶著
[00:05:27.000 --> 00:05:29.000]  也可以很穩定
[00:05:29.000 --> 00:05:31.000]  但你也會扶著的
[00:05:31.000 --> 00:05:33.000]  為什麼?
[00:05:33.000 --> 00:05:35.000]  突然間車子擦一擦
[00:05:35.000 --> 00:05:36.000]  突然煞車
[00:05:36.000 --> 00:05:38.000]  你沒有扶著
[00:05:38.000 --> 00:05:41.000]  你就會搖晃甚至跌下去
[00:05:41.000 --> 00:05:43.000]  所以無論如何在車上
[00:05:43.000 --> 00:05:44.000]  都會拿著扶手
[00:05:44.000 --> 00:05:45.000]  很穩定
[00:05:45.000 --> 00:05:47.000]  就算有擦車
[00:05:47.000 --> 00:05:50.000]  你也可以站穩
[00:05:50.000 --> 00:05:51.000]  不要放鬆
[00:05:51.000 --> 00:05:54.000]  無論你的生活是在平順的日子
[00:05:54.000 --> 00:05:56.000]  在危難的日子
[00:05:56.000 --> 00:05:59.000]  你也要緊握神的話
[00:05:59.000 --> 00:06:01.000]  你也要留意神的話
[00:06:01.000 --> 00:06:04.000]  能夠保障你的人生
[00:06:04.000 --> 00:06:06.000]  不至跌倒
[00:06:06.000 --> 00:06:07.000]  當你有事的時候
[00:06:07.000 --> 00:06:09.000]  先抓住神的話
[00:06:09.000 --> 00:06:11.000]  就開始
[00:06:11.000 --> 00:06:13.000]  聖經告訴我們
[00:06:13.000 --> 00:06:16.000]  你要留意堅守教訓
[00:06:16.000 --> 00:06:18.000]  不可放鬆
[00:06:18.000 --> 00:06:19.000]  然後告訴我們
[00:06:19.000 --> 00:06:21.000]  要緊守教訓
[00:06:21.000 --> 00:06:24.000]  因為那是你的生命
[00:06:24.000 --> 00:06:26.000]  聖經直接說
[00:06:26.000 --> 00:06:28.000]  神的教訓就是你的生命
[00:06:28.000 --> 00:06:30.000]  大家一定會記得
[00:06:30.000 --> 00:06:34.000]  神用祂的話創造生命
[00:06:34.000 --> 00:06:35.000]  聖經說到
[00:06:35.000 --> 00:06:36.000]  《約翰福音》第一章
[00:06:36.000 --> 00:06:38.000]  「道成了肉身」
[00:06:38.000 --> 00:06:41.000]  耶穌基督是成了肉身的道
[00:06:41.000 --> 00:06:42.000]  聖經呢?
[00:06:42.000 --> 00:06:46.000]  聖經是成了文字的道
[00:06:46.000 --> 00:06:48.000]  道裡面有生命
