
[00:00:00.000 --> 00:00:02.000]  我們看回今天的筆記
[00:00:02.000 --> 00:00:05.000]  首先和大家思想關於中間的狀態
[00:00:05.000 --> 00:00:07.000]  Intermediate state
[00:00:07.000 --> 00:00:10.000]  今堂我引了很多經文
[00:00:10.000 --> 00:00:13.000]  我相信不適宜每段和大家查一下
[00:00:13.000 --> 00:00:15.000]  如果你有興趣有時間
[00:00:15.000 --> 00:00:17.000]  希望你回去做這些功夫
[00:00:17.000 --> 00:00:19.000]  慢慢看就知道
[00:00:19.000 --> 00:00:25.000]  Intermediate state是指著一個已死的靈魂
[00:00:25.000 --> 00:00:31.000]  以往耶穌未來之前
[00:00:31.000 --> 00:00:33.000]  未認識神的民族
[00:00:33.000 --> 00:00:39.000]  在第二個課程的時候
[00:00:39.000 --> 00:00:41.000]  講過一下沒有詳細處理
[00:00:41.000 --> 00:00:44.000]  這也不是我們範圍
[00:00:44.000 --> 00:00:47.000]  無論如何我們先說有福音道的地方
[00:00:47.000 --> 00:00:50.000]  我們一般人已經死了的人
[00:00:50.000 --> 00:00:56.000]  他們的身體很明顯摧毀
[00:00:56.000 --> 00:00:58.000]  火葬也好土葬也好
[00:00:58.000 --> 00:01:02.000]  化學物質溶解變成泥土
[00:01:02.000 --> 00:01:04.000]  他們的靈魂不滅
[00:01:04.000 --> 00:01:07.000]  我們都知道基督教相信靈魂是不滅的
[00:01:07.000 --> 00:01:08.000]  永恆性的
[00:01:08.000 --> 00:01:12.000]  基督教相信靈魂是有開始沒有結束的
[00:01:12.000 --> 00:01:14.000]  大家知道這件事
[00:01:14.000 --> 00:01:18.000]  當我們兩個精子論子結合的時候
[00:01:18.000 --> 00:01:20.000]  開始有生命的時候
[00:01:20.000 --> 00:01:23.000]  他一聲哭泣的時候
[00:01:23.000 --> 00:01:25.000]  那個靈魂就開始了
[00:01:25.000 --> 00:01:28.000]  開始了之後就不會結束
[00:01:28.000 --> 00:01:30.000]  不要看輕這麼重要
[00:01:30.000 --> 00:01:32.000]  製造一個靈魂出來
[00:01:32.000 --> 00:01:34.000]  以後就沒有了
[00:01:34.000 --> 00:01:35.000]  沒有回頭的了
[00:01:35.000 --> 00:01:37.000]  有開始永遠都不會再結束
[00:01:37.000 --> 00:01:38.000]  在他去哪裡
[00:01:38.000 --> 00:01:40.000]  這是基督教的看法
[00:01:40.000 --> 00:01:44.000]  肉身已經化解了
[00:01:44.000 --> 00:01:45.000]  靈魂就存在了
[00:01:45.000 --> 00:01:47.000]  靈魂的存在狀態
[00:01:47.000 --> 00:01:50.000]  將來耶穌基督第二次再來的時候
[00:01:50.000 --> 00:01:54.000]  那些以信的信徒就會肉身復活
[00:01:54.000 --> 00:01:56.000]  有些當時幸運還是不幸運
[00:01:56.000 --> 00:01:58.000]  經過災難還是不經過災難
[00:01:58.000 --> 00:01:59.000]  看你怎麼看
[00:01:59.000 --> 00:02:01.000]  那些人就升上去了
[00:02:01.000 --> 00:02:04.000]  接上去了不需要經過死亡
[00:02:04.000 --> 00:02:06.000]  然後到最後
[00:02:06.000 --> 00:02:07.000]  千禧年之後
[00:02:07.000 --> 00:02:09.000]  大戰之後
[00:02:09.000 --> 00:02:12.000]  馬國、戈格大戰之後
[00:02:12.000 --> 00:02:14.000]  白色大寶座審判的時候
