
[00:00:00.000 --> 00:00:03.320]  我們今天思想的是《出拉及記》的經文
[00:00:03.320 --> 00:00:06.760]  我們從其中很重點的看兩方面
[00:00:06.760 --> 00:00:11.320]  思想神祂自己怎樣關心世界上的人
[00:00:11.320 --> 00:00:14.680]  我們看回聖經的《出拉及記》第三章
[00:00:14.680 --> 00:00:20.560]  一段我們大家熟悉的經文
[00:00:20.560 --> 00:00:22.920]  提到神怎樣呼召、安息
[00:00:22.920 --> 00:00:27.000]  我請大家先看第三章第七節
[00:00:27.000 --> 00:00:30.000]  神是誰顧人的需要
[00:00:30.000 --> 00:00:32.000]  在第三章第七節
[00:00:32.000 --> 00:00:34.000]  聖經說
[00:00:34.160 --> 00:00:37.160]  當時神在意象當中向摩西說
[00:00:37.160 --> 00:01:01.640]  這節經文當我們小心看的時候就發現
[00:01:01.640 --> 00:01:05.800]  聖經提到神是看見了人的困苦
[00:01:05.800 --> 00:01:10.000]  祂又聽見了他們哀哼的聲音
[00:01:10.000 --> 00:01:12.000]  新淫的聲音
[00:01:12.000 --> 00:01:13.800]  而聖經就說神是從天上
[00:01:13.800 --> 00:01:17.200]  祂下來要釋放他們
[00:01:17.200 --> 00:01:21.480]  當你留心看到看見、聽見和下來這些字眼
[00:01:21.480 --> 00:01:24.480]  好像是神有些限制
[00:01:24.480 --> 00:01:26.680]  但是聖經其實說到
[00:01:26.680 --> 00:01:28.880]  好像用一種擬人法的方式
[00:01:28.880 --> 00:01:31.320]  描寫神那種關注
[00:01:31.320 --> 00:01:33.320]  其實神並不受這些限制
[00:01:33.320 --> 00:01:35.320]  祂不受時空的影響
[00:01:35.320 --> 00:01:39.320]  祂無所不在、無所不見、無所不能
[00:01:39.320 --> 00:01:43.040]  因此祂不需要特別下來看才看到
[00:01:43.040 --> 00:01:46.240]  但這方式似乎背後有一種意思
[00:01:46.240 --> 00:01:48.240]  是只是在問摩西
[00:01:48.240 --> 00:01:51.320]  你看不看見我所見到的呢?
[00:01:51.320 --> 00:01:52.520]  你是否也下來
[00:01:52.520 --> 00:01:54.720]  也去到百姓當中
[00:01:54.720 --> 00:01:57.240]  去關注他們的需要呢?
[00:01:57.240 --> 00:01:59.720]  這描寫似乎正在挑戰摩西
[00:01:59.720 --> 00:02:01.520]  你是否也像神
[00:02:01.520 --> 00:02:04.440]  能夠明白到很多人的需要
[00:02:04.440 --> 00:02:07.440]  體貼人的需要
[00:02:07.440 --> 00:02:09.320]  大家會留意到前面的一個意象
[00:02:09.320 --> 00:02:10.440]  大家都熟悉
[00:02:10.440 --> 00:02:14.320]  神在荊棘中、在火炎中向摩西顯現
[00:02:14.320 --> 00:02:17.320]  有時我自己就在想
[00:02:17.320 --> 00:02:21.440]  為何神會選擇荊棘?
[00:02:21.440 --> 00:02:23.720]  如果神要降臨、要啟示祂自己
[00:02:23.720 --> 00:02:28.440]  祂大可以選擇一些很宏偉的表達方式
[00:02:28.440 --> 00:02:32.240]  或者選擇一些尼巴嫩的香柏樹
[00:02:32.240 --> 00:02:36.440]  一些很健壯、很高聳入雲的大樹
[00:02:36.440 --> 00:02:38.440]  來彰顯祂自己
[00:02:38.440 --> 00:02:40.440]  但神選擇了荊棘
[00:02:40.440 --> 00:02:41.840]  在當時大家都會知道
[00:02:41.840 --> 00:02:44.240]  是一些很微小的植物
[00:02:44.240 --> 00:02:48.240]  很不起眼、不受重視
[00:02:48.240 --> 00:02:51.240]  很普遍、到處都有的荊棘
[00:02:51.240 --> 00:02:52.640]  神就選擇了荊棘
[00:02:52.640 --> 00:02:55.640]  作為啟示祂自己的媒介
[00:02:55.640 --> 00:02:56.640]  亦好像讓我們發現
[00:02:56.640 --> 00:02:58.640]  神是讓摩西知道
[00:02:58.640 --> 00:03:02.640]  神是誰顧卑微的事、卑微的人
[00:03:02.640 --> 00:03:07.640]  用卑微的人作為祂自己一個私恩的管道
[00:03:07.640 --> 00:03:11.640]  亦用卑微的荊棘作為啟示祂的一個途徑
[00:03:11.640 --> 00:03:13.640]  一個媒介
[00:03:13.640 --> 00:03:15.640]  似乎神都在問摩西
[00:03:15.640 --> 00:03:21.640]  你是否也關注那些被人輕視、被人壓迫的奴婦百姓
[00:03:21.640 --> 00:03:23.040]  當我這樣思想的時候
[00:03:23.040 --> 00:03:24.640]  我就想起聖經一段經文
[00:03:24.640 --> 00:03:27.640]  我請大家看看後面的詩篇
[00:03:27.640 --> 00:03:36.640]  在詩篇113篇
[00:03:36.640 --> 00:03:47.640]  113篇,大家看第五節到第七節
[00:03:47.640 --> 00:03:50.640]  113篇第五節
[00:03:50.640 --> 00:03:51.640]  聖經就說
[00:03:51.640 --> 00:03:54.640]  誰將也說我們的神呢?
[00:03:54.640 --> 00:03:57.640]  祂在在至高之處
[00:03:57.640 --> 00:04:01.640]  自己謙卑觀看天上地下的事
[00:04:01.640 --> 00:04:05.640]  祂從灰塵裡抬舉貧寒人
[00:04:05.640 --> 00:04:09.640]  從粉堆中提拔窮乏人
[00:04:09.640 --> 00:04:11.640]  使他們與王子同坐
[00:04:11.640 --> 00:04:14.640]  就是與本國的王子同坐
[00:04:14.640 --> 00:04:20.640]  他使不能生育的婦人安居家中為多子的樂母
[00:04:20.640 --> 00:04:22.640]  你小心看回聖經所說
[00:04:22.640 --> 00:04:24.640]  初初描寫神的偉大
[00:04:24.640 --> 00:04:25.640]  祂在高天之上
[00:04:25.640 --> 00:04:29.640]  但是祂留心到世上很多微小的卑微的人
[00:04:29.640 --> 00:04:31.640]  要將他們抬舉
[00:04:31.640 --> 00:04:34.640]  要將他們高升
[00:04:34.640 --> 00:04:38.640]  有很多卑微的人在神的面前成為蒙恩的人
[00:04:38.640 --> 00:04:40.640]  可以歡喜快樂的人
[00:04:40.640 --> 00:04:41.640]  當我這樣想的時候
[00:04:41.640 --> 00:04:42.640]  我們就會想起很多
[00:04:42.640 --> 00:04:45.640]  其實整個世界有很多不同的人群
[00:04:45.640 --> 00:04:46.640]  很多不同的需要
[00:04:46.640 --> 00:04:49.640]  最近偶然間看到電視所提
[00:04:49.640 --> 00:04:51.640]  大家都會知道有個節目
[00:04:51.640 --> 00:04:52.640]  很多時候都會提到
[00:04:52.640 --> 00:04:54.640]  就是尋找他鄉的故事
[00:04:54.640 --> 00:04:58.640]  剛剛說到在緬甸的華人的情況
[00:04:58.640 --> 00:05:00.640]  鏡頭訪問一些女孩子
[00:05:00.640 --> 00:05:03.640]  原來在他們中間很多緬甸的華人
[00:05:03.640 --> 00:05:06.640]  很多的女孩子是不願意在緬甸
[00:05:06.640 --> 00:05:07.640]  來跟人
[00:05:07.640 --> 00:05:09.640]  跟緬甸人結婚
[00:05:09.640 --> 00:05:11.640]  因此不是很多的對象選擇
[00:05:11.640 --> 00:05:16.640]  只是期望一些外來的華人來迎娶他們
[00:05:16.640 --> 00:05:19.640]  很多是希望能夠見到一些台灣客人
[00:05:19.640 --> 00:05:20.640]  來到他們當中
[00:05:20.640 --> 00:05:23.640]  他們就說我們當中的華人
[00:05:23.640 --> 00:05:26.640]  起碼有五成以上都會嫁出去
[00:05:26.640 --> 00:05:30.640]  然後跟著鏡頭拍他們怎樣去化妝店
[00:05:30.640 --> 00:05:32.640]  買很多不同的化妝品
[00:05:32.640 --> 00:05:35.640]  盡量希望能夠給自己一個很美麗的容貌
[00:05:35.640 --> 00:05:38.640]  以至能夠得到一些男士的垂青
[00:05:38.640 --> 00:05:40.640]  或者說接納
[00:05:40.640 --> 00:05:43.640]  以至他們能夠可以嫁出去
[00:05:43.640 --> 00:05:45.640]  然後記者就訪問他們
[00:05:45.640 --> 00:05:49.640]  你怎知道外面的人來到會給你們幸福呢
[00:05:49.640 --> 00:05:50.640]  他說我們不知道的
[00:05:50.640 --> 00:05:53.640]  不過也要冒險的
[00:05:53.640 --> 00:05:54.640]  我突然間想
[00:05:54.640 --> 00:05:57.640]  原來婚姻是一件冒險的事情
[00:05:57.640 --> 00:06:01.640]  但對於這一班在緬甸的華籍女士
[00:06:01.640 --> 00:06:05.640]  她們每一天就是在等待一個白馬王子
[00:06:05.640 --> 00:06:08.640]  但是一個要冒險的王子
[00:06:08.640 --> 00:06:09.640]  其實不單止她們
[00:06:09.640 --> 00:06:11.640]  在全世界很多不同的地方
[00:06:11.640 --> 00:06:12.640]  很多的華人
[00:06:12.640 --> 00:06:14.640]  特別很多海外的勞工
[00:06:14.640 --> 00:06:17.640]  面對著很多很多的逼迫
[00:06:17.640 --> 00:06:19.640]  在上個星期四
[00:06:19.640 --> 00:06:21.640]  我們大家一起思想到
[00:06:21.640 --> 00:06:24.640]  以色列的一些海外勞工的情況
[00:06:24.640 --> 00:06:26.640]  張福成牧師跟我們中間說到
[00:06:26.640 --> 00:06:30.640]  說到那些勞工他們住在一些貨櫃箱裏面
[00:06:30.640 --> 00:06:32.640]  天氣冷的時候
