
[00:00:00.000 --> 00:00:02.720]  世界上最大的一個郵輪
[00:00:02.720 --> 00:00:04.080]  很穩固的一個郵輪
[00:00:04.080 --> 00:00:07.520]  就在首航從英國去美國的途中
[00:00:07.520 --> 00:00:09.000]  撞上了冰山
[00:00:09.000 --> 00:00:11.680]  當時死了1500人
[00:00:11.680 --> 00:00:14.360]  當作出很多調查
[00:00:14.360 --> 00:00:17.080]  為什麼會有一個這樣的災難
[00:00:17.080 --> 00:00:21.280]  當然也見到有很多人的罪性
[00:00:21.280 --> 00:00:23.320]  人的驕傲在裡面
[00:00:23.320 --> 00:00:26.640]  本來可以避免的一場災難
[00:00:26.640 --> 00:00:28.840]  竟然會發生
[00:00:28.840 --> 00:00:31.960]  使這個災難更大
[00:00:31.960 --> 00:00:33.560]  就發生了一件這樣的事情
[00:00:33.560 --> 00:00:36.760]  當時在鐵達尼號附近
[00:00:36.760 --> 00:00:40.040]  大約30里就有一艘郵船
[00:00:40.040 --> 00:00:42.240]  叫做加利福尼亞號
[00:00:42.240 --> 00:00:44.520]  船上的電報生
[00:00:44.520 --> 00:00:48.200]  認為深夜裡應該沒什麼人會打電報
[00:00:48.200 --> 00:00:51.000]  所以就把電報機關了
[00:00:51.000 --> 00:00:53.680]  所以他們就收不到
[00:00:53.680 --> 00:00:56.680]  鐵達尼號發出的求救信號
[00:00:56.680 --> 00:01:01.680]  如果這個電報生沒有把電報機關了
[00:01:01.680 --> 00:01:05.480]  相信也會救回比較多的人
[00:01:05.480 --> 00:01:11.880]  因為這個人做一些不太好的、不對的事情
[00:01:11.880 --> 00:01:16.640]  而導致一些有需要幫助的人得不到應當的幫助
[00:01:16.640 --> 00:01:19.640]  今天我們都想直接去看這個
[00:01:19.640 --> 00:01:22.280]  很撒馬利亞人的一個比喻
[00:01:22.280 --> 00:01:23.320]  再一次去看看
[00:01:23.320 --> 00:01:25.760]  究竟耶穌怎樣教導我們
[00:01:25.760 --> 00:01:30.360]  成為一個愛上帝和愛鄰舍的一個人
[00:01:30.360 --> 00:01:32.880]  在一個比喻裡
[00:01:32.880 --> 00:01:35.240]  耶穌說的比喻有幾個人物
[00:01:35.240 --> 00:01:41.560]  有律法師、有祭司、有利美人、有撒馬利亞人
[00:01:41.560 --> 00:01:42.960]  律法師在當時來說
[00:01:42.960 --> 00:01:46.960]  在猶太人當中是一個很有地位的人
[00:01:46.960 --> 00:01:49.720]  他們很熟悉舊約的律法
[00:01:49.720 --> 00:01:52.440]  以至他們是教導猶太人
[00:01:52.440 --> 00:01:55.480]  去明白律法怎樣去進行
[00:01:55.480 --> 00:01:57.920]  當時稱呼他們為拉比
[00:01:57.920 --> 00:01:59.400]  即是老師
[00:01:59.400 --> 00:02:02.960]  用我們現在所說的聖經老師
[00:02:02.960 --> 00:02:05.720]  對教導律法很有權威
[00:02:05.720 --> 00:02:07.600]  第二種人是祭司
[00:02:07.600 --> 00:02:09.840]  在當時有一個獻祭的制度
[00:02:09.840 --> 00:02:13.040]  就是當人犯罪
[00:02:13.040 --> 00:02:14.240]  即是知道自己犯罪了
[00:02:14.240 --> 00:02:15.360]  得罪了上帝
[00:02:15.360 --> 00:02:16.480]  又願意悔改
[00:02:16.480 --> 00:02:19.720]  所以就拿一些祭物去到祭司的面前
[00:02:19.720 --> 00:02:21.400]  獻上一些祭物
[00:02:21.400 --> 00:02:23.520]  也藉著宗教的禮儀
[00:02:23.520 --> 00:02:27.840]  去表示上帝已經閱立了你悔改的心
[00:02:27.840 --> 00:02:29.080]  即是上帝赦免了你
[00:02:29.080 --> 00:02:32.520]  你可以再重新跟上帝有一個相交的
[00:02:32.520 --> 00:02:34.920]  跟從上帝的生活
[00:02:34.920 --> 00:02:38.040]  而利美人協助祭司
[00:02:38.040 --> 00:02:42.200]  在聖殿裏面做一些獻祭的事
[00:02:42.200 --> 00:02:46.400]  或者在聖殿裏面協助做一些工作
[00:02:46.400 --> 00:02:49.360]  撒馬利亞人是一群
[00:02:49.360 --> 00:02:50.760]  用我們現在的說法去說
[00:02:50.760 --> 00:02:53.400]  是一群混血的一群人
[00:02:53.400 --> 00:02:55.040]  有猶太人血統
[00:02:55.040 --> 00:02:57.880]  猶太人很著重純正
[00:02:57.880 --> 00:02:59.960]  所以純正的猶太人
[00:02:59.960 --> 00:03:02.600]  是只會跟猶太人結婚的
[00:03:02.600 --> 00:03:05.640]  不是跟不是猶太人結婚的
[00:03:05.640 --> 00:03:07.880]  那些是純種的猶太人
[00:03:07.880 --> 00:03:11.480]  但是有些猶太人是跟外族人結婚的
[00:03:11.480 --> 00:03:13.840]  所以撒馬利亞人就是一些
[00:03:13.840 --> 00:03:18.400]  猶太人跟外族人結婚之後的後序
[00:03:18.400 --> 00:03:20.000]  他們有猶太人的血統
[00:03:20.000 --> 00:03:23.040]  但也有外邦人的一些血統
[00:03:23.040 --> 00:03:24.360]  在猶太人來說
[00:03:24.360 --> 00:03:26.600]  他們不承認這群撒馬利亞人
