
[00:00:00.000 --> 00:00:02.000]  天父我們一切仰望您
[00:00:02.000 --> 00:00:04.000]  等候在您的面前
[00:00:04.000 --> 00:00:06.000]  看您向我們講話
[00:00:06.000 --> 00:00:08.000]  感謝您興起
[00:00:08.000 --> 00:00:10.000]  侍奉著的弟兄姊妹
[00:00:10.000 --> 00:00:12.000]  在每一間教會裡面
[00:00:12.000 --> 00:00:14.000]  為您工作
[00:00:14.000 --> 00:00:18.000]  獻上所領受的恩賜
[00:00:18.000 --> 00:00:22.000]  將自己的時間、心血、精神
[00:00:22.000 --> 00:00:24.000]  為主所用
[00:00:24.000 --> 00:00:28.000]  我為所有在侍奉上的弟兄姊妹
[00:00:28.000 --> 00:00:30.000]  獻上感謝
[00:00:30.000 --> 00:00:32.000]  靠主時時保守
[00:00:32.000 --> 00:00:34.000]  侍奉的心智
[00:00:34.000 --> 00:00:36.000]  侍奉中得到主
[00:00:36.000 --> 00:00:38.000]  所賜下的喜樂
[00:00:38.000 --> 00:00:40.000]  也靠主挑望
[00:00:40.000 --> 00:00:42.000]  所領受的恩賜
[00:00:42.000 --> 00:00:44.000]  令到我們的侍奉
[00:00:44.000 --> 00:00:46.000]  是活潑的
[00:00:46.000 --> 00:00:49.000]  是符合主的生意的
[00:00:49.000 --> 00:00:52.000]  是時時重新得力的
[00:00:52.000 --> 00:00:55.000]  如應展翅上騰
[00:00:55.000 --> 00:00:58.000]  靠主帶領我們進入
[00:00:58.000 --> 00:01:01.000]  這樣的經歷當中
[00:01:01.000 --> 00:01:04.000]  讓我們的侍奉有果效
[00:01:04.000 --> 00:01:06.000]  也靠主幫助我們
[00:01:06.000 --> 00:01:09.000]  來追求果效
[00:01:09.000 --> 00:01:11.000]  我們不看見果效
[00:01:11.000 --> 00:01:13.000]  我們不滿足
[00:01:13.000 --> 00:01:16.000]  靠主今晚
[00:01:16.000 --> 00:01:21.000]  透過《塔瑪提前後書》來救動我們
[00:01:21.000 --> 00:01:24.000]  靠主令到我們這一班人
[00:01:24.000 --> 00:01:26.000]  在教會裏面成為
[00:01:26.000 --> 00:01:30.000]  你一次福的本道
[00:01:30.000 --> 00:01:33.000]  得到你的使用
[00:01:33.000 --> 00:01:35.000]  我們將今晚的時間完全交託
[00:01:35.000 --> 00:01:38.000]  仰望在主的恩手中
[00:01:38.000 --> 00:01:40.000]  奉主耶穌基督的名祈禱
[00:01:40.000 --> 00:01:41.000]  阿門
