
[00:00:00.000 --> 00:00:03.200]  我們這段時間在思想《出拉及記》的經文
[00:00:03.200 --> 00:00:06.360]  這次來到三十二章
[00:00:06.360 --> 00:00:10.320]  我們想到神賜給人有藥
[00:00:10.320 --> 00:00:12.600]  毀身愛我們
[00:00:12.600 --> 00:00:15.900]  亦呼籲我們聽從祂的話
[00:00:15.900 --> 00:00:18.160]  進入藥的關係裏面
[00:00:18.160 --> 00:00:20.200]  而今天在三十二章我們見到
[00:00:20.200 --> 00:00:22.480]  以色列人領受了藥之後
[00:00:22.480 --> 00:00:26.040]  他們竟然很快就罪就違背上帝
[00:00:26.040 --> 00:00:29.000]  而上帝是如何在這個過程裏面來管教他們
[00:00:29.000 --> 00:00:31.720]  亦帶來了深刻的提醒
[00:00:31.720 --> 00:00:35.400]  亦都讓他們將來重新進入神的藥當中
[00:00:35.400 --> 00:00:42.520]  大家一起再打開聖經的三十二章《出拉及記》
[00:00:42.520 --> 00:00:44.960]  當我們讀到冤狀經文的時候知道
[00:00:44.960 --> 00:00:48.000]  他們已經領受了神給他們的藥
[00:00:48.000 --> 00:00:50.400]  特別聖經亦都提及
[00:00:50.400 --> 00:00:55.440]  當時當摩西將神的藥來向他們講述的時候
[00:00:55.440 --> 00:00:57.800]  他們都異口同聲地說
[00:00:57.800 --> 00:01:02.040]  神所吩咐我們的都必遵從
[00:01:02.040 --> 00:01:05.360]  在之前的《出拉及記》二十四章
[00:01:05.360 --> 00:01:10.120]  曾經提到摩西就將梵濟獻給神
[00:01:10.120 --> 00:01:14.240]  然後將梵濟的血灑在百姓的身上
[00:01:14.240 --> 00:01:18.480]  很清楚地跟百姓說這是納藥的血
[00:01:18.480 --> 00:01:21.960]  是神給他們納藥的證據
[00:01:21.960 --> 00:01:23.760]  而百姓都清楚地表明
[00:01:23.760 --> 00:01:26.280]  我們願意遵守神給我們的吩咐
[00:01:26.280 --> 00:01:28.280]  作祂的指紋
[00:01:28.280 --> 00:01:31.400]  後來神就再吩咐摩西上山
[00:01:31.400 --> 00:01:37.840]  祂就將黑了律法的石板賜給摩西
