
[00:00:00.000 --> 00:00:03.900]  在《爾花所書》第二章上次我們所聽的講道裡
[00:00:03.900 --> 00:00:06.300]  他講到上帝藉著耶穌
[00:00:06.300 --> 00:00:09.300]  將猶太人、外邦人
[00:00:09.300 --> 00:00:12.700]  藉著耶穌的救恩歸為一體
[00:00:12.700 --> 00:00:15.900]  而無論外邦人、無論猶太人
[00:00:15.900 --> 00:00:19.700]  都藉著聖靈有同一的生命
[00:00:19.700 --> 00:00:24.500]  在同一個教會裡敬拜同一位的主
[00:00:24.500 --> 00:00:29.200]  講完這麼重要的信仰基礎之後
[00:00:29.200 --> 00:00:30.300]  就在第三章
[00:00:30.300 --> 00:00:32.600]  保羅說因此
[00:00:32.600 --> 00:00:35.000]  他承接了這個信息
[00:00:35.000 --> 00:00:36.600]  然後就說
[00:00:36.600 --> 00:00:40.900]  我們既然領受了這個身份的時候
[00:00:40.900 --> 00:00:42.900]  所以我們就要做什麼呢?
[00:00:42.900 --> 00:00:44.100]  保羅說
[00:00:44.100 --> 00:00:46.400]  因此我保羅為你們外邦人
[00:00:46.400 --> 00:00:50.500]  作了基督耶穌被囚的替你們禱告
[00:00:50.500 --> 00:00:55.000]  保羅在這裡祈求的就是
[00:00:55.000 --> 00:00:58.800]  我們既然已經有這個寶貴的救恩
[00:00:58.800 --> 00:01:00.400]  在我們的生命當中
[00:01:00.400 --> 00:01:02.700]  我們就不要停留在這裡
[00:01:02.700 --> 00:01:03.800]  不要停留在這裡
[00:01:03.800 --> 00:01:05.200]  那麼前面是怎樣呢?
[00:01:05.200 --> 00:01:07.400]  保羅就在這裡繼續說
[00:01:07.400 --> 00:01:11.100]  我們怎樣將我們所擁有的東西
[00:01:11.100 --> 00:01:15.500]  能夠更加好的發揮出來
[00:01:15.500 --> 00:01:17.600]  接著保羅說出
[00:01:17.600 --> 00:01:22.700]  他為信徒為主被囚的身份
[00:01:22.700 --> 00:01:25.400]  為教會的信徒去禱告
[00:01:25.400 --> 00:01:30.400]  在這裡可以說保羅帶出了他自己的身份
[00:01:30.400 --> 00:01:32.100]  從這個身份裡面
[00:01:32.100 --> 00:01:35.500]  再帶出他為這個福音的緣故
[00:01:35.500 --> 00:01:37.900]  所要付上的代價
[00:01:37.900 --> 00:01:39.300]  在這裡
