
[00:00:00.000 --> 00:00:03.000]  我非常地感謝神
[00:00:03.000 --> 00:00:07.000]  賜給我能夠到營會來
[00:00:07.000 --> 00:00:11.000]  和各位族內的弟兄姊妹
[00:00:11.000 --> 00:00:15.000]  一起領受神的信息
[00:00:15.000 --> 00:00:17.000]  講的人要講
[00:00:17.000 --> 00:00:18.000]  但是呢
[00:00:18.000 --> 00:00:21.000]  我一路學習
[00:00:21.000 --> 00:00:25.000]  講的人自己也要聽
[00:00:25.000 --> 00:00:28.000]  講、聽和依
[00:00:28.000 --> 00:00:30.000]  我們師父公主
[00:00:30.000 --> 00:00:36.000]  一直要走在這條不斷地學習的路上
[00:00:36.000 --> 00:00:41.000]  我也多謝王母師的愛心的介紹
[00:00:41.000 --> 00:00:43.000]  剛才唱詩的時候
[00:00:43.000 --> 00:00:47.000]  最後那首詩說輕輕地聽
[00:00:47.000 --> 00:00:53.000]  那麼我是第一次聽見這首詩
[00:00:53.000 --> 00:00:56.000]  所以我也第一次注意到輕輕地聽
[00:00:56.000 --> 00:01:00.000]  我心裡想輕輕地聽是什麼意思呢
[00:01:00.000 --> 00:01:01.000]  如果講的人大聲
[00:01:01.000 --> 00:01:04.000]  我怎麼能輕輕地聽呢
[00:01:04.000 --> 00:01:06.000]  輕輕地聽我想來想去
[00:01:06.000 --> 00:01:10.000]  大概它的意思是很留心地聽
[00:01:10.000 --> 00:01:12.000]  很仔細地聽
[00:01:12.000 --> 00:01:16.000]  那個很微小的聲音都會聽見
[00:01:16.000 --> 00:01:18.000]  要輕輕聽
[00:01:18.000 --> 00:01:21.000]  所以輕輕聽也大概是靜靜聽
[00:01:21.000 --> 00:01:24.000]  心裡完全靜下來
[00:01:24.000 --> 00:01:25.000]  所以今天呢
[00:01:25.000 --> 00:01:30.000]  也求主幫助我完全靜下來
[00:01:30.000 --> 00:01:34.000]  肅靜在神的話語面前
[00:01:34.000 --> 00:01:40.000]  每一位弟兄姊妹也肅靜在神的面前
[00:01:40.000 --> 00:01:45.000]  祂的話語是我們所寶貴的
[00:01:45.000 --> 00:01:52.000]  也是我們用一個很嚴肅的心態來領受的
[00:01:52.000 --> 00:01:58.000]  有的人說將來受刑罰最重的就是講道的人
[00:01:58.000 --> 00:02:03.000]  這個話是很真實
[00:02:03.000 --> 00:02:06.000]  能講不能行
[00:02:06.000 --> 00:02:10.000]  就是一個最大的一個失敗
[00:02:10.000 --> 00:02:12.000]  所以每一個侍奉徒的人
[00:02:12.000 --> 00:02:16.000]  一直在心裡要很謹慎
[00:02:16.000 --> 00:02:23.000]  一個很嚴肅的心態來領受來分享
[00:02:23.000 --> 00:02:26.000]  我們都是主的學生
[00:02:26.000 --> 00:02:28.000]  都是主的門徒
[00:02:28.000 --> 00:02:33.000]  我們要學習笑法基督
[00:02:33.000 --> 00:02:36.000]  剛才主席已經帶領我們禱告
[00:02:36.000 --> 00:02:46.000]  我們就用禱告的心態來講來聽笑法基督
[00:02:46.000 --> 00:02:49.000]  這是每一個跟從主的人
[00:02:49.000 --> 00:02:56.000]  侍奉主的人一定要學的功課
[00:02:56.000 --> 00:03:02.000]  笑法基督就是做基督的門徒
