
[00:00:00.000 --> 00:00:04.760]  今天我先簡單講出埃及記的背景
[00:00:04.760 --> 00:00:07.160]  然後講今天什麼是如月節
[00:00:07.160 --> 00:00:11.560]  簡單講完後帶給大家幾個好形容
[00:00:11.560 --> 00:00:13.560]  都和我們生命有關係
[00:00:13.560 --> 00:00:17.720]  我們先看出埃及記的背景
[00:00:17.720 --> 00:00:23.960]  一到三章就提到有一個新的法老王起來
[00:00:23.960 --> 00:00:25.400]  不認識約瑟
[00:00:25.400 --> 00:00:29.200]  所以見到以色列人很龐大的人口
[00:00:29.200 --> 00:00:31.640]  威脅到埃及人
[00:00:31.640 --> 00:00:36.040]  所以新的法老王決定讓他們做奴隸
[00:00:36.040 --> 00:00:39.240]  在整個過程當中埃及人受苦
[00:00:39.240 --> 00:00:42.440]  但欺壓以色列人
[00:00:42.440 --> 00:00:44.760]  以色列人越發強大
[00:00:44.760 --> 00:00:50.360]  所以法老王定下要殺掉所有初生的英雄
[00:00:50.360 --> 00:00:53.240]  其中一個就是摩西
[00:00:53.240 --> 00:00:57.440]  摩西生了第三個月後不能再隱藏
[00:00:57.440 --> 00:01:00.400]  漂流在河上
[00:01:00.400 --> 00:01:02.400]  遇上法老的女兒
[00:01:02.400 --> 00:01:07.240]  法老的女兒很可憐希伯來的初生英孩
[00:01:07.240 --> 00:01:08.400]  所以收養她
[00:01:08.400 --> 00:01:10.680]  讓她在宮中成長
[00:01:10.680 --> 00:01:12.360]  學習埃及的文化
[00:01:12.360 --> 00:01:14.640]  直到第四十歲的時候
[00:01:14.640 --> 00:01:16.480]  根據《四端傳》第七章
[00:01:16.480 --> 00:01:18.640]  有一天摩西成長
[00:01:18.640 --> 00:01:22.640]  她見到自己的同胞被埃及人欺負
[00:01:22.640 --> 00:01:24.240]  所以她打死了埃及人
[00:01:24.240 --> 00:01:26.600]  這件事曝光
[00:01:26.600 --> 00:01:31.440]  所以法老追殺摩西
[00:01:31.440 --> 00:01:33.160]  摩西逃到米甸
[00:01:33.160 --> 00:01:34.280]  又住了四十年
[00:01:34.280 --> 00:01:35.840]  直到八十歲為止
[00:01:35.840 --> 00:01:38.880]  這亦是《四端傳》第七章所說的
[00:01:38.880 --> 00:01:42.600]  當中有一天
[00:01:42.600 --> 00:01:48.760]  摩西在西乃山或河列山
[00:01:48.760 --> 00:01:52.280]  見到燒不盡的荊棘火
[00:01:52.440 --> 00:01:56.920]  因為耶和華神聽到以色列人的呼求
[00:01:56.920 --> 00:01:59.800]  以色列人很受苦
[00:01:59.800 --> 00:02:01.160]  耶和華聽到
[00:02:01.160 --> 00:02:03.160]  所以向摩西顯現
[00:02:03.160 --> 00:02:06.960]  派出摩西回到埃及
[00:02:06.960 --> 00:02:10.080]  要將他的子民帶出來埃及
[00:02:10.080 --> 00:02:15.160]  摩西和阿倫回到埃及
[00:02:15.160 --> 00:02:16.440]  以色列人很開心
[00:02:16.440 --> 00:02:19.600]  因為有神聽到他們的呼聲
[00:02:19.600 --> 00:02:23.880]  在第七到第九章有九災
[00:02:23.880 --> 00:02:25.280]  在神的主權下
[00:02:25.280 --> 00:02:27.280]  雖然九災出現了
[00:02:27.280 --> 00:02:29.280]  但法老王的心顏
[00:02:29.280 --> 00:02:33.280]  因為在耶和華時看到法老王的心顏
[00:02:33.280 --> 00:02:34.160]  為的是甚麼呢?
[00:02:34.160 --> 00:02:35.280]  成就第十災
[00:02:35.280 --> 00:02:36.800]  就是今天的經文
[00:02:36.800 --> 00:02:38.080]  滅長子之災
[00:02:38.080 --> 00:02:39.280]  又叫做如月節
[00:02:39.280 --> 00:02:41.880]  這是猶太人到今天為止
[00:02:41.880 --> 00:02:45.120]  一個很重要的慶典
[00:02:45.120 --> 00:02:47.120]  很重要的節日
[00:02:47.120 --> 00:02:50.120]  這個如月節是在說甚麼呢?
[00:02:50.120 --> 00:02:53.120]  這個如月節在一至十一節
[00:02:53.120 --> 00:02:54.120]  今天經文提到
[00:02:54.120 --> 00:02:58.120]  耶和華神命令摩西和阿倫
[00:02:58.120 --> 00:03:01.120]  去吩咐所有以色列人
[00:03:01.120 --> 00:03:03.120]  在那一天要做的一些事情
[00:03:03.120 --> 00:03:05.120]  包括要取一隻羊
[00:03:05.120 --> 00:03:08.120]  這隻羊無論是綿羊還是山羊
[00:03:08.120 --> 00:03:10.120]  要是頭身的
[00:03:10.120 --> 00:03:11.120]  一歲的
[00:03:11.120 --> 00:03:12.120]  雄性的
[00:03:12.120 --> 00:03:16.120]  然後將這隻羊在日落的時候
[00:03:16.120 --> 00:03:17.120]  殺了牠
[00:03:17.120 --> 00:03:18.120]  殺完之後
[00:03:18.120 --> 00:03:20.120]  要將羊的血
[00:03:20.120 --> 00:03:25.120]  畫在以色列人住的房子門框上
[00:03:25.120 --> 00:03:29.120]  然後將這隻羊烤了來吃
[00:03:29.120 --> 00:03:32.120]  如果一家人人口不夠多的時候
[00:03:32.120 --> 00:03:34.120]  吃不完就跟鄰居一起分享
[00:03:34.120 --> 00:03:36.120]  總之要盡量吃
[00:03:36.120 --> 00:03:39.120]  然後不單止要吃
[00:03:39.120 --> 00:03:41.120]  並且在吃的時候
[00:03:41.120 --> 00:03:43.120]  要有幾樣東西一起吃
[00:03:43.120 --> 00:03:45.120]  無教餅
[00:03:45.120 --> 00:03:50.120]  講到從罪惡分別出來的意思
[00:03:50.120 --> 00:03:51.120]  也要吃苦菜
[00:03:51.120 --> 00:03:55.120]  代表著以色列人在埃及地很受艱難
[00:03:55.120 --> 00:03:59.120]  他們所烤的羊
[00:03:59.120 --> 00:04:01.120]  不可以留到早上
[00:04:01.120 --> 00:04:03.120]  吃不完要燒燴
[00:04:03.120 --> 00:04:04.120]  燒盡
[00:04:04.120 --> 00:04:05.120]  吃的方法
[00:04:05.120 --> 00:04:07.120]  他們要準備好出發
[00:04:07.120 --> 00:04:08.120]  怎樣呢?
[00:04:08.120 --> 00:04:10.120]  他們要束帶
[00:04:10.120 --> 00:04:11.120]  穿好草鞋
[00:04:11.120 --> 00:04:13.120]  手拿著杖
[00:04:13.120 --> 00:04:14.120]  未離開埃及
[00:04:14.120 --> 00:04:16.120]  他們已經憑著信心
[00:04:16.120 --> 00:04:19.120]  要走上一條出埃及之路的路線
[00:04:19.120 --> 00:04:22.120]  為什麼要做這麼多的事情呢?
[00:04:22.120 --> 00:04:25.120]  又要宰羊
[00:04:25.120 --> 00:04:29.120]  又要做這麼多的事情呢?
[00:04:29.120 --> 00:04:30.120]  原因是說了
[00:04:30.120 --> 00:04:32.120]  第十二節說了「因為」
[00:04:32.120 --> 00:04:33.120]  給了一個原因
[00:04:33.120 --> 00:04:35.120]  為什麼以色列人要做這麼多的事情
[00:04:35.120 --> 00:04:37.120]  就因為什麼呢?
[00:04:37.120 --> 00:04:41.120]  耶和華神告訴摩西、亞倫和以色列人
[00:04:41.120 --> 00:04:45.120]  我在那一晚會做一個大神蹟
[00:04:45.120 --> 00:04:46.120]  第十災
[00:04:46.120 --> 00:04:49.120]  展現祂三樣的屬性
[00:04:49.120 --> 00:04:50.120]  第一
[00:04:50.120 --> 00:04:53.120]  耶和華神是一個懲罰的神
[00:04:53.120 --> 00:04:55.120]  埃及人
[00:04:55.120 --> 00:04:56.120]  法老王
[00:04:56.120 --> 00:04:57.120]  所有埃及人
[00:04:57.120 --> 00:05:00.120]  他們的罪在神的眼前
[00:05:00.120 --> 00:05:03.120]  會因著神的公義和聖潔
[00:05:03.120 --> 00:05:04.120]  而懲罰
[00:05:04.120 --> 00:05:08.120]  沒有一個人會逃離這個罪的
[00:05:08.120 --> 00:05:11.120]  無論是由法老
[00:05:11.120 --> 00:05:12.120]  最高級
[00:05:12.120 --> 00:05:15.120]  到做奴隸
[00:05:15.120 --> 00:05:17.120]  或者是人類或是新畜
