
[00:00:00.000 --> 00:00:02.000]  在我們看這段經文之前
[00:00:02.000 --> 00:00:04.000]  或者我們也可以回想一下
[00:00:04.000 --> 00:00:06.840]  當主耶穌復活了之後
[00:00:06.840 --> 00:00:08.840]  祂去到門徒當中
[00:00:08.840 --> 00:00:12.240]  當時門徒大家記得在一個封閉了的房間裡面
[00:00:12.240 --> 00:00:13.680]  他們很擔心
[00:00:13.680 --> 00:00:16.720]  耶穌第一句話是什麼呢?
[00:00:16.720 --> 00:00:19.640]  「願你們平安」
[00:00:19.640 --> 00:00:21.320]  不要擔心
[00:00:21.320 --> 00:00:22.680]  不要掛慮
[00:00:22.680 --> 00:00:25.880]  因為我們所信的耶穌是復活了的耶穌
[00:00:25.880 --> 00:00:27.600]  是得勝一切
[00:00:27.600 --> 00:00:29.880]  掌管天地的上帝
[00:00:30.560 --> 00:00:32.560]  然後祂說了什麼呢?
[00:00:32.560 --> 00:00:35.560]  「父怎樣差遣了我
[00:00:35.560 --> 00:00:38.360]  我也照樣差遣你們」
[00:00:38.360 --> 00:00:40.120]  耶穌復活之後
[00:00:40.120 --> 00:00:42.920]  第一句話祂最想跟我們說的
[00:00:42.920 --> 00:00:44.520]  祂告訴我們
[00:00:44.520 --> 00:00:47.120]  父曾經差遣我們來到世上
[00:00:47.120 --> 00:00:49.120]  承傳了救贖
[00:00:49.120 --> 00:00:56.000]  而祂繼續照樣地差派我們去做祂的工作
[00:00:56.000 --> 00:00:58.480]  很簡單來說
[00:00:58.480 --> 00:01:00.480]  主差派我們做什麼呢?
[00:01:00.480 --> 00:01:04.160]  是去延續耶穌在世上的工作
[00:01:04.160 --> 00:01:07.920]  或者你問耶穌在世上的工作是做什麼的呢?
[00:01:07.920 --> 00:01:12.080]  科林書很清楚地重複地說三件事情
[00:01:12.080 --> 00:01:13.800]  聖經說
[00:01:13.800 --> 00:01:18.120]  耶穌是走遍各城各鄉去教訓人
[00:01:18.120 --> 00:01:19.920]  教訓人的真理
[00:01:19.920 --> 00:01:22.520]  有關公義慈愛的真理
[00:01:22.520 --> 00:01:25.520]  而祂自己本身就是真理的榜樣
[00:01:25.520 --> 00:01:27.120]  第二
[00:01:27.120 --> 00:01:29.720]  祂宣講天國的福音
[00:01:29.720 --> 00:01:34.520]  將最寶貴最重要生命得救的福音傳講出來
[00:01:34.520 --> 00:01:35.920]  第三
[00:01:35.920 --> 00:01:38.400]  是醫治各樣的病症
[00:01:38.400 --> 00:01:41.960]  很明顯主耶穌不單止關心人的靈魂
[00:01:41.960 --> 00:01:44.160]  是關心人的身體
[00:01:44.160 --> 00:01:47.480]  去回應人身體生活的需要
[00:01:47.480 --> 00:01:51.760]  Anti,如果你說我要延續耶穌基督在地上的工作
[00:01:51.760 --> 00:01:54.200]  一方面我們感覺很不配
[00:01:54.200 --> 00:01:56.200]  另一方面感覺很光榮
[00:01:57.200 --> 00:02:03.200]  而當中我們就留心在這三方面繼續去作主的工作
[00:02:03.200 --> 00:02:05.600]  因此你和我也知道
[00:02:05.600 --> 00:02:07.800]  沒錯,在教會裏面當我們信主之後
[00:02:07.800 --> 00:02:09.400]  神給我們有平安
[00:02:09.400 --> 00:02:12.600]  我們領受生命很多的安慰和祝福
[00:02:12.600 --> 00:02:15.600]  但同時你知道在教會裏面
[00:02:15.600 --> 00:02:20.400]  神對教會的心意是一個被差遣的群體
[00:02:20.400 --> 00:02:22.800]  有個英文的名詞說
[00:02:22.800 --> 00:02:25.200]  Sent Community
[00:02:25.600 --> 00:02:28.800]  是被神所差派來到世上
[00:02:28.800 --> 00:02:30.800]  作祂見證的群體
[00:02:30.800 --> 00:02:33.800]  因此你和我作為教徒
[00:02:33.800 --> 00:02:38.200]  很明白我們有使命在身
[00:02:38.200 --> 00:02:41.200]  神是很重視我們
[00:02:41.200 --> 00:02:44.200]  其實祂可以用很多祂自己的方法
[00:02:44.200 --> 00:02:47.600]  用千千萬萬的天使來成就祂的工作
[00:02:47.600 --> 00:02:50.800]  但神的心意就是讓祂自己的子民
[00:02:50.800 --> 00:02:53.400]  來承擔榮耀的職份
[00:02:53.800 --> 00:02:57.200]  在地上延續祂自己的工作
[00:02:57.200 --> 00:02:59.800]  因此各位北村家庭弟兄姊妹
[00:02:59.800 --> 00:03:02.200]  當我們說到五年計劃的時候
[00:03:02.200 --> 00:03:04.200]  不單單說一些口號
[00:03:04.200 --> 00:03:05.800]  說一些計劃
[00:03:05.800 --> 00:03:08.000]  而是我們只是很想
[00:03:08.000 --> 00:03:11.000]  能夠承傳神對我們的吩咐
[00:03:11.000 --> 00:03:15.600]  因此請你提及我們在世上作見證的
[00:03:15.600 --> 00:03:17.600]  而其中一點提及
[00:03:17.600 --> 00:03:22.400]  我們是被差到世界上作炎作光
[00:03:23.000 --> 00:03:25.200]  而今天我們透過《馬太福音》思想
[00:03:25.200 --> 00:03:28.800]  如何能夠真正作炎作光
