
[00:00:00.000 --> 00:00:04.320]  我們今天再思想聖經哈佛書第二章的經文
[00:00:04.320 --> 00:00:06.800]  大家一起打開聖經再思想
[00:00:06.800 --> 00:00:13.320]  我們思想到監察、審判是強暴的事情
[00:00:13.320 --> 00:00:19.680]  我想在聖經裏面大家會常常讀到一句話
[00:00:19.680 --> 00:00:24.240]  是關乎我們主耶穌,我們的上帝,祂的屬性
[00:00:24.240 --> 00:00:32.240]  聖經說:神是不輕易發怒,且有豐盛的慈愛
[00:00:32.240 --> 00:00:42.240]  上帝是不輕易發怒,意味著祂不會隨時或隨便作出審判
[00:00:42.240 --> 00:00:49.240]  神是願意寬容、願意赦免,因此祂不輕易發怒
[00:00:49.240 --> 00:00:55.240]  因此你發覺聖經裏面講述到當神來到去面對罪人的時候
[00:00:55.240 --> 00:00:59.240]  上上都說出,祂不願意罪人死亡
[00:00:59.240 --> 00:01:04.240]  因此自給罪人有很多悔改、回轉的機會
[00:01:04.240 --> 00:01:11.240]  但聖經同時說,當人三番四次不願意來悔改
[00:01:11.240 --> 00:01:16.240]  將帝就說,祂的審判是必然臨到
[00:01:16.240 --> 00:01:21.240]  雖然祂不輕易發怒,但祂仍然是那位公義的上帝
[00:01:21.240 --> 00:01:29.240]  人輕視上帝的寬容,神就說:我的審判是必然臨到
[00:01:29.240 --> 00:01:31.240]  因此當我們讀到哈伯谷書的時候
[00:01:31.240 --> 00:01:33.240]  你會留意到聖經很清楚地說
[00:01:33.240 --> 00:01:38.240]  當時有很多犯罪的人,神有很多機會讓他們悔改
[00:01:38.240 --> 00:01:42.240]  但他們不願意回轉的時候,神就清楚地說明
[00:01:42.240 --> 00:01:45.240]  審判是必然臨到
[00:01:45.240 --> 00:01:48.240]  在哈伯谷第二章裡,我們看到
[00:01:48.240 --> 00:01:51.240]  他向神提出了一個問題
[00:01:51.240 --> 00:01:59.240]  就是神為什麼會用加勒底人來消滅給他公義的人
[00:01:59.240 --> 00:02:02.240]  當然猶太人本身也有他的罪
[00:02:02.240 --> 00:02:05.240]  但似乎相對於加勒底人
[00:02:05.240 --> 00:02:09.240]  他們的問題沒有加勒底人更加嚴重
[00:02:09.240 --> 00:02:12.240]  所以好像是神容許邪惡的人
[00:02:12.240 --> 00:02:18.240]  去刑罰那些比較自己稍微沒有那麼邪惡的人
[00:02:18.240 --> 00:02:20.240]  為什麼會這樣做呢?
[00:02:20.240 --> 00:02:24.240]  哈伯谷很不明白,不斷向神問出這個問題
[00:02:24.240 --> 00:02:26.240]  但到了這章聖經的時候
[00:02:26.240 --> 00:02:29.240]  你會發覺神沒有直接回答哈伯谷
[00:02:29.240 --> 00:02:33.240]  但他指出一件事情要哈伯谷知道
[00:02:33.240 --> 00:02:38.240]  就是神知道加勒底人一切的罪
[00:02:38.240 --> 00:02:41.240]  所以接著你會看到上帝就說出
[00:02:41.240 --> 00:02:44.240]  他們有五個災禍
[00:02:44.240 --> 00:02:48.240]  他們面對上帝對他們的那種指斥
[00:02:48.240 --> 00:02:50.240]  指出他們的罪惡
[00:02:50.240 --> 00:02:55.240]  然後因此帶給他們有五個災禍
[00:02:55.240 --> 00:03:00.240]  跟哈伯谷說出,就是神不會忘記這些事情
[00:03:00.240 --> 00:03:06.240]  他比哈伯谷更加清楚加勒底人有的各種罪
[00:03:06.240 --> 00:03:08.240]  而且他是記錄下來
[00:03:08.240 --> 00:03:11.240]  要哈伯谷很清楚記錄下來
[00:03:11.240 --> 00:03:14.240]  他是不會不理會的
[00:03:14.240 --> 00:03:17.240]  他是會監察的
[00:03:17.240 --> 00:03:20.240]  各位電視朋友,當我們想到在我們生活上
[00:03:20.240 --> 00:03:24.240]  有些事情我們都已經過去了,忘記了
[00:03:24.240 --> 00:03:27.240]  但你知道人生所做的一切事情
[00:03:27.240 --> 00:03:32.240]  這位上帝是知道的,他也是監察的
[00:03:32.240 --> 00:03:36.240]  他不會以不義為義
[00:03:36.240 --> 00:03:42.240]  他是不會忘記,他是會處理,監察
[00:03:42.240 --> 00:03:45.240]  當然我們這樣說不是說這位上帝很殘忍
[00:03:45.240 --> 00:03:48.240]  要追究我們什麼事情
[00:03:48.240 --> 00:03:51.240]  只是這位上帝是公義的上帝
[00:03:51.240 --> 00:03:53.240]  他知道我們的情況
[00:03:53.240 --> 00:03:58.240]  他會期望我們能夠真正回轉悔改
[00:03:58.240 --> 00:04:02.240]  免得那些事情變成我們的審判
[00:04:02.240 --> 00:04:07.240]  所以你見到聖經在這段經文第二章第五節
[00:04:07.240 --> 00:04:12.240]  就開始繼續陳述加勒底人各種罪惡
[00:04:12.240 --> 00:04:14.240]  但當他講出這些罪惡之前
[00:04:14.240 --> 00:04:19.240]  在二章第四節,上次主日大家都有讀經文這樣說
[00:04:19.240 --> 00:04:23.240]  加勒底人自高自大,心不正直
[00:04:23.240 --> 00:04:27.240]  然而,二人必因順得生
[00:04:27.240 --> 00:04:30.240]  將兩種情況排列出來
[00:04:30.240 --> 00:04:33.240]  那些驕傲,不願意悔改的
[00:04:33.240 --> 00:04:35.240]  他們要面對審判
[00:04:35.240 --> 00:04:39.240]  但二人必因順得生
[00:04:39.240 --> 00:04:42.240]  聖經提到二人的時候
[00:04:42.240 --> 00:04:46.240]  大家可能都會想起很多聖經描述二人所作的行為
[00:04:46.240 --> 00:04:50.240]  但請特別強調一點,就是因順得生
[00:04:50.240 --> 00:04:53.240]  當我們講到順心的時候
[00:04:53.240 --> 00:04:56.240]  你留意聖經裏面很多處的時候
