
[00:00:00.000 --> 00:00:05.120]  現在我們看到一個亞哥書裡比較獨特的一段
[00:00:05.120 --> 00:00:07.600]  第四幕
[00:00:07.600 --> 00:00:10.900]  第四幕開始的時候
[00:00:10.900 --> 00:00:14.520]  我們發現整個氣氛改變了
[00:00:14.520 --> 00:00:17.100]  情的創傷
[00:00:17.100 --> 00:00:21.520]  我雖然睡餓
[00:00:21.520 --> 00:00:23.120]  我心卻醒
[00:00:23.120 --> 00:00:25.800]  接著他聽到這是我良人的聲音
[00:00:25.800 --> 00:00:26.680]  他敲門說
[00:00:26.680 --> 00:00:29.320]  我的妹子、我的佳偶、我的甲子
[00:00:29.320 --> 00:00:31.000]  我完全是求你開門
[00:00:31.000 --> 00:00:33.120]  因為我頭滿了露水
[00:00:33.120 --> 00:00:34.880]  頭髮吸夜露滴濕
[00:00:34.880 --> 00:00:37.680]  我回答我脫了外衣
[00:00:37.680 --> 00:00:39.200]  我怎能再穿上呢?
[00:00:39.200 --> 00:00:42.520]  我洗了腳怎能夠再隆裝呢?
[00:00:42.520 --> 00:00:46.120]  我的良人從門孔裡伸手進來
[00:00:46.120 --> 00:00:49.400]  我的心因他大為激動
[00:00:49.400 --> 00:00:51.200]  我起來
[00:00:51.200 --> 00:00:53.480]  我給我的良人開門
[00:00:53.480 --> 00:00:55.680]  我的兩手滴下抹藥
[00:00:55.680 --> 00:00:58.680]  指頭滴下抹藥滴在門山上
[00:00:58.680 --> 00:01:02.280]  我親手給我的良人開門
[00:01:02.280 --> 00:01:06.000]  我的良人卻已轉身走掉
[00:01:06.000 --> 00:01:07.960]  我發現他走了
[00:01:07.960 --> 00:01:09.760]  差點昏倒
[00:01:09.760 --> 00:01:13.080]  我到處找他卻找不見
[00:01:13.080 --> 00:01:14.640]  我呼叫他
[00:01:14.640 --> 00:01:17.200]  他腳不回答
[00:01:17.200 --> 00:01:22.760]  這六節的聖經是特別奇怪的
[00:01:22.760 --> 00:01:25.680]  有位靈修學者說
[00:01:25.680 --> 00:01:27.120]  只看這六節
[00:01:27.120 --> 00:01:29.440]  都知道一定是神自己的啟示
[00:01:29.440 --> 00:01:31.320]  因為普通的靈修
[00:01:31.320 --> 00:01:33.080]  或普通的愛情詩
[00:01:33.080 --> 00:01:35.560]  應該停在婚禮
[00:01:35.560 --> 00:01:37.560]  和二人成為一體
[00:01:37.560 --> 00:01:39.320]  這個性的親密的聯繫
[00:01:39.320 --> 00:01:41.960]  然後他說朋友們你們要開懷
[00:01:41.960 --> 00:01:44.520]  親愛的你們不要
[00:01:44.520 --> 00:01:46.240]  你們要不追無歸
[00:01:46.240 --> 00:01:48.720]  就很兇了
[00:01:48.720 --> 00:01:56.600]  下節完全是反高潮
[00:01:56.600 --> 00:01:58.080]  沒有味道
[00:01:58.080 --> 00:01:59.400]  有衝突
[00:01:59.400 --> 00:02:03.400]  因為他發覺這是很特別的
[00:02:03.400 --> 00:02:04.520]  與別不同
[00:02:04.520 --> 00:02:08.520]  這肯定不是尋常的愛情詩
[00:02:08.520 --> 00:02:10.520]  是一種很深的屬靈的意思
[00:02:10.520 --> 00:02:12.520]  有什麼特別的地方呢
[00:02:12.520 --> 00:02:17.400]  我再和大家分享
[00:02:17.400 --> 00:02:21.400]  首先有兩個不可思議的說話
[00:02:21.400 --> 00:02:23.400]  第一句是女子所說的
[00:02:23.400 --> 00:02:26.120]  良人這樣愛他
[00:02:26.120 --> 00:02:28.120]  我們先看良人
[00:02:28.120 --> 00:02:29.720]  為什麼他可以說
[00:02:29.720 --> 00:02:31.720]  這樣我也不肯開門呢
[00:02:31.720 --> 00:02:33.720]  首先我們說這個主的愛
[00:02:33.720 --> 00:02:36.720]  其實是很奇妙的愛
[00:02:36.720 --> 00:02:41.720]  首先他說他的愛是一個尋找人的愛
[00:02:41.720 --> 00:02:42.720]  這個尋找人的愛
[00:02:42.720 --> 00:02:44.720]  當然神學上大家都會明白
[00:02:44.720 --> 00:02:46.720]  但你想想這位偉大的主
[00:02:46.720 --> 00:02:48.720]  他不需要女子
[00:02:48.720 --> 00:02:50.720]  需要我們
[00:02:50.720 --> 00:02:53.720]  他用了四個repeat的形容詞
[00:02:53.720 --> 00:02:55.720]  四個溫馨的呼求
[00:02:55.720 --> 00:02:58.720]  我的妹子 我的佳偶 我的甲子
[00:02:58.720 --> 00:03:02.720]  完全是一種激情的需要
[00:03:02.720 --> 00:03:04.720]  如果他只是說開門
[00:03:04.720 --> 00:03:05.720]  都可以的
[00:03:05.720 --> 00:03:08.720]  因為他自己在劇中是皇帝
[00:03:08.720 --> 00:03:10.720]  開門就開門
[00:03:10.720 --> 00:03:12.720]  你有什麼資格不開門
[00:03:12.720 --> 00:03:14.720]  甚至我們的神都對你說
[00:03:14.720 --> 00:03:16.720]  我要來
[00:03:16.720 --> 00:03:18.720]  他可以很簡單很直接的命令我們
[00:03:18.720 --> 00:03:20.720]  但他沒有
[00:03:20.720 --> 00:03:22.720]  他用了一個很哀求的方式
