
[00:00:00.000 --> 00:00:04.600]  當你提到假教師要面對審判的時候
[00:00:04.600 --> 00:00:07.800]  當然我們也知道不單是假教師
[00:00:07.800 --> 00:00:10.400]  並且一切是違背上帝
[00:00:10.400 --> 00:00:12.200]  是違逆神的
[00:00:12.200 --> 00:00:15.200]  要面對神的審判
[00:00:15.200 --> 00:00:17.200]  當面對惡人的時候
[00:00:17.200 --> 00:00:20.400]  有些時候我們也會自己沉住氣
[00:00:20.400 --> 00:00:23.000]  甚至我們以惡對惡
[00:00:23.000 --> 00:00:27.400]  在過程當中想不到自己也變成惡人
[00:00:27.400 --> 00:00:31.400]  所以我們常常會提到詩篇27篇37篇
[00:00:31.400 --> 00:00:34.000]  裏面提到你們要小心
[00:00:34.000 --> 00:00:37.600]  「當止住怒氣,離氣憤怒,
[00:00:37.600 --> 00:00:41.400]  不要心懷不平,以致作惡。」
[00:00:41.400 --> 00:00:45.400]  聖經解釋為何可以不要憤怒
[00:00:45.400 --> 00:00:49.400]  聖經說「因為作惡的必被剪除,
[00:00:49.400 --> 00:00:54.800]  唯有等候耶和華的,必承受地土。」
[00:00:54.800 --> 00:00:58.200]  對於作惡的人,聖經清楚地說
[00:00:58.200 --> 00:01:01.600]  他說「神是會審判的。」
[00:01:01.600 --> 00:01:04.200]  當然有些時候我們好像不太想說
[00:01:04.200 --> 00:01:06.600]  太多關於審判的道理
[00:01:06.600 --> 00:01:11.000]  因為會怕被人誤會我們想威嚇別人
[00:01:11.000 --> 00:01:13.200]  甚至想操控一些人
[00:01:13.200 --> 00:01:16.000]  做一些我們想他做的事情
[00:01:16.000 --> 00:01:18.200]  我們不應該有這樣的動機
[00:01:18.200 --> 00:01:20.800]  但聖經裏面的確清楚地講述
[00:01:20.800 --> 00:01:23.600]  這位上帝是慈愛的
[00:01:23.600 --> 00:01:26.800]  但他同時是公義的上帝
[00:01:26.800 --> 00:01:30.200]  如果只有慈愛沒有公義
[00:01:30.200 --> 00:01:33.600]  慈愛只不過是溺愛
[00:01:33.600 --> 00:01:36.000]  因此聖經裏面勉勵我們知道
[00:01:36.000 --> 00:01:40.400]  這位上帝沒錯他會以憐憫去勝過審判
[00:01:40.400 --> 00:01:43.600]  但當人三番四次不願意悔改
[00:01:43.600 --> 00:01:47.000]  神的公義的審判就會臨到
[00:01:47.000 --> 00:01:51.000]  因此不斷提醒我們有審判的事實
[00:01:51.000 --> 00:01:55.000]  面對審判的時候是盼望我們能夠轉回
[00:01:55.000 --> 00:02:00.600]  能夠可以真的行回在神的正直的道裏面
[00:02:00.600 --> 00:02:02.600]  因此聖經裏面提到審判
[00:02:02.600 --> 00:02:06.200]  而我們都會去思想審判的訊息
[00:02:06.200 --> 00:02:08.400]  所以這個月大家要留心到
[00:02:08.400 --> 00:02:10.200]  我們崇拜的金句
[00:02:10.200 --> 00:02:12.200]  彼得前書一章
[00:02:12.200 --> 00:02:14.800]  多少節話?十七節
[00:02:14.800 --> 00:02:17.000]  你記得聖經裏面很清楚地
[00:02:17.000 --> 00:02:19.200]  如果你看回崇拜周刊首頁
[00:02:19.200 --> 00:02:21.000]  你就會見到
[00:02:21.000 --> 00:02:22.200]  聖經告訴我們
[00:02:22.200 --> 00:02:25.400]  「你們既稱那不偏待人」
[00:02:25.400 --> 00:02:28.000]  這位上帝不會有偏心
[00:02:28.000 --> 00:02:31.400]  是按著公平來待每一個人
[00:02:31.400 --> 00:02:36.400]  按各人的行為審判人的主為父
[00:02:36.400 --> 00:02:39.400]  這位父神他是公義的
[00:02:39.400 --> 00:02:42.000]  因此我們就當全敬畏的心
[00:02:42.000 --> 00:02:45.400]  到我們在世上寄居的日子
[00:02:45.400 --> 00:02:49.600]  敬畏就是表示不願意得罪神
[00:02:49.600 --> 00:02:54.000]  不願意去違背神給人正直的真道
[00:02:54.000 --> 00:02:56.800]  因此如果認識審判的人
[00:02:56.800 --> 00:02:59.800]  是會知道去敬畏神
[00:02:59.800 --> 00:03:03.800]  因此在世上可以行在一條無因的路上
[00:03:03.800 --> 00:03:05.800]  因此我們今天看彼得後書
[00:03:05.800 --> 00:03:08.400]  也知道整卷書是不斷提及
[00:03:08.400 --> 00:03:11.600]  主在來和主審判的訊息
[00:03:11.600 --> 00:03:14.000]  我們再次來到去思想
[00:03:14.000 --> 00:03:16.400]  在聖經第二章一開始就提及
[00:03:16.400 --> 00:03:18.800]  會有假教師出現
[00:03:18.800 --> 00:03:20.600]  是必然會出現的
[00:03:20.600 --> 00:03:22.800]  第二章第一節是這樣說的
[00:03:22.800 --> 00:03:26.400]  「從前在人民當中曾經有假先知出來
[00:03:26.400 --> 00:03:31.200]  照樣將來在你們中間也必有假教師出現
[00:03:31.200 --> 00:03:36.400]  他們偷偷地把使人滅亡的異端引進來
[00:03:36.400 --> 00:03:39.400]  甚至否認那曾經賣淑他們的主
[00:03:39.400 --> 00:03:43.000]  迅速地自取滅亡」
[00:03:43.000 --> 00:03:46.200]  教會聖經裏面提到很多假先知
[00:03:46.200 --> 00:03:49.800]  他們憑著自己說一些說話
[00:03:49.800 --> 00:03:53.000]  冒稱是神的使者
[00:03:53.000 --> 00:03:57.000]  但說的是自己人的一些意見
[00:03:57.000 --> 00:03:59.000]  說平安平安沒事的
[00:03:59.000 --> 00:04:03.000]  但沒有提醒人逃避罪惡
[00:04:03.000 --> 00:04:07.200]  聖經提及這些假先知要面對神的審判
[00:04:07.200 --> 00:04:08.200]  去到新約的時候
[00:04:08.200 --> 00:04:11.200]  在教會裏面也有一些假的教師
[00:04:11.200 --> 00:04:17.200]  聖經說他們是將使人滅亡的異端帶進來
[00:04:17.200 --> 00:04:20.200]  並且一個很重要的問題
[00:04:20.200 --> 00:04:26.200]  就是他們否認耶穌基督是救主
[00:04:26.200 --> 00:04:27.600]  大家很多時候都會想起
[00:04:27.600 --> 00:04:29.600]  約翰一書裏面提及
[00:04:29.600 --> 00:04:32.000]  「人有了耶穌基督
[00:04:32.000 --> 00:04:35.000]  人有了神的兒子就有生命
[00:04:35.000 --> 00:04:39.200]  沒有神的兒子就沒有生命」
[00:04:39.200 --> 00:04:42.200]  因為救恩是從耶穌基督而來的
[00:04:42.200 --> 00:04:45.200]  因此你看見歷世歷代很多的異端
[00:04:45.200 --> 00:04:50.200]  一個最核心的問題就是否認耶穌是基督
[00:04:50.200 --> 00:04:53.200]  否認耶穌是有神性
[00:04:53.200 --> 00:04:56.200]  即是說祂是一個偉人
[00:04:56.200 --> 00:05:00.200]  甚至會指出有其他的基督來到
