
[00:00:00.000 --> 00:00:02.040]  這份所書的第二章
[00:00:02.040 --> 00:00:06.840]  我們看第十九至二十二節
[00:00:06.840 --> 00:00:11.080]  然後第四章我們也看第一節至第十六節
[00:00:11.080 --> 00:00:12.960]  請大家打開聖經
[00:00:12.960 --> 00:00:21.720]  我們看一看神的真理和他的心目中教會是怎樣的
[00:00:21.720 --> 00:00:25.080]  如果剛才你留心這段聖經閱讀的時候
[00:00:25.080 --> 00:00:28.240]  你會留意這份所書
[00:00:28.240 --> 00:00:37.760]  聖保羅用兩幅圖畫來繪畫描述教會是怎樣
[00:00:37.760 --> 00:00:40.720]  這兩幅圖畫就是第二章裏面
[00:00:40.720 --> 00:00:43.560]  剛才我們所讀那段教會
[00:00:43.560 --> 00:00:48.040]  他用了一個建築物來形容
[00:00:48.040 --> 00:00:52.440]  根基呀,第二節整座建築
[00:00:52.440 --> 00:00:57.120]  教會是好像一個建築物
[00:00:57.120 --> 00:01:01.520]  第二,第四章裏面提到
[00:01:01.520 --> 00:01:06.760]  第二幅圖畫教會好像一個身體
[00:01:06.760 --> 00:01:11.240]  短短的十六節用了三次身體這個字
[00:01:11.240 --> 00:01:15.880]  請留意第四節說身體只有一個
[00:01:15.880 --> 00:01:21.640]  然後到第十二節說是基督的身體
[00:01:21.640 --> 00:01:27.760]  最後說是基督的身體,第十五節
[00:01:27.760 --> 00:01:31.440]  而且這個身體是漸漸長大
[00:01:31.440 --> 00:01:39.200]  完全用了一個基督或身體的角度來描述教會
[00:01:39.200 --> 00:01:43.080]  今早我們就在這兩幅圖畫裏面一齊思想
[00:01:43.080 --> 00:01:45.120]  究竟神想我們認識甚麼
[00:01:45.120 --> 00:01:49.000]  沒錯,教會就好像一個建築物
[00:01:49.000 --> 00:01:51.720]  教會就好像一個身體
[00:01:51.720 --> 00:01:53.720]  今早我想和大家說
[00:01:53.720 --> 00:01:56.320]  我們看聖經看入去深入些的時候
[00:01:56.320 --> 00:01:59.720]  神告訴我們,教會是一個建築物
[00:01:59.720 --> 00:02:00.880]  可以用來比喻
