
[00:00:00.000 --> 00:00:05.000]  將神的愛澆灌在我們心裏
[00:00:05.000 --> 00:00:11.000]  這是聖靈很重要、很寶貴的工作
[00:00:11.000 --> 00:00:15.000]  聖靈不但在新約時代
[00:00:15.000 --> 00:00:19.000]  把神的愛澆灌在我們心裏
[00:00:19.000 --> 00:00:25.000]  聖靈也在舊約時代做同樣的工作
[00:00:25.000 --> 00:00:29.000]  每一個被神的愛澆灌的人
[00:00:29.000 --> 00:00:33.000]  都有一個相同的反應
[00:00:33.000 --> 00:00:40.000]  那就是開始有了愛神的心
[00:00:40.000 --> 00:00:43.000]  每當我們看見一個熟讀的人
[00:00:43.000 --> 00:00:46.000]  開始愛神的時候
[00:00:46.000 --> 00:00:49.000]  我們知道他已經經歷了
[00:00:49.000 --> 00:00:54.000]  聖靈將神的愛澆灌在他的裏面
[00:00:54.000 --> 00:01:00.000]  最長的時間我們特別注意舊約裏面
[00:01:00.000 --> 00:01:06.000]  神愛澆灌和愛神的心的表現
[00:01:06.000 --> 00:01:11.000]  我們要從詩篇裏面來看
[00:01:11.000 --> 00:01:14.000]  我們讀詩篇的時候
[00:01:14.000 --> 00:01:21.000]  注意到至少有六篇詩篇是很特別的
[00:01:21.000 --> 00:01:24.000]  他們的特點在哪裏呢?
[00:01:24.000 --> 00:01:27.000]  就是寫這些詩篇的人
[00:01:27.000 --> 00:01:32.000]  就是我們平常說的詩人
[00:01:32.000 --> 00:01:38.000]  他們表達了對聖神熱烈的愛
[00:01:38.000 --> 00:01:43.000]  也表達了對聖殿熱烈的愛
[00:01:43.000 --> 00:01:49.000]  這六篇詩有這一個共同的特點
[00:01:49.000 --> 00:01:52.000]  所以現在我們要看一看
[00:01:52.000 --> 00:01:55.000]  在這六篇詩裏面
[00:01:55.000 --> 00:02:00.000]  詩人當他們提到對聖神的熱愛的時候
[00:02:00.000 --> 00:02:03.000]  對聖殿的熱愛的時候
[00:02:03.000 --> 00:02:09.000]  到底他們提到聖神、聖殿裏面的什麼事物
[00:02:09.000 --> 00:02:14.000]  得到他們這樣特別的熱愛呢?
[00:02:14.000 --> 00:02:19.000]  他們熱烈的愛的對象是什麼?
[00:02:19.000 --> 00:02:25.000]  當然他們是為了愛神才愛聖神、聖殿
