
[00:00:00.000 --> 00:00:05.040]  第一章是重建聖殿的前傳
[00:00:05.040 --> 00:00:09.520]  一章一節到五節是說波斯帝國的興起
[00:00:09.520 --> 00:00:12.600]  居老侍王在當中掌權
[00:00:12.600 --> 00:00:14.360]  他頒下的詔書
[00:00:14.360 --> 00:00:22.480]  詔書就是容許被虜的猶太人回歸耶路撒冷
[00:00:22.480 --> 00:00:25.360]  不單回歸,還供應一切所需
[00:00:25.360 --> 00:00:27.360]  去重建聖殿
[00:00:28.720 --> 00:00:33.120]  經文一章五節也會說到有人去回應
[00:00:33.120 --> 00:00:34.120]  去參與
[00:00:34.120 --> 00:00:36.440]  不過正如我上次所說
[00:00:36.440 --> 00:00:38.440]  回應的是非常少數
[00:00:38.440 --> 00:00:42.600]  少數的猶太人回應
[00:00:42.600 --> 00:00:45.960]  為什麼這麼少人去回應重建聖殿呢?
[00:00:45.960 --> 00:00:53.800]  其實從經文或參考文獻
[00:00:53.800 --> 00:00:58.360]  有四個主要原因
[00:00:58.360 --> 00:01:04.440]  第一個是回歸的旅途非常困難
[00:01:04.440 --> 00:01:10.120]  這幅圖是說從波斯帝國回歸耶路撒冷
[00:01:10.120 --> 00:01:13.640]  有一段參考書說
[00:01:13.640 --> 00:01:15.240]  最有可能的路線是
[00:01:15.240 --> 00:01:19.680]  由法拉底河北上馬里或加基米斯
[00:01:19.680 --> 00:01:22.840]  然後轉至西南部的大馬色
[00:01:22.840 --> 00:01:25.800]  再由商道大道下到沿海大道
[00:01:25.800 --> 00:01:27.800]  或途徑約旦河谷
[00:01:27.800 --> 00:01:30.440]  直至耶利哥再到耶路撒冷
[00:01:30.440 --> 00:01:32.960]  由巴比倫到耶路撒冷
[00:01:32.960 --> 00:01:34.160]  大約是多少呢?
[00:01:34.160 --> 00:01:36.640]  這條路線是1400公里
[00:01:36.640 --> 00:01:39.280]  要用多少時間呢?
[00:01:39.280 --> 00:01:41.280]  七章九節告訴我們答案
[00:01:41.280 --> 00:01:43.080]  以少加一記七章九節
[00:01:43.080 --> 00:01:45.080]  四個月
[00:01:45.080 --> 00:01:47.080]  四個月的時間
[00:01:47.080 --> 00:01:54.840]  我在上個月參加了一個比賽
[00:01:54.840 --> 00:01:57.880]  這個比賽的路線是怎樣的呢?
[00:01:57.880 --> 00:02:01.800]  路線是由東涌出發
[00:02:01.800 --> 00:02:04.520]  上去昂坪棧道
[00:02:04.520 --> 00:02:06.280]  然後到江山
[00:02:06.280 --> 00:02:07.520]  再到靈回山
