
[00:00:00.000 --> 00:00:01.280]  各位節目平安
[00:00:01.280 --> 00:00:04.600]  今天和大家一起思想三個舊約裡面的人物
[00:00:04.600 --> 00:00:05.880]  不需要大家猜了
[00:00:05.880 --> 00:00:09.880]  在大家的大綱裡面我已經寫出來了
[00:00:09.880 --> 00:00:15.320]  就是以色列的三個統一王國的皇帝
[00:00:15.320 --> 00:00:18.080]  首先有兩個問題 第一
[00:00:18.080 --> 00:00:21.520]  他們為什麼是現代人的誘惑
[00:00:21.520 --> 00:00:26.120]  第二 為什麼我們說他們是成功
[00:00:26.120 --> 00:00:30.920]  但是成年後失敗的人
[00:00:30.920 --> 00:00:32.560]  首先我們看看這三個
[00:00:32.560 --> 00:00:38.040]  蘇羅 大衛和所羅門這三個皇帝
[00:00:38.040 --> 00:00:41.040]  我們看到他們的人生
[00:00:41.040 --> 00:00:43.800]  他們年輕的時候
[00:00:43.800 --> 00:00:49.520]  真的好像童話故事一樣
[00:00:49.520 --> 00:00:53.560]  蘇羅 當他成為第一個以色列的王的時候
[00:00:53.560 --> 00:00:55.840]  聖經告訴我們
[00:00:55.840 --> 00:00:59.920]  他又健美又俊美
[00:00:59.920 --> 00:01:02.440]  又健壯又俊美
[00:01:02.440 --> 00:01:06.720]  並且以色列當中沒有一個人比得上他
[00:01:06.720 --> 00:01:08.360]  當他站起來的時候
[00:01:08.360 --> 00:01:10.800]  他比所有人都高一個頭
[00:01:10.800 --> 00:01:14.800]  又高大 又帥又大隻 是吧
[00:01:14.800 --> 00:01:18.440]  是一個很美麗的開始
[00:01:18.440 --> 00:01:23.240]  但是當他一路發展成為皇帝
[00:01:23.240 --> 00:01:27.040]  他就開始偏離神 要他走的路
[00:01:27.040 --> 00:01:30.160]  聖經告訴他 他要走自己的路
[00:01:30.160 --> 00:01:33.000]  聖經所說 偏行己路
[00:01:33.000 --> 00:01:34.920]  當他走自己的路的時候
[00:01:34.920 --> 00:01:40.120]  我告訴你 神最厲害的懲罰就是你走
[00:01:40.120 --> 00:01:42.320]  不過我的國就繼續要去
[00:01:42.320 --> 00:01:44.240]  我的旨意繼續這樣走
[00:01:44.240 --> 00:01:46.640]  你不肯走 你就走你自己的路
[00:01:46.640 --> 00:01:48.640]  那我找另外一個人繼續走
[00:01:48.640 --> 00:01:53.160]  我要走的計劃 這個就是大衛
[00:01:53.160 --> 00:01:57.920]  當訴羅知道原來神要將大衛去取代他的時候
[00:01:57.920 --> 00:02:01.360]  聖經告訴他 他的精神即近瘋狂
[00:02:01.360 --> 00:02:03.600]  大衛彈琴給他聽
[00:02:03.600 --> 00:02:06.280]  他拿起槍就要插他
[00:02:06.280 --> 00:02:10.080]  然後他瘋狂地要妒忌大衛 要打他
[00:02:10.080 --> 00:02:13.640]  一路追殺他這個無辜的年輕人
[00:02:13.640 --> 00:02:15.920]  然後到後來他不單要殺大衛
[00:02:15.920 --> 00:02:18.480]  殺他周圍支持他的人
