
[00:00:00.000 --> 00:00:03.460]  我們今天會再思想伊斯拉基的經文
[00:00:03.460 --> 00:00:04.960]  我們今天會思想一個題目
[00:00:04.960 --> 00:00:08.560]  就是「重拾見電的決心」
[00:00:08.560 --> 00:00:11.760]  過去我們曾經將這種侍奉的心
[00:00:11.760 --> 00:00:14.000]  見電的心放下了
[00:00:14.000 --> 00:00:18.340]  但是神會感動我們再一次重新收拾
[00:00:18.340 --> 00:00:20.160]  兼顧這種的決心
[00:00:20.160 --> 00:00:23.360]  來侍奉、來為神工作
[00:00:23.360 --> 00:00:25.460]  在看聖經之前我想先講一個見證
[00:00:25.460 --> 00:00:27.840]  也曾經在過去的「牧者心聲」
[00:00:27.840 --> 00:00:30.660]  我曾經寫及這件事情
[00:00:30.660 --> 00:00:32.840]  我記得有一次在加拿大的多倫多
[00:00:32.840 --> 00:00:34.560]  我在一間教會講道
[00:00:34.560 --> 00:00:37.160]  遇到當中一位牧者
[00:00:37.160 --> 00:00:38.900]  就與他談到他的情況
[00:00:38.900 --> 00:00:41.540]  一位中年的弟兄
[00:00:41.540 --> 00:00:46.300]  我問他「你當時怎樣奉獻自己做傳道的侍奉呢?」
[00:00:46.300 --> 00:00:47.400]  他就告訴我
[00:00:47.400 --> 00:00:51.040]  他說他自己曾經是一個電子工程師
[00:00:51.040 --> 00:00:53.040]  做了差不多二十多年的時間
[00:00:53.040 --> 00:00:55.860]  在當中來服侍
[00:00:55.860 --> 00:00:56.860]  當他在工作的時候
[00:00:56.860 --> 00:00:58.560]  他的心很想能夠侍奉神
[00:00:58.560 --> 00:01:01.060]  因此他就有部分時間進修神學
[00:01:01.060 --> 00:01:03.640]  後來他就將那份工作放下了
[00:01:03.640 --> 00:01:05.980]  然後全時間地修讀
[00:01:05.980 --> 00:01:08.100]  但是他心裡仍然很掙扎、很猶豫
[00:01:08.100 --> 00:01:12.280]  應不應該全職地來做傳道的服侍
[00:01:12.280 --> 00:01:13.440]  當他快要畢業的時候
[00:01:13.440 --> 00:01:14.100]  他對神說
[00:01:14.100 --> 00:01:16.500]  「神啊 如果是祢歡喜我
[00:01:16.500 --> 00:01:19.200]  來全時間地服侍祢
[00:01:19.200 --> 00:01:23.220]  我將來都會找一些電子工程的工作
[00:01:23.220 --> 00:01:24.780]  如果不是祢的意思
[00:01:24.780 --> 00:01:26.660]  祢幫我關上所有的門
[00:01:26.660 --> 00:01:29.620]  不要讓我找到電子工程的工作」
[00:01:29.620 --> 00:01:31.520]  他就這樣祈禱
[00:01:31.520 --> 00:01:32.680]  當他畢業的時候
[00:01:32.680 --> 00:01:35.600]  他真的嘗試看看有沒有這樣的工作
[00:01:35.600 --> 00:01:38.360]  他發覺一份工作是非常理想的
