
[00:00:00.000 --> 00:00:02.680]  講清講楚系列主要是
[00:00:02.680 --> 00:00:05.220]  我們都很感覺到
[00:00:05.220 --> 00:00:07.640]  我們基督徒是要有勇氣
[00:00:07.640 --> 00:00:10.300]  去面對一些真理
[00:00:10.300 --> 00:00:14.680]  以及不要在這裡很模糊或者逃避
[00:00:14.680 --> 00:00:19.960]  對於我來說也是有特別的意義的
[00:00:19.960 --> 00:00:24.520]  我可以說是站在幾個不同的圈子中間
[00:00:24.520 --> 00:00:27.480]  我特別感覺到那種挑戰
[00:00:27.480 --> 00:00:32.080]  我自己是從事神學、哲學
[00:00:32.080 --> 00:00:37.200]  以及是護教方面的研讀進修
[00:00:37.200 --> 00:00:40.120]  我也在神學院裡面教書
[00:00:40.120 --> 00:00:45.680]  所以我面對的問題是三個群體
[00:00:45.680 --> 00:00:49.040]  一,我面對神學院裡面的神學同學
[00:00:49.040 --> 00:00:50.720]  我去教他們
[00:00:50.720 --> 00:00:53.400]  這班將來做教會的傳導人
[00:00:53.400 --> 00:00:56.400]  另外我又面對好像大家一樣
[00:00:56.400 --> 00:00:59.560]  教會裡面一些平信徒弟兄姊妹
[00:00:59.560 --> 00:01:02.920]  我們不斷要去講道面對他們的要求
[00:01:02.920 --> 00:01:07.400]  第三方面,我也經常面對一個學術的
[00:01:07.400 --> 00:01:10.080]  非基督教的世界
[00:01:10.080 --> 00:01:14.120]  就是說三個群體他們所問的問題
[00:01:14.120 --> 00:01:16.440]  以及他們要得到的答案
[00:01:16.440 --> 00:01:18.920]  可能是很不同的層次
[00:01:18.920 --> 00:01:22.120]  但是對於我作為一個基督徒
[00:01:22.120 --> 00:01:23.600]  作為一個從事學術
[00:01:23.600 --> 00:01:25.480]  又從事一位牧養的人
[00:01:25.480 --> 00:01:27.320]  我對自己有一個要求
[00:01:27.320 --> 00:01:29.440]  就是我不可以忍受
[00:01:29.440 --> 00:01:32.640]  在不同的群體我有不同的答案
[00:01:32.640 --> 00:01:34.480]  我不可以逃避某些問題
[00:01:34.480 --> 00:01:37.080]  就是說如果我面對會友這樣回答
[00:01:37.080 --> 00:01:39.040]  我又面對那些不信耶穌的學術界
[00:01:39.040 --> 00:01:39.840]  一樣是這樣回答
[00:01:39.840 --> 00:01:40.960]  不能夠說那裡是這樣回答
[00:01:40.960 --> 00:01:42.160]  面對會友是另一回答
[00:01:42.160 --> 00:01:45.240]  回到神學院又是另一套的答案
[00:01:45.240 --> 00:01:47.000]  不過不要說出去
[00:01:47.000 --> 00:01:48.200]  不要告訴會友
[00:01:48.200 --> 00:01:51.240]  這樣對於我來說是很難接受的
[00:01:51.240 --> 00:01:54.480]  起碼是我自己的要求
[00:01:54.480 --> 00:01:57.080]  而這個阿當的問題就是其中一個
[00:01:57.080 --> 00:01:58.200]  說清說了一系列
[00:01:58.200 --> 00:01:59.800]  將來還有很多
[00:01:59.800 --> 00:02:01.600]  不過這個阿當的問題
[00:02:01.600 --> 00:02:03.960]  都繳前了我不少的時間
[00:02:03.960 --> 00:02:06.320]  就對一般的平信徒弟兄姊妹來說
[00:02:06.320 --> 00:02:08.560]  可能都沒有想過這是一個大的問題
[00:02:08.560 --> 00:02:09.680]  阿當、夏娃是誰
[00:02:09.680 --> 00:02:11.480]  阿當、夏娃就是第一個人
[00:02:11.480 --> 00:02:12.720]  第一對夫婦
[00:02:12.720 --> 00:02:13.920]  就是犯罪
[00:02:13.920 --> 00:02:15.640]  犯罪的時候他們的罪
[00:02:15.640 --> 00:02:17.240]  就成為我們的原罪
[00:02:17.240 --> 00:02:17.840]  是不是
[00:02:17.840 --> 00:02:20.480]  這個就是一般我們教會弟兄姊妹
[00:02:20.480 --> 00:02:22.600]  都會這樣回答
[00:02:22.600 --> 00:02:24.960]  如果你再麻煩一點問他一句
[00:02:24.960 --> 00:02:28.600]  你覺得阿當、夏娃是不是在歷史上真有其人呢?
[00:02:28.600 --> 00:02:31.600]  我想十個還有九個弟兄姊妹都會說是
[00:02:31.600 --> 00:02:32.240]  為什麼不是?
[00:02:32.240 --> 00:02:33.480]  不是那怎麼辦?
[00:02:33.480 --> 00:02:35.480]  不是的這些罪怎麼來?
[00:02:35.480 --> 00:02:36.680]  所以我們想
[00:02:36.680 --> 00:02:39.360]  那個答案就很簡單
[00:02:39.360 --> 00:02:41.040]  不過一轉到神學院
[00:02:41.040 --> 00:02:44.560]  包括很多福音派的神學院
[00:02:44.560 --> 00:02:46.200]  答案就不是這樣回答的了
[00:02:46.200 --> 00:02:48.200]  如果你上課讀舊約的話
[00:02:48.200 --> 00:02:50.040]  老實說
[00:02:50.040 --> 00:02:51.200]  這次的講座
[00:02:51.200 --> 00:02:56.640]  我想多找一位神學院教舊約的老師來一起講
[00:02:56.640 --> 00:02:59.680]  不過問過很多個都不肯來
[00:02:59.680 --> 00:03:00.840]  (笑)
[00:03:00.840 --> 00:03:03.560]  我不是挑戰他們
[00:03:03.560 --> 00:03:04.520]  不過他真的不肯來
[00:03:04.520 --> 00:03:09.480]  他無謂到時候影響神學院的聲譽
[00:03:09.480 --> 00:03:13.040]  (笑)
[00:03:13.040 --> 00:03:14.160]  很多
[00:03:14.160 --> 00:03:16.160]  包括已經出版的作品
[00:03:16.160 --> 00:03:17.880]  我們華人教會也好
[00:03:17.880 --> 00:03:20.920]  如果是從事舊約研究的人
[00:03:20.920 --> 00:03:23.160]  將創世記的頭三章
[00:03:23.160 --> 00:03:27.160]  看成故事而已
[00:03:27.160 --> 00:03:28.160]  那
[00:03:28.160 --> 00:03:29.000]  有沒有理由呢?
[00:03:29.000 --> 00:03:30.040]  也有些理由的
[00:03:30.040 --> 00:03:30.880]  當然有理由
[00:03:30.880 --> 00:03:32.160]  但是他的理由
