
[00:00:00.000 --> 00:00:02.720]  耶稣在地上公开侍奉的时候
[00:00:02.720 --> 00:00:04.520]  其实都不容易
[00:00:04.520 --> 00:00:07.000]  经过了很多的艰难
[00:00:07.000 --> 00:00:08.800]  也有很多人的攻击
[00:00:08.800 --> 00:00:11.400]  在不同的攻击里面
[00:00:11.400 --> 00:00:15.160]  其实耶稣不断地再讲出自己的身份
[00:00:15.160 --> 00:00:18.560]  讲出自己来到地上的目的是什么
[00:00:18.560 --> 00:00:21.920]  有人去看约翰其实有几个主题
[00:00:21.920 --> 00:00:23.440]  是很想表达
[00:00:23.440 --> 00:00:25.200]  不同的主题
[00:00:25.200 --> 00:00:27.200]  他兜完一个圈之后
[00:00:27.200 --> 00:00:29.080]  他接着再兜一个圈
[00:00:29.080 --> 00:00:30.280]  什么叫信呢
[00:00:30.280 --> 00:00:32.480]  有些真信有些假信
[00:00:32.480 --> 00:00:33.760]  再兜一个圈
[00:00:33.760 --> 00:00:34.760]  什么叫信呢
[00:00:34.760 --> 00:00:36.760]  他一路一路尽心地去问
[00:00:36.760 --> 00:00:38.480]  什么叫信心
[00:00:38.480 --> 00:00:40.480]  这是其中一个主题
[00:00:40.480 --> 00:00:43.680]  在这一段经文里面去表达
[00:00:43.680 --> 00:00:46.800]  耶稣也面对一些攻击和挑战
[00:00:46.800 --> 00:00:49.160]  耶稣如何在这些攻击和挑战里面
[00:00:49.160 --> 00:00:50.720]  去表达祂自己的身份呢
[00:00:50.720 --> 00:00:52.320]  我们再来看一看
[00:00:52.320 --> 00:00:55.200]  在第十章的二十二至二十三节那里说
[00:00:55.200 --> 00:00:57.200]  在耶路撒冷有修炼前
[00:00:57.200 --> 00:00:59.680]  是冬天的时候
[00:00:59.680 --> 00:01:03.000]  耶稣在殿里锁罗门的廊下行走
[00:01:03.000 --> 00:01:05.000]  修炼节其实有个背景
[00:01:05.000 --> 00:01:08.880]  大约在主前的一百六十七年的时候
[00:01:08.880 --> 00:01:11.680]  当时有一些统治者
[00:01:11.680 --> 00:01:14.000]  他们就去攻打
[00:01:14.000 --> 00:01:15.560]  就是攻陷了耶路撒冷
[00:01:15.560 --> 00:01:19.240]  接着将圣殿都夺取了
[00:01:19.240 --> 00:01:22.080]  将圣殿的宪制完全停止
[00:01:22.080 --> 00:01:26.360]  就将一些异教的神明放在圣殿那里
[00:01:26.360 --> 00:01:31.160]  这当然对犹太人来说是一个相当大的羞辱
[00:01:31.160 --> 00:01:32.840]  所以过了三年之后
[00:01:32.840 --> 00:01:34.320]  在主前一百六十四年
[00:01:34.320 --> 00:01:35.960]  有一个人叫马加比
[00:01:35.960 --> 00:01:37.760]  他就带领一群犹太人
[00:01:37.760 --> 00:01:39.360]  去攻打
[00:01:39.360 --> 00:01:41.880]  将一些统治者赶走
[00:01:41.880 --> 00:01:44.200]  接着就拿回圣殿
[00:01:44.200 --> 00:01:46.880]  所以在那时候开始
[00:01:46.880 --> 00:01:49.920]  他们就每一年都有为期八天的
[00:01:49.920 --> 00:01:53.760]  一个叫献殿节的内容
[00:01:53.760 --> 00:01:55.520]  也都称为一个光明节
[00:01:55.520 --> 00:01:59.080]  是代表着圣殿曾经经过一个黑暗的日子
[00:01:59.080 --> 00:02:00.600]  但现在光明了
[00:02:00.600 --> 00:02:03.000]  也都代表着上帝施恩的手
[00:02:03.000 --> 00:02:04.480]  临到我们的身上
[00:02:04.480 --> 00:02:07.880]  上帝的请求也都临到我们的身上
[00:02:07.880 --> 00:02:13.000]  《约翰福音》的作者约翰
[00:02:13.000 --> 00:02:15.720]  他用这些节期作为一个背景
[00:02:15.720 --> 00:02:17.200]  其实很有意思的
[00:02:17.200 --> 00:02:20.560]  圣殿节或者叫修殿节
[00:02:20.560 --> 00:02:23.160]  是纪念上帝的恩典
[00:02:23.160 --> 00:02:25.160]  纪念上帝的请求
[00:02:25.160 --> 00:02:28.080]  现在耶稣在这个地方里面
[00:02:28.080 --> 00:02:30.760]  去讲上帝的救赎的工作
[00:02:30.760 --> 00:02:31.760]  耶稣来到了
[00:02:31.760 --> 00:02:33.640]  就是施行这个恩典
[00:02:33.640 --> 00:02:35.800]  施行这个请求
[00:02:35.800 --> 00:02:38.680]  在细节的描述里面
