
[00:00:00.000 --> 00:00:05.880]  大家好,歡迎大家來到《宣道傳》以及《出版士工》的新書發佈對談
[00:00:05.880 --> 00:00:11.440]  我們在兩位作者分享創作的經歷之前
[00:00:11.440 --> 00:00:13.920]  不如我們先看一條預告片,好嗎?
[00:00:30.000 --> 00:00:52.400]  (音樂)
[00:00:52.400 --> 00:01:00.800]  剛才那條很有趣的預告片就是和大家分享《寧貓戰記 軍裝奪回》這本書
[00:01:00.800 --> 00:01:08.400]  這本書特別的地方就是由我身邊這位很擅長用毛筆畫一些很可愛的貓貓的插畫師
[00:01:08.400 --> 00:01:09.400]  王武廉
[00:01:09.400 --> 00:01:16.520]  和他身邊的劇情作家也有豐富創作經驗的應天聯手合作的一本書
[00:01:16.520 --> 00:01:22.040]  他們一起建構這個用貓來做主角的奇幻世界
[00:01:22.040 --> 00:01:25.720]  據聞這本書誕生也很有趣
[00:01:25.720 --> 00:01:30.400]  兩位不如分享一下當初你們是怎樣去構思這本書的
[00:01:30.400 --> 00:01:43.920]  由我開始,其實是因為嘉儀在《宣道傳》出品了一副《寧軍裝貓》的書籤
[00:01:43.920 --> 00:01:45.520]  大家看到就是這副
[00:01:45.520 --> 00:01:53.640]  我一看到書籤就突然間有個靈感,有個畫面走出來
[00:01:53.640 --> 00:02:01.400]  就是這隻貓是怎樣去找這些軍裝那六個部件呢?
[00:02:01.400 --> 00:02:07.240]  就是一個很簡單的畫面走出來,就令我引發到我想寫一個故事
[00:02:07.240 --> 00:02:14.440]  聽到我有這個看法的時候,你覺得怎樣?
[00:02:14.440 --> 00:02:18.760]  我覺得這件事很神奇的,做了這本書出來
[00:02:18.760 --> 00:02:24.520]  因為我以前沒有想過要出一本有關這麼多字的書
[00:02:24.520 --> 00:02:30.200]  但是想不到我的創作是感染了你,給了你一個靈感
[00:02:30.200 --> 00:02:34.640]  然後我們彼此之間一起去有個brainstorm
[00:02:34.640 --> 00:02:37.600]  好像一起去創作一件事
[00:02:37.600 --> 00:02:41.800]  這本書你看到雖然是很厚的
[00:02:41.800 --> 00:02:46.320]  但是我看的時候發覺裡面的世界觀很大,有很多地方
[00:02:46.320 --> 00:02:52.080]  而那些人物,即是喵喵,她的性格那種都很厲害
[00:02:52.080 --> 00:02:56.560]  我想問應天,你怎樣設定裡面這麼大的世界
[00:02:56.560 --> 00:03:00.080]  還有那些貓的特色,你是怎樣去構思出來的?
