
[00:00:00.000 --> 00:00:06.600]  天父,我們感謝祢賜給我們這個安靜的時間和地方
[00:00:06.600 --> 00:00:10.800]  來一同靈受察考祢的話語
[00:00:10.800 --> 00:00:17.200]  我們看見祢為祢自己的話語留下許多可信的憑據
[00:00:17.200 --> 00:00:25.200]  我們看見舊約的預言如何的一一的清楚的應驗
[00:00:25.200 --> 00:00:29.600]  我們也知道西施路的預言到了主的時候
[00:00:29.600 --> 00:00:31.800]  也要應驗
[00:00:31.800 --> 00:00:35.500]  雖然其中有些詞句
[00:00:35.500 --> 00:00:39.600]  我們了解得不夠清楚明確
[00:00:39.600 --> 00:00:46.600]  但是我們知道到了時候這一切真相都要鮮明
[00:00:46.600 --> 00:00:51.000]  感謝主,因為祢是坐在寶座上
[00:00:51.000 --> 00:00:54.200]  祢命力就力,說有就有
[00:00:54.200 --> 00:01:00.000]  要成就成,祢是坐在寶座上的主
[00:01:00.000 --> 00:01:03.000]  萬物和整個的歷史
[00:01:03.000 --> 00:01:08.400]  都是按照祢的旨意和計畫而進行和完成的
[00:01:08.400 --> 00:01:13.900]  所以我們在這個時候再一次安靜的默想
[00:01:13.900 --> 00:01:16.500]  討論、靈受祢的話語
[00:01:16.500 --> 00:01:19.200]  求祢給我們書靈的悟性
[00:01:19.200 --> 00:01:23.200]  讓我們從其中得到提醒、幫助、益處
[00:01:23.200 --> 00:01:27.200]  我們把這個時間恭敬的從開始的末條
[00:01:27.200 --> 00:01:29.700]  交託在祢的恩手中
[00:01:29.700 --> 00:01:32.500]  求祢親自的教導我們
[00:01:32.500 --> 00:01:37.000]  我們這樣的禱告,交託奉主耶穌基督的名
[00:01:37.000 --> 00:01:39.000]  阿們
[00:01:39.000 --> 00:01:48.400]  請大家翻到第十八頁
[00:01:48.400 --> 00:01:51.500]  最後的一段
[00:01:51.500 --> 00:01:56.200]  我們上一次來到這個地方
[00:01:56.200 --> 00:01:59.500]  就是七頭
[00:01:59.500 --> 00:02:01.700]  那是第四個七
[00:02:01.700 --> 00:02:03.200]  七頭
[00:02:03.200 --> 00:02:04.700]  有人就認為
[00:02:04.700 --> 00:02:11.000]  今天我們找大義里那個腳印的像的腳趾
[00:02:11.000 --> 00:02:12.500]  十個腳趾
[00:02:12.500 --> 00:02:17.000]  應該是向阿拉伯國家去找
[00:02:17.000 --> 00:02:22.500]  那麽有他的理由的
[00:02:22.500 --> 00:02:27.500]  這十個國家是十七章告訴我們
[00:02:27.500 --> 00:02:30.500]  楷斯路十七章告訴我們
[00:02:30.500 --> 00:02:35.500]  他們有經濟的特權
[00:02:35.500 --> 00:02:41.500]  如果有人頭上沒有他的印記
[00:02:41.500 --> 00:02:44.500]  就不得做買賣
[00:02:44.500 --> 00:02:48.500]  表示他有經濟的勢力
[00:02:48.500 --> 00:02:53.500]  這一點也很適合阿拉伯的國家
[00:02:53.500 --> 00:02:56.500]  他們是有石油
[00:02:56.500 --> 00:03:00.000]  是一個很重要的武器
[00:03:00.000 --> 00:03:05.000]  過去曾經很強有力地使用過這種武器
[00:03:05.000 --> 00:03:08.000]  現在全面變了一些
[00:03:08.000 --> 00:03:12.000]  但是將來都有一個可能
[00:03:12.000 --> 00:03:14.000]  再一次有一個可能
[00:03:14.000 --> 00:03:18.000]  石油的問題再一次出現
[00:03:18.000 --> 00:03:22.000]  構成普世的問題
[00:03:22.000 --> 00:03:26.000]  同時我們要特別注意一件事
[00:03:26.000 --> 00:03:31.000]  大義里書裏面所講的那個腳印的像
[00:03:31.000 --> 00:03:34.000]  十個腳趾有什麽表現
[00:03:34.000 --> 00:03:36.000]  我們看一下
[00:03:36.000 --> 00:03:40.000]  請大家回到大義里書第二章
[00:03:40.000 --> 00:03:43.000]  大義里書第二章
[00:03:43.000 --> 00:03:48.000]  第四十二節和四十三節
[00:03:48.000 --> 00:03:53.000]  大義里書第二章四十三、四十四
[00:03:53.000 --> 00:04:00.000]  你既便鐵與奶摻雜
[00:04:00.000 --> 00:04:04.000]  那我們也必於各種人摻雜
[00:04:04.000 --> 00:04:07.000]  卻不能彼此相合
[00:04:07.000 --> 00:04:13.000]  正如鐵與奶不能相合一樣
[00:04:13.000 --> 00:04:18.000]  阿拉伯的國家他們很難合作
[00:04:18.000 --> 00:04:21.000]  一直都是這個表現
[00:04:21.000 --> 00:04:24.000]  經過幾十年都是這樣的表現
[00:04:24.000 --> 00:04:28.000]  這種情形非常顯著
[00:04:28.000 --> 00:04:29.000]  不合得來
[00:04:29.000 --> 00:04:31.000]  彼此有衝突
[00:04:31.000 --> 00:04:35.000]  彼此相爭甚至於作戰
[00:04:35.000 --> 00:04:42.000]  同時我們也看到
[00:04:42.000 --> 00:04:45.000]  第四十二節
[00:04:45.000 --> 00:04:48.000]  搬鐵搬奶
