
[00:00:00.000 --> 00:00:03.300]  今天我們思想聖經加拉提書的經文
[00:00:03.300 --> 00:00:08.000]  在第二章的經文裡面所講及的
[00:00:08.000 --> 00:00:09.800]  當我們提福音人生的時候
[00:00:09.800 --> 00:00:11.800]  或者我也想在開始的時候
[00:00:11.800 --> 00:00:14.600]  很簡單我們重溫一下
[00:00:14.600 --> 00:00:18.400]  當我們講到福音是什麼的時候
[00:00:18.400 --> 00:00:22.000]  或者有很多不同的角度去理解
[00:00:22.000 --> 00:00:26.400]  但是最基本的就是福音是在講
[00:00:26.400 --> 00:00:31.200]  神的兒子耶穌基督祂為我們受死
[00:00:31.200 --> 00:00:33.200]  為我們復活
[00:00:33.200 --> 00:00:37.000]  將我們從罪裡面拯救出來
[00:00:37.000 --> 00:00:39.700]  是因為耶穌基督祂的受死復活
[00:00:39.700 --> 00:00:42.800]  而帶來了給我們的拯救
[00:00:42.800 --> 00:00:46.000]  而在拯救裡面聖經是很清楚地說
[00:00:46.000 --> 00:00:49.000]  你們得救是本福因
[00:00:49.000 --> 00:00:51.400]  也是因為信
[00:00:51.400 --> 00:00:54.600]  完全是因為神的恩典
[00:00:54.600 --> 00:00:57.400]  也意味著不是我們的行為
[00:00:57.400 --> 00:01:00.200]  或者我們憑著自己去做某一些事情
[00:01:00.200 --> 00:01:02.000]  而得到神的寬心
[00:01:02.000 --> 00:01:04.400]  所以神要救我們
[00:01:04.400 --> 00:01:07.800]  是完全是出於神的工作
[00:01:07.800 --> 00:01:11.400]  不是我們自己努力的成果
[00:01:11.400 --> 00:01:13.800]  這是福音的道理
[00:01:13.800 --> 00:01:15.400]  但是福音的道理
[00:01:15.400 --> 00:01:17.400]  當我們領受了之後
[00:01:17.400 --> 00:01:19.800]  你會留意就是聖經清楚地說
[00:01:19.800 --> 00:01:27.000]  福音不是你進入了天國的門的一對門而已
[00:01:27.000 --> 00:01:32.600]  而是福音是將你整個信仰人生連結在一起
[00:01:32.600 --> 00:01:37.000]  你整個人生都是按照這個福音的道理
[00:01:37.000 --> 00:01:39.000]  來去活出來的
[00:01:39.000 --> 00:01:41.400]  又或者我們可以這樣說
[00:01:41.400 --> 00:01:45.600]  就是福音貫穿在你整個人生裡面
[00:01:45.600 --> 00:01:49.200]  所以當後來保羅在不同的地方講述福音的時候
[00:01:49.200 --> 00:01:52.800]  他純粹是講自己人生一路來會怎樣做
[00:01:52.800 --> 00:01:55.400]  他在《臨到後書》第一章所講到
[00:01:55.400 --> 00:01:59.000]  保羅說:當我信了主之後
[00:01:59.000 --> 00:02:02.000]  我們在世為人
[00:02:02.000 --> 00:02:04.400]  不靠自己的聰明
[00:02:04.400 --> 00:02:07.600]  而是靠神的恩惠
[00:02:07.600 --> 00:02:09.800]  同樣是在講因為
[00:02:09.800 --> 00:02:12.000]  你怎樣的生活方式
[00:02:12.000 --> 00:02:14.800]  或者有不同的工作、家庭
[00:02:14.800 --> 00:02:17.000]  但你仍然是一個重要的方向
[00:02:17.000 --> 00:02:22.200]  就是你是憑著神的恩惠來生活
[00:02:22.200 --> 00:02:23.200]  當你這樣做的時候
[00:02:23.200 --> 00:02:26.200]  你就會發覺你活出那種福音的人生
[00:02:26.200 --> 00:02:34.000]  你可以在裡面真正得著神給你的全部的應許
[00:02:34.000 --> 00:02:35.200]  在過程裡面
[00:02:35.200 --> 00:02:36.400]  或者我們都會問
[00:02:36.400 --> 00:02:40.200]  我們怎樣放下自己
[00:02:40.200 --> 00:02:44.200]  怎樣去靠神的恩惠來生活呢?
[00:02:44.200 --> 00:02:47.200]  我們今天一起來看看這段經文
[00:02:47.200 --> 00:02:48.200]  在聖經一開始的時候
[00:02:48.200 --> 00:02:49.400]  第二章十一節
[00:02:49.400 --> 00:02:51.600]  剛才我們讀到的經文
[00:02:51.600 --> 00:02:53.400]  裡面提及一件事情
[00:02:53.400 --> 00:02:55.000]  在福音裡面
[00:02:55.000 --> 00:02:58.000]  所有的人都是平等的
[00:02:58.000 --> 00:03:00.600]  這個都影響了我們怎樣跟人的相處
[00:03:00.600 --> 00:03:02.600]  我們怎樣看自己
[00:03:02.600 --> 00:03:05.000]  聖經講到當時基法就是彼得
[00:03:05.000 --> 00:03:07.400]  他去到安提阿那個地方的時候
[00:03:07.400 --> 00:03:10.200]  他遇到一幫從猶大
