
[00:00:00.000 --> 00:00:02.520]  今次想從一個橫面跟大家說
[00:00:02.520 --> 00:00:04.520]  究竟神學包括了些甚麼
[00:00:04.520 --> 00:00:08.800]  想澄清一下很多人對於讀系統神學的誤解
[00:00:08.800 --> 00:00:10.600]  也會跟大家討論一下
[00:00:10.600 --> 00:00:13.840]  系統神學的思考特質
[00:00:13.840 --> 00:00:18.600]  和它跟屬靈的修養之間的關係
[00:00:18.600 --> 00:00:22.200]  這幾個我相信都是一般人一想起系統神學的時候
[00:00:22.200 --> 00:00:24.480]  經常會問的問題
[00:00:24.480 --> 00:00:27.000]  我們開始先祈禱
[00:00:28.400 --> 00:00:32.400]  父神我們懇求祢賜給我們有屬天的智慧
[00:00:32.400 --> 00:00:35.200]  聖靈我們懇求祢賜給我們恩典
[00:00:35.200 --> 00:00:38.200]  以致我們可以進入屬於祢自己的真理
[00:00:38.200 --> 00:00:40.600]  求主給我們有悟性
[00:00:40.600 --> 00:00:45.200]  能夠明白祢自己奇妙奧秘的地方
[00:00:45.200 --> 00:00:46.400]  我仰望祢的祈禱
[00:00:46.400 --> 00:00:47.600]  以奉耶穌的名
[00:00:47.600 --> 00:00:48.600]  阿們
[00:00:48.600 --> 00:00:50.800]  我想對於很多人來說
[00:00:50.800 --> 00:00:56.200]  系統神學是一個多麼深奧
[00:00:56.200 --> 00:01:00.200]  又多麼令人卻步的一個字眼
[00:01:00.200 --> 00:01:01.800]  一想起系統神學
[00:01:01.800 --> 00:01:02.800]  很深奧
[00:01:02.800 --> 00:01:04.400]  很玄妙
[00:01:04.400 --> 00:01:08.800]  以致很多人覺得不屬於他自己
[00:01:08.800 --> 00:01:10.200]  特別是基督徒來說
[00:01:10.200 --> 00:01:12.600]  在華人教會也有這樣的傳統
[00:01:12.600 --> 00:01:15.200]  通常對於系統神學來說是害怕的
[00:01:15.200 --> 00:01:16.600]  或者有反感
[00:01:16.600 --> 00:01:18.600]  我自己想起來的時候
[00:01:18.600 --> 00:01:21.400]  大概一般來說有幾種看法
[00:01:21.400 --> 00:01:23.600]  是影響到這樣的觀念
[00:01:24.400 --> 00:01:27.400]  第一種最普遍的就是系統神學
[00:01:27.400 --> 00:01:28.600]  Systematic Theology
[00:01:28.600 --> 00:01:30.200]  不太像實際的
[00:01:30.200 --> 00:01:34.200]  好像三位一體之類的東西
[00:01:34.200 --> 00:01:41.000]  三個神又一個本體
[00:01:41.000 --> 00:01:43.200]  字眼已經複雜了
[00:01:43.200 --> 00:01:44.400]  對於一些人來說
[00:01:44.400 --> 00:01:45.800]  知道又如何呢?
