
[00:00:00.000 --> 00:00:03.400]  第一節我們繼續思想聖經瑪利基書的經文
[00:00:03.400 --> 00:00:08.600]  也再次讓我們思想聖經免我們轉向耶和華
[00:00:08.600 --> 00:00:15.000]  當我們今天讀到瑪利基書第三章其中第七至十二節
[00:00:15.000 --> 00:00:18.600]  其中一句說話很清晰地提出
[00:00:18.600 --> 00:00:22.000]  就是你們要轉向耶和華
[00:00:22.000 --> 00:00:25.200]  這個轉向英文的字很特別
[00:00:25.200 --> 00:00:28.400]  Return, return to God
[00:00:29.000 --> 00:00:30.400]  回到神那裡
[00:00:30.400 --> 00:00:34.800]  這個轉向包含了一個悔改的意思
[00:00:34.800 --> 00:00:40.800]  從過去違背神的事情轉向聽從神
[00:00:40.800 --> 00:00:46.800]  這個轉向也包含了你人生不單是向著自己
[00:00:46.800 --> 00:00:50.800]  向著世界更加是向著上帝
[00:00:50.800 --> 00:00:55.600]  是轉向他聽從他的旨意來生活
[00:00:56.600 --> 00:00:59.800]  但這個轉向裡面包含了一個很重要的應許
[00:00:59.800 --> 00:01:02.800]  就是何時人轉向神的時候
[00:01:02.800 --> 00:01:06.000]  神就說我就轉向你們
[00:01:06.000 --> 00:01:08.600]  好像新約聖經所說
[00:01:08.600 --> 00:01:13.000]  哪一個親近神 神就必親近他們
[00:01:13.000 --> 00:01:15.800]  是一個帶著應許的吩咐
[00:01:15.800 --> 00:01:18.200]  何時我們轉向神的時候
[00:01:18.200 --> 00:01:20.600]  神就轉向我們
[00:01:20.600 --> 00:01:24.200]  我想分析一個我們常常提及的比喻
[00:01:24.400 --> 00:01:27.600]  一朵太陽花向日葵
[00:01:27.600 --> 00:01:32.000]  何時當它朝向太陽生長的時候
[00:01:32.000 --> 00:01:36.800]  一朵太陽花它就能夠可以一路蓬勃地生長
[00:01:36.800 --> 00:01:39.000]  它接收到陽光
[00:01:39.000 --> 00:01:42.400]  得到滋潤 得到幫助
[00:01:42.400 --> 00:01:45.200]  它的生命就可以茁壯生長
[00:01:45.200 --> 00:01:48.400]  因此當我們讀今天的聖經的時候
[00:01:48.400 --> 00:01:50.800]  法國聖經就是這樣不斷呼籲我們
[00:01:50.800 --> 00:01:53.400]  轉向上帝 轉向上帝
[00:01:53.600 --> 00:01:56.000]  讓祂可以轉向我們
[00:01:56.000 --> 00:01:57.800]  我們看回聖經
[00:01:57.800 --> 00:01:59.200]  在開始的時候
[00:01:59.200 --> 00:02:02.000]  三章第七節就提到這位上帝
[00:02:02.000 --> 00:02:05.000]  祂是不斷向那些偏離的人
[00:02:05.000 --> 00:02:07.000]  離開的人招手的
[00:02:07.000 --> 00:02:09.400]  有一些聖經的譯本
[00:02:09.400 --> 00:02:12.200]  將三章六節我們上次讀過的
[00:02:12.200 --> 00:02:14.800]  和三章七節是連在一起
[00:02:14.800 --> 00:02:17.200]  形成一個很特別的對比
[00:02:17.200 --> 00:02:18.800]  三章六節說到
[00:02:18.800 --> 00:02:22.800]  「因為我耶和華是不改變的」
[00:02:23.400 --> 00:02:25.800]  說到這位上帝是信實的
[00:02:25.800 --> 00:02:27.000]  祂是不變的
[00:02:27.000 --> 00:02:28.600]  祂所應許的事情
[00:02:28.600 --> 00:02:30.800]  祂一定會成全的
[00:02:30.800 --> 00:02:33.000]  但是到了第七節的時候
[00:02:33.000 --> 00:02:34.000]  聖經就提到
[00:02:34.000 --> 00:02:35.400]  這些猶太人
[00:02:35.400 --> 00:02:38.000]  自從他們的民族開始以來
[00:02:38.000 --> 00:02:42.200]  已經是常常偏離神的吩咐
[00:02:42.200 --> 00:02:44.400]  不單止一次兩次
[00:02:44.400 --> 00:02:48.000]  是常常偏離上帝給他們的吩咐
[00:02:48.000 --> 00:02:50.400]  他們是不斷地改變
[00:02:50.400 --> 00:02:52.600]  一個很大的對比
[00:02:53.400 --> 00:02:54.400]  但雖然是這樣
[00:02:54.400 --> 00:02:55.800]  聖經就繼續說
[00:02:55.800 --> 00:02:57.000]  它說
[00:02:57.000 --> 00:02:58.800]  第七節
[00:02:58.800 --> 00:03:00.800]  「從你們列祖的日子以來
[00:03:00.800 --> 00:03:04.400]  你們就偏離了我的律例而不遵守
[00:03:04.400 --> 00:03:07.600]  現在你們要轉向我
[00:03:07.600 --> 00:03:10.600]  我就必轉向你們」
[00:03:10.600 --> 00:03:13.800]  聖經仍然說
[00:03:13.800 --> 00:03:16.400]  這位上帝是不斷給人機會
