
[00:00:00.000 --> 00:00:08.000]  在最近我有機會再和一些在突破機構裡面服務的同工來聊天
[00:00:08.000 --> 00:00:11.000]  不期然想起一位人物
[00:00:11.000 --> 00:00:13.000]  大家都會有些頂尖的認識
[00:00:13.000 --> 00:00:17.000]  是突破機構的創辦人蘇恩佩女士
[00:00:17.000 --> 00:00:22.000]  在過去她曾經一句話很多年都是這樣來鼓勵我的心
[00:00:22.000 --> 00:00:26.000]  她說與其就座黑暗
[00:00:26.000 --> 00:00:30.000]  倒不如燃燒自己
[00:00:30.000 --> 00:00:33.000]  這個世界你看到很多黑暗的事情
[00:00:33.000 --> 00:00:35.000]  不公不義的事情
[00:00:35.000 --> 00:00:38.000]  心裡面有些時候會很不滿
[00:00:38.000 --> 00:00:41.000]  甚至會就座這些的事
[00:00:41.000 --> 00:00:45.000]  但是蘇恩佩姐妹就一直提醒我們
[00:00:45.000 --> 00:00:47.000]  與其就座黑暗
[00:00:47.000 --> 00:00:49.000]  倒不如你燃點自己
[00:00:49.000 --> 00:00:51.000]  成為一點的亮光
[00:00:51.000 --> 00:00:55.000]  可以照耀到這個黑暗的世界
[00:00:55.000 --> 00:00:58.000]  沒錯有些時候見到社會上很多不同的事情
[00:00:58.000 --> 00:01:01.000]  特別有些時候會看到報道新聞裡面說到
[00:01:01.000 --> 00:01:04.000]  一些人士在社會上受到疏忽
[00:01:04.000 --> 00:01:07.000]  甚至被人惡待
[00:01:07.000 --> 00:01:11.000]  可能大家會記得在近期提到一些護老院
[00:01:11.000 --> 00:01:13.000]  一些虐老的情況
[00:01:13.000 --> 00:01:17.000]  有時候看到的時候覺得為什麼會是這樣
[00:01:17.000 --> 00:01:19.000]  但是看到這些事的時候
[00:01:19.000 --> 00:01:22.000]  心裡面都會再提醒自己
[00:01:22.000 --> 00:01:24.000]  不單單是分析問題
[00:01:24.000 --> 00:01:27.000]  知道事情的情況
[00:01:27.000 --> 00:01:31.000]  更加思想怎樣能夠可以真的付出代價
[00:01:31.000 --> 00:01:32.000]  燃點自己
[00:01:32.000 --> 00:01:35.000]  發出一點點的光芒
[00:01:35.000 --> 00:01:39.000]  這個正是上帝對他的子民的心意
[00:01:39.000 --> 00:01:43.000]  當我們今天來讀這段經文的時候
[00:01:43.000 --> 00:01:45.000]  過去我們讀這段經文的時候會看到
[00:01:45.000 --> 00:01:48.000]  瑪利亞她怎樣來尊崇上帝
[00:01:48.000 --> 00:01:50.000]  但是我們今天試一下思想
[00:01:50.000 --> 00:01:52.000]  就是在這段經文裡面
[00:01:52.000 --> 00:01:55.000]  你會看到聖經裡面很清楚的說
[00:01:55.000 --> 00:01:57.000]  這位上帝在這個社會
[00:01:57.000 --> 00:02:00.000]  或者說這個不義的世界裡面
[00:02:00.000 --> 00:02:02.000]  是仍然掌權的
[00:02:02.000 --> 00:02:04.000]  而是他也勉勵我們
[00:02:04.000 --> 00:02:08.000]  學校他自己去行公義
[00:02:08.000 --> 00:02:09.000]  好憐憫
[00:02:09.000 --> 00:02:11.000]  來到這個時代
[00:02:11.000 --> 00:02:15.000]  來去活出那種光明
[00:02:15.000 --> 00:02:18.000]  而我們也都是在瑪利亞的尊主眾當中
[00:02:18.000 --> 00:02:20.000]  一起來思想
[00:02:20.000 --> 00:02:23.000]  這個寶貴神給我們的訊息
[00:02:23.000 --> 00:02:27.000]  大家看回聖經的路加福音第一章
[00:02:27.000 --> 00:02:29.000]  在第一章的四十六節
[00:02:29.000 --> 00:02:31.000]  聖經就說到瑪利亞說
[00:02:31.000 --> 00:02:34.000]  我心尊主為大
[00:02:34.000 --> 00:02:37.000]  我令以神我的救主為樂
[00:02:37.000 --> 00:02:41.000]  因為祂誰顧他子女的卑微
[00:02:41.000 --> 00:02:42.000]  大家都會記得
[00:02:42.000 --> 00:02:46.000]  當瑪利亞她聽到天使和她發出一個指示
[00:02:46.000 --> 00:02:48.000]  告訴她知道
[00:02:48.000 --> 00:02:51.000]  你要懷孕生子
[00:02:51.000 --> 00:02:53.000]  天使告訴她知道
[00:02:53.000 --> 00:02:57.000]  至高者的能力要任避你
[00:02:57.000 --> 00:03:00.000]  而你要懷孕生下聖者
[00:03:00.000 --> 00:03:02.000]  當瑪利亞聽見的時候
[00:03:02.000 --> 00:03:04.000]  她最初的時候好像不明白
[00:03:04.000 --> 00:03:06.000]  但是她在思想的時候
[00:03:06.000 --> 00:03:11.000]  她知道神的能力臨在她的身上
[00:03:11.000 --> 00:03:12.000]  很快你見到聖經提到
[00:03:12.000 --> 00:03:15.000]  她去探伊麗莎白
[00:03:15.000 --> 00:03:16.000]  經過幾天的路程
[00:03:16.000 --> 00:03:17.000]  去到的時候
[00:03:17.000 --> 00:03:20.000]  相信她有很多不同的心思
[00:03:20.000 --> 00:03:21.000]  見到伊麗莎白的時候
[00:03:21.000 --> 00:03:24.000]  向她祝福
[00:03:24.000 --> 00:03:27.000]  當她聽到祝福的說話之後
[00:03:27.000 --> 00:03:31.000]  心裡面很快速地湧出一種讚美
[00:03:31.000 --> 00:03:33.000]  她一開口的時候就說
[00:03:33.000 --> 00:03:36.000]  我心尊主為大
[00:03:36.000 --> 00:03:38.000]  她的心尊崇這位上帝
[00:03:38.000 --> 00:03:42.000]  知道祂是永恆的偉大的上帝
[00:03:42.000 --> 00:03:46.000]  因此她心裡產生了一份對神的敬畏
[00:03:46.000 --> 00:03:48.000]  知道祂是偉大的
[00:03:48.000 --> 00:03:50.000]  因此知道她敬畏祂
[00:03:50.000 --> 00:03:55.000]  也放膽地在生活上來信靠祂
[00:03:55.000 --> 00:03:58.000]  她提到我心尊主為大
[00:03:58.000 --> 00:04:01.000]  我令以神我的救主為樂
[00:04:01.000 --> 00:04:04.000]  以祂為自己喜樂的源頭
[00:04:04.000 --> 00:04:09.000]  不是以其他的滿足來代替這位主
[00:04:09.000 --> 00:04:12.000]  知道祂真是祂生命喜樂的源頭
[00:04:12.000 --> 00:04:16.000]  她一直來歌頌讚美神
[00:04:16.000 --> 00:04:18.000]  但這首歌頌她表示出
[00:04:18.000 --> 00:04:20.000]  是因為她經歷了一件事
[00:04:20.000 --> 00:04:22.000]  在48節我們讀到
[00:04:22.000 --> 00:04:27.000]  因為她誰顧她侍女的卑微
[00:04:27.000 --> 00:04:30.000]  瑪利亞經歷神那種很特別的神
[00:04:30.000 --> 00:04:33.000]  在她身上顯出的能力
[00:04:33.000 --> 00:04:38.000]  叫她生命經歷那種奇妙的幫助
[00:04:38.000 --> 00:04:42.000]  她說她誰顧她侍女的卑微
[00:04:42.000 --> 00:04:47.000]  大家一定會想起瑪利亞出生的地方
[00:04:47.000 --> 00:04:49.000]  她在哪裏出生
[00:04:49.000 --> 00:04:52.000]  她在拿撒勒這個地方
[00:04:52.000 --> 00:04:54.000]  拿撒勒這個地方是當時一個
[00:04:54.000 --> 00:04:58.000]  很平凡寂寂無名的小城鎮
[00:04:58.000 --> 00:05:00.000]  甚至後來大家讀聖經的時候
[00:05:00.000 --> 00:05:05.000]  讀到拿旦葉這個人評價拿撒勒的時候
[00:05:05.000 --> 00:05:10.000]  他說拿撒勒還能出甚麼好的呢
[00:05:10.000 --> 00:05:12.000]  不會有甚麼好的事情
[00:05:12.000 --> 00:05:14.000]  或者好成就的事情
[00:05:14.000 --> 00:05:17.000]  從這個城市會出現
[00:05:17.000 --> 00:05:19.000]  裏面的人很多都是貧窮
[00:05:19.000 --> 00:05:22.000]  很多在困苦裏面的人
[00:05:22.000 --> 00:05:25.000]  而瑪利亞體會到自己的卑微
[00:05:25.000 --> 00:05:30.000]  但她就說她誰顧她侍女的卑微
[00:05:30.000 --> 00:05:32.000]  沒有地位或者沒有經濟
[00:05:32.000 --> 00:05:34.000]  沒有學歷
[00:05:34.000 --> 00:05:37.000]  但神仍然是誰顧她
