
[00:00:00.000 --> 00:00:04.000]  我記得在幾年之前有一個聖誕節
[00:00:04.000 --> 00:00:06.560]  我買了一些食品回家
[00:00:06.560 --> 00:00:09.680]  經過一間餅店
[00:00:09.680 --> 00:00:14.000]  我看到一些好像是薑餅的東西
[00:00:14.000 --> 00:00:17.640]  這個薑餅在聖誕節大家都常常會留意到
[00:00:17.640 --> 00:00:19.640]  多數是一個人的形狀
[00:00:19.640 --> 00:00:21.160]  薑餅人
[00:00:21.160 --> 00:00:23.840]  我買了回家
[00:00:23.840 --> 00:00:25.040]  在家裡享用的時候
[00:00:25.040 --> 00:00:26.200]  跟家人一起
[00:00:26.200 --> 00:00:28.720]  有笑有講也要享用
[00:00:28.720 --> 00:00:32.720]  當時會把手張開吃
[00:00:32.720 --> 00:00:34.640]  吃著吃著也沒辦法了
[00:00:34.640 --> 00:00:37.840]  要把頭張開吃
[00:00:37.840 --> 00:00:39.800]  吃的時候的感受很有趣
[00:00:39.800 --> 00:00:41.680]  在這次預備聖經的時候
[00:00:41.680 --> 00:00:43.640]  就想起一件事
[00:00:43.640 --> 00:00:46.640]  我想一個叫做薑餅人
[00:00:46.640 --> 00:00:49.320]  或者平面人
[00:00:49.320 --> 00:00:51.760]  假設他有意識
[00:00:51.760 --> 00:00:53.640]  他突然間發覺很奇怪
[00:00:53.640 --> 00:00:56.320]  為什麼手會突然間消失
[00:00:56.320 --> 00:00:59.040]  因為他在平面的處境
[00:00:59.040 --> 00:01:01.840]  他不會明白空間的意思
[00:01:01.840 --> 00:01:04.480]  但突然間自己的手消失了
[00:01:04.480 --> 00:01:07.960]  突然間頭消失了
[00:01:07.960 --> 00:01:11.080]  平面的不會明白空間的意思
[00:01:11.080 --> 00:01:13.880]  或者用一些比較哲理的說法
[00:01:13.880 --> 00:01:16.440]  二道空間的存在
[00:01:16.440 --> 00:01:19.840]  不會明白三道空間的真實
[00:01:19.840 --> 00:01:24.880]  但事實上三道空間是真實存在
[00:01:24.880 --> 00:01:26.320]  聖經裡面就是這樣說
[00:01:26.320 --> 00:01:29.320]  聖經裡面清楚把兩種智慧
[00:01:29.320 --> 00:01:31.880]  排列出來
