
[00:00:00.000 --> 00:00:02.000]  第七课
[00:00:02.000 --> 00:00:07.000]  就是敌神诠释的奥秘
[00:00:07.000 --> 00:00:12.000]  与神为敌的诠释的奥秘
[00:00:12.000 --> 00:00:18.000]  我们的章节是在旧约《诞义礼书》
[00:00:18.000 --> 00:00:23.000]  第二章十九节
[00:00:23.000 --> 00:00:25.000]  这奥秘的事
[00:00:25.000 --> 00:00:31.000]  就在夜间异象中给《诞义礼》贤明
[00:00:31.000 --> 00:00:35.000]  《诞义礼》便称颂天上的神
[00:00:35.000 --> 00:00:39.000]  这里提到奥秘的事
[00:00:39.000 --> 00:00:42.000]  那么这个奥秘的事
[00:00:42.000 --> 00:00:45.000]  是指着什么说的呢
[00:00:45.000 --> 00:00:54.000]  就是在统一章第二章三十一节到四十五节所说的
[00:00:54.000 --> 00:00:59.000]  那么现在我们要很快地读一次
[00:00:59.000 --> 00:01:01.000]  大家注意经文
[00:01:01.000 --> 00:01:06.000]  这是奥秘的异象的内容
[00:01:06.000 --> 00:01:10.000]  王啊,你梦见一个大象
[00:01:10.000 --> 00:01:13.000]  这象身高极其光耀
[00:01:13.000 --> 00:01:17.000]  站在你面前形状甚是可怕
[00:01:17.000 --> 00:01:19.000]  这象的头是金金的
[00:01:19.000 --> 00:01:22.000]  胸膛和膀背是银的
[00:01:22.000 --> 00:01:24.000]  肚腹和腰是铜的
[00:01:24.000 --> 00:01:25.000]  腿是铁的
[00:01:25.000 --> 00:01:28.000]  脚是半铁半泥的
[00:01:28.000 --> 00:01:29.000]  你观看
[00:01:29.000 --> 00:01:32.000]  见有一块非人手琢出来的石头
[00:01:32.000 --> 00:01:36.000]  打在这象半铁半泥的脚上
[00:01:36.000 --> 00:01:38.000]  把脚砸碎
[00:01:38.000 --> 00:01:44.000]  于是金银铜铁泥都一同砸得粉碎
[00:01:44.000 --> 00:01:48.000]  成如夏天火场上的康碧
[00:01:48.000 --> 00:01:51.000]  被风吹散无处可寻
[00:01:51.000 --> 00:01:54.000]  砸碎这象的石头
[00:01:54.000 --> 00:01:59.000]  变成一座大山充满天下
[00:01:59.000 --> 00:02:01.000]  这就是那梦
[00:02:01.000 --> 00:02:04.000]  我在王面前要讲解那梦
[00:02:04.000 --> 00:02:07.000]  王啊,你是诸王之王
[00:02:07.000 --> 00:02:14.000]  天上的神已将国度、权柄、能力、尊荣都赐给你
[00:02:14.000 --> 00:02:19.000]  凡是人所住之地的走兽并天空的飞鸟
[00:02:19.000 --> 00:02:21.000]  他都交付你手
[00:02:21.000 --> 00:02:23.000]  是你掌管这一切
[00:02:23.000 --> 00:02:25.000]  你就是那金头
[00:02:25.000 --> 00:02:26.000]  在你以后
[00:02:26.000 --> 00:02:29.000]  彼另兴一国不及于你
[00:02:29.000 --> 00:02:31.000]  又有的三国就是同的
[00:02:31.000 --> 00:02:33.000]  彼掌管天下
[00:02:33.000 --> 00:02:36.000]  彼四国彼坚壮如铁
[00:02:36.000 --> 00:02:39.000]  铁能打碎克制白雾
[00:02:39.000 --> 00:02:41.000]  又能压碎一切
[00:02:41.000 --> 00:02:45.000]  那国也彼打碎压制劣国
[00:02:45.000 --> 00:02:48.000]  你既见象的脚和脚趾头
[00:02:48.000 --> 00:02:50.000]  一半是垚浆的泥
[00:02:50.000 --> 00:02:51.000]  一半是铁
[00:02:51.000 --> 00:02:54.000]  那国将来也必分开
[00:02:54.000 --> 00:02:57.000]  你既见铁与泥掺杂
[00:02:57.000 --> 00:03:00.000]  那国也必有铁的力量
[00:03:00.000 --> 00:03:02.000]  那脚趾头既是半铁半泥
[00:03:02.000 --> 00:03:05.000]  那国也必半强半弱
[00:03:05.000 --> 00:03:08.000]  你既见铁与泥掺杂
[00:03:08.000 --> 00:03:12.000]  那国民也必与各种人掺杂
[00:03:12.000 --> 00:03:14.000]  却不能彼此相和
[00:03:14.000 --> 00:03:17.000]  正如铁与泥不能相和一样
[00:03:17.000 --> 00:03:20.000]  当那列王在位的时候
[00:03:20.000 --> 00:03:22.000]  天上的神
[00:03:22.000 --> 00:03:25.000]  彼另立一国永不败坏
[00:03:25.000 --> 00:03:27.000]  也不归别国的人
[00:03:27.000 --> 00:03:30.000]  却要打碎灭绝那一切国
[00:03:30.000 --> 00:03:33.000]  这国必存到永远
[00:03:33.000 --> 00:03:35.000]  你既看见非人手
[00:03:35.000 --> 00:03:37.000]  琢出来的一块石头
[00:03:37.000 --> 00:03:38.000]  从山而出
[00:03:38.000 --> 00:03:41.000]  打碎金银铜铁泥
[00:03:41.000 --> 00:03:43.000]  那就是至大的神
[00:03:43.000 --> 00:03:46.000]  把后来必有的事给王之名
[00:03:46.000 --> 00:03:49.000]  这梦准是这样
[00:03:49.000 --> 00:03:53.000]  这讲解也是确实的
[00:03:53.000 --> 00:03:59.000]  当时尼布加尼撒王做梦
