
[00:00:00.000 --> 00:00:03.280]  當我們提到神對人的試驗的時候
[00:00:03.280 --> 00:00:05.240]  或者我們也會體會
[00:00:05.240 --> 00:00:08.120]  有些時候在我們生活不同的階段
[00:00:08.120 --> 00:00:10.880]  我們會經歷過一些艱難
[00:00:10.880 --> 00:00:12.720]  或者一些缺乏
[00:00:12.720 --> 00:00:14.920]  或者一些苦難的事情
[00:00:14.920 --> 00:00:18.040]  在這些事情裏面出現的時候
[00:00:18.040 --> 00:00:20.720]  有不少基督徒也會有一種體會
[00:00:20.720 --> 00:00:22.400]  就是心裏面有一些
[00:00:22.400 --> 00:00:24.040]  很自然有的一種
[00:00:24.040 --> 00:00:26.680]  好像埋怨的情緒
[00:00:26.680 --> 00:00:28.440]  如果神是慈愛
[00:00:28.440 --> 00:00:29.800]  為何祂這樣待我?
[00:00:30.200 --> 00:00:32.960]  為何祂讓這些事情發生在我身上?
[00:00:32.960 --> 00:00:36.920]  有些時候因此甚至不願意再信靠神
[00:00:36.920 --> 00:00:38.880]  甚至不再願意跟隨神
[00:00:38.880 --> 00:00:41.360]  但同樣有很多的基督徒
[00:00:41.360 --> 00:00:42.560]  他們在過程當中
[00:00:42.560 --> 00:00:45.680]  他們體會這些事情有原因的
[00:00:45.680 --> 00:00:48.200]  有神的目的在背後的
[00:00:48.200 --> 00:00:50.120]  而學習在過程裏面
[00:00:50.120 --> 00:00:52.680]  繼續堅持地去信靠神
[00:00:52.680 --> 00:00:55.880]  而反而更深刻地經歷到
[00:00:56.200 --> 00:00:57.800]  神在這個過程當中
[00:00:57.800 --> 00:01:00.120]  給自己生命的成長
[00:01:00.120 --> 00:01:02.760]  以致他們更加能夠
[00:01:02.760 --> 00:01:05.400]  可以跟神建立心口的關係
[00:01:05.400 --> 00:01:08.560]  更加能夠成長、成熟
[00:01:08.560 --> 00:01:11.200]  而生命變得更加堅強
[00:01:11.200 --> 00:01:13.760]  我們今天會看一段聖經
[00:01:13.760 --> 00:01:14.600]  大家都會熟悉
[00:01:14.600 --> 00:01:15.520]  看到以色列人
[00:01:15.520 --> 00:01:17.440]  他們在埃及出來的時候
[00:01:17.440 --> 00:01:18.400]  在曠野
[00:01:18.400 --> 00:01:21.280]  面對著有很多不同的事業
[00:01:21.280 --> 00:01:23.640]  而今天我們也透過他們的經歷
