
[00:00:00.000 --> 00:00:08.000]  我們再看聖經前書第十二章的經文
[00:00:08.000 --> 00:00:09.500]  在我們思想經文之前
[00:00:09.500 --> 00:00:12.200]  我想跟大家分享一件事情
[00:00:12.200 --> 00:00:17.000]  一個我也很歡迎提及的故事
[00:00:17.000 --> 00:00:22.000]  這個故事是講到在自然界一些生物的情況
[00:00:22.000 --> 00:00:25.000]  很多時候我們會看到空中的飛鳥
[00:00:25.000 --> 00:00:28.000]  間中會看到一些飛眼
[00:00:28.000 --> 00:00:31.000]  這些飛眼在飛的時候通常不是一隻
[00:00:31.000 --> 00:00:35.000]  不是兩隻,而是一群來飛
[00:00:35.000 --> 00:00:37.000]  飛的時候有特別的隊形
[00:00:37.000 --> 00:00:42.000]  很多時候是人字來飛翔
[00:00:42.000 --> 00:00:46.000]  有些研究發現當飛眼飛的時候
[00:00:46.000 --> 00:00:50.000]  因為大家配合著飛
[00:00:50.000 --> 00:00:52.000]  那一刻很特別
[00:00:52.000 --> 00:00:54.000]  因為前面有很多大氣流
[00:00:54.000 --> 00:00:56.000]  所以產生一些阻力
[00:00:56.000 --> 00:00:58.000]  但當一起飛的時候
[00:00:58.000 --> 00:01:03.000]  他們會減少了71%的阻力
[00:01:03.000 --> 00:01:06.000]  意味著他們用三分一的力氣
[00:01:06.000 --> 00:01:08.000]  就可以一起飛翔
[00:01:08.000 --> 00:01:12.000]  單獨飛要三倍的氣力
[00:01:12.000 --> 00:01:16.000]  所以他們會習慣一起飛翔
[00:01:16.000 --> 00:01:20.000]  不過當然第一隻眼受的阻力最大
[00:01:20.000 --> 00:01:23.000]  因為它在前面很擋風
[00:01:23.000 --> 00:01:25.000]  但有一個特別的情況
[00:01:25.000 --> 00:01:30.000]  就是後面的眼群知道前面比較辛苦
[00:01:30.000 --> 00:01:32.000]  所以研究發現他們會發出一種
[00:01:32.000 --> 00:01:34.000]  很特別的聲音叫Honking
[00:01:34.000 --> 00:01:37.000]  Honking在背後告訴他們
[00:01:37.000 --> 00:01:43.000]  加油,快點,努力點,不要怕寒風
[00:01:43.000 --> 00:01:46.000]  發出的聲音是不斷鼓勵頭眼
[00:01:46.000 --> 00:01:49.000]  繼續可以努力向前飛
[00:01:49.000 --> 00:01:52.000]  當然飛了一段時間之後都會很疲倦
[00:01:52.000 --> 00:01:57.000]  他們發現一般來說頭眼會飛到後面
[00:01:57.000 --> 00:02:00.000]  跟隨隊尾,可以輕鬆一點
[00:02:00.000 --> 00:02:04.000]  第二隻眼就繼續在前面飛
[00:02:04.000 --> 00:02:06.000]  一段時間之後又再飛到後面
[00:02:06.000 --> 00:02:08.000]  這樣輪流交替
[00:02:08.000 --> 00:02:12.000]  大家可以一起繼續向前飛
[00:02:12.000 --> 00:02:15.000]  他們發現一件很奇妙的事情
[00:02:15.000 --> 00:02:18.000]  就是幾時眼隊當中一隻眼
[00:02:18.000 --> 00:02:21.000]  突然間受到一些傷害
[00:02:21.000 --> 00:02:24.000]  要掉下來
[00:02:24.000 --> 00:02:26.000]  永遠不會是自己一隻
[00:02:26.000 --> 00:02:29.000]  一定有另一隻比較健康的眼
[00:02:29.000 --> 00:02:31.000]  就會飛離隊尾
[00:02:31.000 --> 00:02:35.000]  然後在他旁邊陪伴著他
[00:02:35.000 --> 00:02:38.000]  一直陪著他直至他康復之後
[00:02:38.000 --> 00:02:40.000]  然後兩隻一起向上飛
[00:02:40.000 --> 00:02:44.000]  然後很快速地追趕前面那一隊
[00:02:44.000 --> 00:02:48.000]  如果不行就跟著一隊新的眼再飛
[00:02:48.000 --> 00:02:51.000]  一路看到這些研究的時候
[00:02:51.000 --> 00:02:53.000]  會覺得很奇妙
[00:02:53.000 --> 00:02:58.000]  這些自然界的生物給我們很多提醒
[00:02:58.000 --> 00:03:01.000]  我相信不單是神為他們自己預備
[00:03:01.000 --> 00:03:06.000]  亦是讓我們人類從這些自然界的現象當中
[00:03:06.000 --> 00:03:10.000]  可以體會更加懂得彼此的配合
[00:03:10.000 --> 00:03:13.000]  彼此的相顧
[00:03:13.000 --> 00:03:14.000]  對於基督徒來說
[00:03:14.000 --> 00:03:16.000]  更加體會一件事實就是
[00:03:16.000 --> 00:03:19.000]  上帝並沒有單單拯救一個人
[00:03:19.000 --> 00:03:21.000]  而是拯救一個群體
[00:03:21.000 --> 00:03:26.000]  他定義是讓我們之間能夠彼此的相顧
[00:03:26.000 --> 00:03:28.000]  發揮那種互相建立的作用
[00:03:28.000 --> 00:03:31.000]  而一起在神面前成長
[00:03:31.000 --> 00:03:34.000]  所以當聖經說到這種肢體關係的時候
[00:03:34.000 --> 00:03:36.000]  特別強調一件事情
[00:03:36.000 --> 00:03:39.000]  他說我們都是一個身體
[00:03:39.000 --> 00:03:40.000]  大家一起看聖經
[00:03:40.000 --> 00:03:43.000]  在聖經的臨前十二章
